kind,family,map,p,field,derivative,basis,absolute_error_norm_change,scaled_change,relative_error_norm_change
basis,quad,coupled,2.0,sine,x,gl,2.1684043449710089e-16,1.5286635393783626e-16,2.925039767306829e-14
basis,quad,coupled,2.0,sine,y,gl,1.8214596497756474e-16,8.56051582051883e-17,1.2319815914064845e-14
basis,quad,coupled,2.0,sine,xx,gl,5.290212712338871e-14,1.8760719795636066e-14,1.4012171959763008e-13
basis,quad,coupled,2.0,sine,xy,gl,3.533284775869561e-14,8.353408989102722e-15,3.930635850810296e-13
basis,quad,coupled,2.0,sine,yy,gl,3.985700658404312e-14,6.282008540639726e-15,4.93733625954743e-14
basis,quad,coupled,2.0,shortwave,x,gl,3.885780586188048e-16,6.871860828684669e-17,1.3978120787329775e-15
basis,quad,coupled,2.0,shortwave,y,gl,1.8318679906315083e-15,4.3194553780303753e-16,1.2744834242832061e-14
basis,quad,coupled,2.0,shortwave,xx,gl,6.039613253960852e-14,1.3340534109222851e-15,4.168530723010122e-15
basis,quad,coupled,2.0,shortwave,xy,gl,7.904787935331115e-14,2.328053991609464e-15,2.8089174761034153e-14
basis,quad,coupled,2.0,shortwave,yy,gl,6.306066779870889e-14,2.4762821483786117e-15,8.506599078274431e-15
basis,quad,coupled,2.0,exponential,x,gl,1.3593726838623255e-15,5.802137106772043e-16,8.845983473218877e-13
basis,quad,coupled,2.0,exponential,y,gl,7.864802559209849e-15,3.3568912563825487e-15,7.532887316402201e-12
basis,quad,coupled,2.0,exponential,xx,gl,2.73600586631062e-13,1.1677946268688294e-13,2.7445545745901355e-12
basis,quad,coupled,2.0,exponential,xy,gl,1.105331104422902e-13,4.717825135355572e-14,8.777380516738534e-12
basis,quad,coupled,2.0,exponential,yy,gl,3.7626152193936946e-13,1.6059767598773086e-13,6.483819465382164e-12
basis,quad,coupled,2.0,constant,x,gl,1.5046267305709027e-14,1.5046267305709017e-14,nan
basis,quad,coupled,2.0,constant,y,gl,2.1258689824600152e-14,2.125868982460014e-14,nan
basis,quad,coupled,2.0,constant,xx,gl,5.509989557799372e-13,5.509989557799368e-13,nan
basis,quad,coupled,2.0,constant,xy,gl,1.1468572478686167e-12,1.146857247868616e-12,nan
basis,quad,coupled,2.0,constant,yy,gl,7.283351012267691e-13,7.283351012267686e-13,nan
basis,quad,coupled,2.0,sine,x,bernstein,1.3617579286417936e-16,9.600007027296118e-17,1.8369249738686888e-14
basis,quad,coupled,2.0,sine,y,bernstein,1.132774429812855e-15,5.323825553141711e-16,7.661752182746995e-14
basis,quad,coupled,2.0,sine,xx,bernstein,5.495603971894525e-15,1.9489100312360657e-15,1.4556191227875528e-14
basis,quad,coupled,2.0,sine,xy,bernstein,3.0042635046356736e-13,7.102694336060319e-14,3.3421211664705923e-12
basis,quad,coupled,2.0,sine,yy,bernstein,5.46229728115577e-14,8.609326467951936e-15,6.766488689964723e-14
basis,quad,coupled,2.0,shortwave,x,bernstein,1.2212453270876722e-15,2.1597276890151817e-16,4.393123676017929e-15
basis,quad,coupled,2.0,shortwave,y,bernstein,1.4710455076283324e-15,3.4686535611456047e-16,1.0234488104092412e-14
basis,quad,coupled,2.0,shortwave,xx,bernstein,9.947598300641403e-14,2.197264441519058e-15,6.865815308487259e-15
basis,quad,coupled,2.0,shortwave,xy,bernstein,2.0028423364237824e-13,5.8986087090779116e-15,7.116976301812586e-14
basis,quad,coupled,2.0,shortwave,yy,bernstein,8.881784197001252e-14,3.4877213357445237e-15,1.1981125462358356e-14
basis,quad,coupled,2.0,exponential,x,bernstein,1.4203048459560108e-15,6.062210567771076e-16,9.242493499694313e-13
basis,quad,coupled,2.0,exponential,y,bernstein,6.301383026485752e-15,2.6895853297622516e-15,6.035448177961069e-12
basis,quad,coupled,2.0,exponential,xx,bernstein,8.856804178947186e-14,3.7803019572289474e-14,8.884477451196674e-13
basis,quad,coupled,2.0,exponential,xy,bernstein,5.994284929533578e-13,2.5585083054187386e-13,4.760032495397611e-11
basis,quad,coupled,2.0,exponential,yy,bernstein,2.2642998587230068e-13,9.66458895865677e-14,3.901890212897202e-12
basis,quad,coupled,2.0,constant,x,bernstein,1.1687000125104942e-13,1.1687000125104935e-13,nan
basis,quad,coupled,2.0,constant,y,bernstein,1.0536489019189119e-13,1.0536489019189112e-13,nan
basis,quad,coupled,2.0,constant,xx,bernstein,3.734030206988592e-12,3.734030206988589e-12,nan
basis,quad,coupled,2.0,constant,xy,bernstein,7.124447908367715e-12,7.12444790836771e-12,nan
basis,quad,coupled,2.0,constant,yy,bernstein,3.4072127288319343e-12,3.407212728831932e-12,nan
basis,quad,coupled,3.0,sine,x,gl,2.1895462873344762e-16,1.543568008887304e-16,8.572937924358368e-13
