family,map,field,p,n,amplitude,derivative,rate
quad,coupled,sine,1.0,8.0,0.4,x,1.001951462375824
quad,coupled,sine,1.0,8.0,0.4,y,0.992915742615577
quad,coupled,shortwave,1.0,8.0,0.4,x,0.9401357339275184
quad,coupled,shortwave,1.0,8.0,0.4,y,1.001042980904244
quad,coupled,exponential,1.0,8.0,0.4,x,0.9993093495222058
quad,coupled,exponential,1.0,8.0,0.4,y,0.99897408085675
quad,coupled,sine,1.0,16.0,0.4,x,1.0005947821404462
quad,coupled,sine,1.0,16.0,0.4,y,0.9982030956484085
quad,coupled,shortwave,1.0,16.0,0.4,x,0.9856312400774476
quad,coupled,shortwave,1.0,16.0,0.4,y,1.0034402119017867
quad,coupled,exponential,1.0,16.0,0.4,x,0.9998280852973884
quad,coupled,exponential,1.0,16.0,0.4,y,0.9993991124775568
quad,coupled,sine,2.0,8.0,0.4,x,2.005926015852393
quad,coupled,sine,2.0,8.0,0.4,y,1.9866220325680013
quad,coupled,sine,2.0,8.0,0.4,xx,0.9981650442212613
quad,coupled,sine,2.0,8.0,0.4,xy,1.7789598596670808
quad,coupled,sine,2.0,8.0,0.4,yy,0.9880234517326988
quad,coupled,shortwave,2.0,8.0,0.4,x,1.9397193264031287
quad,coupled,shortwave,2.0,8.0,0.4,y,1.9971363160375846
quad,coupled,shortwave,2.0,8.0,0.4,xx,0.9403729574350398
quad,coupled,shortwave,2.0,8.0,0.4,xy,1.8860616098903094
quad,coupled,shortwave,2.0,8.0,0.4,yy,0.9649980618538881
quad,coupled,exponential,2.0,8.0,0.4,x,1.9985105934530751
quad,coupled,exponential,2.0,8.0,0.4,y,1.9976032053791242
quad,coupled,exponential,2.0,8.0,0.4,xx,0.9998053824264319
quad,coupled,exponential,2.0,8.0,0.4,xy,1.7432990485082216
quad,coupled,exponential,2.0,8.0,0.4,yy,0.997614545736618
quad,coupled,sine,2.0,16.0,0.4,x,2.001467141040221
quad,coupled,sine,2.0,16.0,0.4,y,1.9966756773155219
quad,coupled,sine,2.0,16.0,0.4,xx,0.9995153902088186
quad,coupled,sine,2.0,16.0,0.4,xy,1.48680978283669
quad,coupled,sine,2.0,16.0,0.4,yy,0.9970222873201102
quad,coupled,shortwave,2.0,16.0,0.4,x,1.9848428490167451
quad,coupled,shortwave,2.0,16.0,0.4,y,2.0002993365086414
quad,coupled,shortwave,2.0,16.0,0.4,xx,0.9848863725914718
quad,coupled,shortwave,2.0,16.0,0.4,xy,1.8020072294015552
quad,coupled,shortwave,2.0,16.0,0.4,yy,0.9912395992122051
quad,coupled,exponential,2.0,16.0,0.4,x,1.9996327187022571
quad,coupled,exponential,2.0,16.0,0.4,y,1.9993522346433068
quad,coupled,exponential,2.0,16.0,0.4,xx,0.9999599585523367
quad,coupled,exponential,2.0,16.0,0.4,xy,1.4395464469703299
quad,coupled,exponential,2.0,16.0,0.4,yy,0.9994186865507111
quad,coupled,sine,3.0,8.0,0.4,x,2.989210091494196
quad,coupled,sine,3.0,8.0,0.4,y,2.991248716844091
quad,coupled,sine,3.0,8.0,0.4,xx,1.9868826970337903
quad,coupled,sine,3.0,8.0,0.4,xy,2.5165186134350024
quad,coupled,sine,3.0,8.0,0.4,yy,1.991393894109106
quad,coupled,sine,3.0,8.0,0.4,xxx,0.9912546985720492
quad,coupled,sine,3.0,8.0,0.4,xxy,1.858465394600157
quad,coupled,sine,3.0,8.0,0.4,xyy,1.774098186290946
quad,coupled,sine,3.0,8.0,0.4,yyy,0.9921961449004836
quad,coupled,shortwave,3.0,8.0,0.4,x,2.9430849296004515
quad,coupled,shortwave,3.0,8.0,0.4,y,2.9883709617371093
quad,coupled,shortwave,3.0,8.0,0.4,xx,1.940039765550626
quad,coupled,shortwave,3.0,8.0,0.4,xy,2.8159429612017455
quad,coupled,shortwave,3.0,8.0,0.4,yy,1.9611316298192905
quad,coupled,shortwave,3.0,8.0,0.4,xxx,0.9429283916822475
quad,coupled,shortwave,3.0,8.0,0.4,xxy,1.8916903223323958
quad,coupled,shortwave,3.0,8.0,0.4,xyy,2.0421465108941255
quad,coupled,shortwave,3.0,8.0,0.4,yyy,0.9628400921583257
quad,coupled,exponential,3.0,8.0,0.4,x,2.9960298066536333
quad,coupled,exponential,3.0,8.0,0.4,y,2.9994770112877713
quad,coupled,exponential,3.0,8.0,0.4,xx,1.9960879462189804
quad,coupled,exponential,3.0,8.0,0.4,xy,2.8269460529110697
quad,coupled,exponential,3.0,8.0,0.4,yy,2.000786886378848
quad,coupled,exponential,3.0,8.0,0.4,xxx,0.9973364611389216
