family,n,p,amplitude,basis,map,qextra,evalextra,field,derivative,error_l2,relative_l2,error_l1,sampled_linf,relative_sampled_linf,truth_l2,best_projection_l2,excess_over_projection_l2,input_error_l2,input_l2,scaled_l2,face_rms,face_relative_l2,face_sampled_linf,weak_residual,min_jacobian,volume,elements,dofs
quad,8,3,1.2,gl,coupled,0,0,sine,x,0.00025540209280081462,0.00018005122893754151,0.00015489584909692108,0.0020396829542929096,0.0010198414771613908,1.4184968039813368,1.1694166078119312e-05,0.00025513423033141758,5.7919096653327537e-06,0.70495865430086213,4.5286714909207666e-05,0.00058086108197748091,0.00040443413391721343,0.0020817224377068788,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,y,0.00076709186829507616,0.00036051866837347695,0.00044419116734412226,0.0063921198643972499,0.002130706621496955,2.1277452059720035,1.7541249117180742e-05,0.00076689128237574411,5.7919096653327537e-06,0.70495865430086213,0.00013601717342129699,0.0017360828997534238,0.00080585095215299782,0.0065461229389240927,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,xx,0.022311749690232315,0.0079124320107680085,0.014072687455363182,0.11315680941639528,0.02828920235411098,2.8198346172034481,2.3167638661331238e-05,0.022311737662049087,5.7919096653327537e-06,0.70495865430086213,0.00049452700067300042,0.040698580678279958,0.014620347287749285,0.11453453526446067,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,xy,0.0051805348665564322,0.0012247845635935874,0.0034859605243679989,0.02991997043006478,0.0049866617383462737,4.2297519258051794,3.4751457991996297e-05,0.0051804183074125086,5.7919096653327537e-06,0.70495865430086213,0.00011482355283689899,0.0098871199465392946,0.0023678651668751723,0.030225948388741486,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,yy,0.06729670091977287,0.010606879095233978,0.042301402392385064,0.39838164181920632,0.044264626868819733,6.3446278887077634,5.2127186987986886e-05,0.067296680731234459,5.7919096653327537e-06,0.70495865430086213,0.0014915923727672792,0.12164450662132202,0.019421752173723352,0.40325295882873746,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,xxx,1.1245063290391062,0.19818626412885124,0.8351739107660936,3.9461063737994291,0.49326329673215269,5.6739872159253473,4.6776664312476882e-05,1.1245063280662109,5.7919096653327537e-06,0.70495865430086213,0.0031155038816888785,1.5870819529418769,0.27625801375283565,3.9689862131230322,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,xxy,0.15149967342872836,0.017800495214782986,0.11126012103442311,0.70179340422961367,0.058482783686657644,8.5109808238880138,7.0164996468711162e-05,0.15149965718074865,5.7919096653327537e-06,0.70495865430086213,0.00041973780711854609,0.24090255040115585,0.027955397412823647,0.70688969047554906,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,xyy,0.26048170966168738,0.020403579411246021,0.18438934158696638,1.1863935661904002,0.065910753678209741,12.76647123583205,0.00010524749470307292,0.26048168839909214,5.7919096653327537e-06,0.70495865430086213,0.00072167826592261044,0.40003391654383608,0.030947803297692943,1.1936206804951439,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,sine,yyy,3.3389341355926487,0.17435954299943418,2.5221220148087378,12.944092233166387,0.47941082345762809,19.149706853748086,0.00015787124205461885,3.3389341318604213,5.7919096653327537e-06,0.70495865430086213,0.0092506924963520042,4.655853155148149,0.24012701868439082,13.012840768899398,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
quad,8,3,1.2,gl,coupled,0,0,shortwave,x,0.031451293341747733,0.0055620461817853213,0.017606292796766482,0.28585403383100028,0.035731754316891393,5.6546264295224544,0.0020420723422342633,0.031384929399598395,0.00025695351524089501,0.70738514905409666,0.0055576678037070511,0.069737093044726292,0.012330198897567961,0.29263865591606275,4.3411454986319598e-16,0.010940564040823801,0.99999999999999634,64,1024
