family,n,p,amplitude,basis,map,qextra,evalextra,field,derivative,error_l2,relative_l2,error_l1,sampled_linf,relative_sampled_linf,truth_l2,best_projection_l2,excess_over_projection_l2,input_error_l2,input_l2,scaled_l2,face_rms,face_relative_l2,face_sampled_linf,weak_residual,min_jacobian,volume,elements,dofs
tri,4,3,0,gll,coupled,0,0,sine,x,0.0067979063538798892,0.0047923311034610847,0.0031347014265078604,0.080130736651576662,0.040065368326353511,1.4184968039813342,0.00031098805620501145,0.0067907891459688605,0.00015442773307000165,0.70495865430086158,0.0024107464715862207,0.014621829035565664,0.01031218148377348,0.08006713845126523,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,y,0.0089459036757465159,0.0042044055137042229,0.0048909229372784855,0.086300049061401207,0.028766683020872867,2.1277452059720265,0.00046648208430751415,0.0089337330965681104,0.00015442773307000165,0.70495865430086158,0.0031724923231911243,0.018796953862086178,0.0088378181733837873,0.086256072178395149,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,xx,0.16652960883142745,0.05905651622809787,0.089322155674396969,1.1434804273992389,0.2858701068726357,2.8198346172034459,0.00061771093228000032,0.16652846318498124,0.00015442773307000165,0.70495865430086158,0.014764129057024466,0.27487154026822536,0.097437675485915948,1.1429827835513242,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,xy,0.16068895483191692,0.037990160569836874,0.096483652072158824,1.1121905375127277,0.18536508960025549,4.2297519258052168,0.00092656639842001148,0.1606862834210919,0.00015442773307000165,0.70495865430086158,0.014246310213688987,0.29539107910359391,0.069807688054437309,1.1115717728054371,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,yy,0.32997963881646608,0.052009297409508423,0.19914132673739246,2.0080495522299238,0.22311661693225121,6.3446278887078114,0.0013898495976300323,0.32997671183212701,0.00015442773307000165,0.70495865430086158,0.029255229792848753,0.54076385669677618,0.085196602718355927,2.0074213132882637,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,xxx,1.8843890901355866,0.33211021076089486,1.3696118395153309,6.8381955774313656,0.85477444719097861,5.6739872159253366,0.0012439522248200339,1.8843886795470228,0.00015442773307000165,0.70495865430086158,0.041766392048295416,2.3632515289036098,0.41667630291979357,6.8369241998374477,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,xxy,2.2554179081473125,0.26500093876571096,1.6400783684476863,8.718750660384103,0.72656255504225786,8.5109808238881079,0.0018659283372300358,2.2554171362971704,0.00015442773307000165,0.70495865430086158,0.049990030762515722,3.1095161529855351,0.36550255122342457,8.7168435939933211,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,xyy,3.2962318664102019,0.25819443803378844,2.4736926317277783,11.21944195248031,0.62330233070214314,12.766471235832132,0.0027988925058450606,3.2962306781138953,0.00015442773307000165,0.70495865430086158,0.073059068923322618,4.5832875520207326,0.35915626115352012,11.21750131540367,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,sine,yyy,6.0432883818242846,0.3155812476910832,4.5750598575792907,20.334855369281996,0.753142791465513,19.149706853748011,0.0041983387587675993,6.0432869235081785,0.00015442773307000165,0.70495865430086158,0.13394598447713396,7.6523520619426062,0.39976983397517751,20.332065673086923,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,x,0.48463948369173032,0.085706719927855168,0.26399394959096761,4.6934512791591851,0.58668141111335659,5.654626429522474,0.069430609705814064,0.47964030229835253,0.0086994092299492488,0.70738514905409611,0.17127850518906934,1.0091873384934005,0.17837451967989318,4.6908674060894349,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,y,0.3987198970442728,0.094016207086072667,0.19268007545890972,4.4595486377160185,0.74325810782965029,4.2409698221418486,0.052072957279361023,0.39530489931086116,0.0086994092299492488,0.70738514905409611,0.14091329793162696,0.84378740579966893,0.19885329839902435,4.4562818405456834,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,xx,16.98574548180035,0.37518779339377156,10.264587302150396,100.17593576121146,1.5652489963029814,45.272649539462144,0.55676219071675248,16.976618197847568,0.0086994092299492488,0.70738514905409611,1.500751173575086,27.363012942575757,0.60473199375787223,100.14554478896923,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,xy,9.2117369321890745,0.27129660036529385,5.6600165009178776,58.91937399885866,1.2274869583362598,33.954487154596514,0.41757164303756822,9.2022677221860203,0.0086994092299492488,0.70738514905409611,0.81388980109587927,16.666785287910823,0.49112224680054717,58.889696063817304,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,yy,10.416039919615029,0.4090196728026021,5.8071220950273901,66.408709685877028,1.8446863802033824,25.465865365947661,0.31317873227817478,10.411330687700945,0.0086994092299492488,0.70738514905409611,0.92029426380586199,16.80586024291976,0.660293847860834,66.384027714397646,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,xxx,293.95778973610396,0.81227124760114433,225.41729176343281,883.86777791030477,1.7263042573163661,361.89609148943833,4.4435590211720948,293.92420269478043,0.0086994092299492488,0.70738514905409611,6.4930546969616625,360.10914236109164,0.9945238369482946,883.79487816663573,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,xxy,183.10182213500809,0.67460182242339239,139.63286353372402,582.7774369081742,1.5176495784336579,271.42206861707831,3.3326692658791068,183.07149036571778,0.0086994092299492488,0.70738514905409611,4.0444247022787208,247.7113798649938,0.91214891257259645,582.70643595545755,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
tri,4,3,0,gll,coupled,0,0,shortwave,xyy,139.18448963324914,0.68372966301724458,104.05553062416161,472.92868289511296,1.6421134856851469,203.56655146280923,2.4995019494093476,139.16204455408533,0.0086994092299492488,0.70738514905409611,3.0743614753964912,186.70220076538692,0.91665932342106993,472.85628716911913,1.2195106036116954e-15,0.062499999999960761,1.0000000000000036,32,320
