family,n,p,amplitude,basis,map,qextra,evalextra,field,derivative,error_l2,relative_l2,error_l1,sampled_linf,relative_sampled_linf,truth_l2,best_projection_l2,excess_over_projection_l2,input_error_l2,input_l2,scaled_l2,face_rms,face_relative_l2,face_sampled_linf,weak_residual,min_jacobian,volume,elements,dofs
tri,8,3,1.2,bernstein,coupled,0,0,sine,x,0.0019847373121969843,0.001399183492431105,0.0008998950058026297,0.033441593577583029,0.016720796789098682,1.4184968039813488,4.4940123896800751e-05,0.0019842284605596184,2.2337807372246461e-05,0.70495865430086369,0.00035192441785208831,0.0041566235649660522,0.0029101067099417078,0.033415976972695646,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,y,0.0023497865668690499,0.0011043552396564548,0.0011514435962543521,0.037318132757520495,0.012439377586068681,2.1277452059719719,6.7410185845199371e-05,0.0023488194431824554,2.2337807372246461e-05,0.70495865430086369,0.0004166532591190453,0.0048433281337108827,0.0022605850606178335,0.037294177884573232,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,xx,0.10268815279989474,0.036416374270110477,0.054500678729509276,1.0814719925661063,0.2703679981478847,2.8198346172034552,8.9351229488986264e-05,0.10268811392664687,2.2337807372246461e-05,0.70495865430086369,0.0022760233918819052,0.17006390425016976,0.060739539382085123,1.0809617433404424,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,xy,0.081828625244391745,0.019345963233722351,0.048986764571760849,0.7405412326643247,0.12342353878028996,4.2297519258050986,0.00013402684423347917,0.081828515483244768,2.2337807372246461e-05,0.70495865430086369,0.0018136840531614345,0.14775351232553013,0.03518081558932179,0.7401790336878975,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,yy,0.15065175054307278,0.023744773245284147,0.084563016664041105,1.5022175493306182,0.16691306104066059,6.3446278887078069,0.00020104026635021227,0.15065161640189517,2.2337807372246461e-05,0.70495865430086369,0.0033391087376181011,0.24482617113555538,0.038862852248967808,1.5016399852672908,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,xxx,2.4303947012163971,0.42833982677911514,1.7024085768831336,21.504641944736019,2.6880802431413833,5.6739872159253943,0.00017976049558719896,2.4303946945684212,2.2337807372246461e-05,0.70495865430086369,0.0067335362462085597,3.2046701070108097,0.56090790011423208,21.498294710115907,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,xxy,2.6493328797570257,0.31128408518100598,1.9055644871490147,17.576181497296773,1.4646817914683044,8.5109808238878877,0.00026964074338080654,2.6493328660354565,2.2337807372246461e-05,0.70495865430086369,0.0073401159758896533,3.6850524128111264,0.4299922595587144,17.571251652240772,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,xyy,3.1204132313132154,0.24442253255974664,2.2658502816526638,20.98617306419921,1.1658985035880407,12.766471235831998,0.00040446111507118392,3.1204132051005344,2.2337807372246461e-05,0.70495865430086369,0.0086452688469408814,4.3251074976272923,0.33645161360050324,20.979839658189178,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,sine,yyy,4.776638335640671,0.2494366296111637,3.4727358026840878,30.585137510766966,1.1327828707899565,19.149706853747873,0.00060669167260678333,4.7766382971120969,2.2337807372246461e-05,0.70495865430086369,0.013233927539410811,6.1428565705066465,0.31856996331262349,30.577135298804397,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,x,0.089776363655418343,0.015876621519451867,0.043515257702606218,1.4227956392464707,0.17784945493839288,5.6546264295225086,0.0070903989887392462,0.08949593126712603,0.00088640650752480491,0.70738514905412053,0.015864123627606322,0.18415804971077915,0.032562322778999737,1.4217540164064695,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,y,0.077257901759579833,0.018217036432615501,0.033704319945678921,1.3070475091766176,0.21784125156934725,4.2409698221417882,0.0053177992415543935,0.077074667664020033,0.00088640650752480491,0.70738514905412053,0.013652022145023325,0.16004748766110097,0.0377322121686487,1.3059130822984737,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,xx,5.6830822901953661,0.12553014563995157,3.1838054963361753,51.07680419720726,0.79807506558137409,45.272649539463707,0.056730016481587806,5.6827991361969623,0.00088640650752480491,0.70738514905412053,0.12553014563995157,9.1149032642569559,0.20136661718639384,51.056347311020787,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,xy,3.0136121328087846,0.088754458846269271,1.7500679725143804,27.970642350162308,0.58272171562838915,33.954487154596173,0.042547512361191801,3.0133117655172463,0.00088640650752480491,0.70738514905412053,0.066565844134698793,5.4204892141641503,0.15966606847517231,27.953704918886288,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,yy,3.7687939580680299,0.1479939481305681,1.9713985869246196,35.451307563945463,0.98475854344294278,25.465865365947263,0.031910634270893683,3.7686588608935065,0.00088640650752480491,0.70738514905412053,0.083246595823441044,6.012496501635753,0.23613900030237761,35.43573854850932,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,xxx,180.45722422468279,0.49864375014933865,132.63097021954292,838.99742390391839,1.6386668438625629,361.89609148944055,0.45378553527930865,180.45665366942814,0.00088640650752480491,0.70738514905412053,0.49825122358748863,226.39616915977541,0.62548049315582477,838.78519013655557,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,xxy,110.3664912827921,0.40662313070238398,80.937659282152424,604.30718372386332,1.5737166245692169,271.42206861707444,0.34033915145948085,110.36596652653594,0.00088640650752480491,0.70738514905412053,0.30472728127659821,151.56186031434214,0.55830736880314258,604.16517658032853,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,xyy,87.062200268182181,0.42768421257108424,62.556646636167812,453.65482401646,1.5751903614568565,203.56655146280809,0.25525436359460696,87.061826082085844,0.00088640650752480491,0.70738514905412053,0.24038299379929967,117.86613243231639,0.57891020104756896,453.47496269332976,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,shortwave,yyy,87.747915372716605,0.57473695779697165,63.464367382752052,478.73703708647992,2.2163751721027314,152.67491359710669,0.19144077269595658,87.747706538050096,0.00088640650752480491,0.70738514905412053,0.24227628674633794,108.68818209809932,0.71177582060209077,478.61019285910737,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,x,0.0004691376173603916,0.00020023947885545554,0.00017260320403959212,0.014048414803840892,0.0031351401464241959,2.3428827324258186,3.69066552621866e-06,0.0004691231000616018,3.69066552621866e-06,2.3428827324258186,2.5029934856931942e-05,0.0010348647563369036,0.00043503101323639901,0.014039598860564162,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,y,0.00043538519556536945,0.00037166622941863761,0.00015743305308419522,0.014090662852189961,0.0062891370185838855,1.1714413662129093,1.84533276310933e-06,0.00043538128492754747,3.69066552621866e-06,2.3428827324258186,2.3229139338664851e-05,0.00095627106323751122,0.00080398441829519697,0.014079380905566374,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,xx,0.03426197186902688,0.014623852655891174,0.013177247816095538,0.69872647827479772,0.15593257061358923,2.3428827324258186,3.69066552621866e-06,0.034261971670249532,3.69066552621866e-06,2.3428827324258186,0.0002284976977482996,0.0600811466093698,0.025256596986060413,0.69837852258126976,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,xy,0.026007670083219674,0.022201427090882485,0.011949012294108942,0.43203116946394093,0.19283004991035382,1.1714413662129093,1.84533276310933e-06,0.026007670017753792,3.69066552621866e-06,2.3428827324258186,0.00017344864914751941,0.048566654108017929,0.04083239015868944,0.43183629554015068,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,yy,0.027401358791558857,0.04678229671902958,0.01067800272506347,0.55934710491303541,0.49931087283087744,0.58572068310645464,9.2266638155466501e-07,0.027401358776025054,3.69066552621866e-06,2.3428827324258186,0.0001827433465587093,0.047906913202739161,0.080555426644874487,0.55902682772409329,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,xxx,0.80260011214217464,0.34256947692433726,0.44427458737681524,8.9871275215481514,2.0056287266045127,2.3428827324258186,3.69066552621866e-06,0.8026001121337023,3.69066552621866e-06,2.3428827324258186,0.00066908100961784621,1.0893218030564424,0.45792338063725613,8.9841326317964736,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,xxy,1.2669479765206415,1.0815291426975047,0.66843833621357007,13.774316337938149,6.1479409233858631,1.1714413662129093,1.84533276310933e-06,1.266947976519301,3.69066552621866e-06,2.3428827324258186,0.0010561808034155319,1.820538750002918,1.5306170438218336,13.770737495756201,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,xyy,1.1062129949979607,1.8886357045324054,0.59534405928682543,12.323551204196862,11.000831244313366,0.58572068310645464,9.2266638155466501e-07,1.1062129949975856,3.69066552621866e-06,2.3428827324258186,0.00092218540260371356,1.5766172342326283,2.6510803027904055,12.319623854593857,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,exponential,yyy,0.495516774804793,1.6919900187807877,0.27490077531340074,5.2229955406062745,9.3247947089217984,0.29286034155322732,4.6133319077733251e-07,0.49551677480457723,3.69066552621866e-06,2.3428827324258186,0.00041308350067890325,0.69085237729459903,2.3233351631768349,5.2209408900303602,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,x,1.1878949590123922e-12,nan,8.0709019265160437e-13,1.2066162299591466e-11,nan,0,0,1.1878949590123922e-12,1.2961280891208434e-14,1.0000000000000193,1.4848686987654615e-13,2.1022436927279279e-12,nan,1.2055297456913842e-11,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,y,1.1717040486115091e-12,nan,7.9059595240885058e-13,1.0938489257140997e-11,nan,0,0,1.1717040486115091e-12,1.2961280891208434e-14,1.0000000000000193,1.4646300607643582e-13,2.0839831097015922e-12,nan,1.0931028828175821e-11,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,xx,7.1181956863793227e-11,nan,5.2318483833987336e-11,5.405488027037762e-10,nan,0,0,7.1181956863793227e-11,1.2961280891208434e-14,1.0000000000000193,1.1122180759967478e-12,9.8594721561101952e-11,nan,5.4040778013133078e-10,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,xy,5.4774725602922348e-11,nan,3.9168412655518709e-11,4.381704409540546e-10,nan,0,0,5.4774725602922348e-11,1.2961280891208434e-14,1.0000000000000193,8.5585508754564512e-13,7.8214349353178415e-11,nan,4.3799490721182009e-10,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,yy,6.9871950861950298e-11,nan,5.0192255527095926e-11,3.8615962921263598e-10,nan,0,0,6.9871950861950298e-11,1.2961280891208434e-14,1.0000000000000193,1.0917492322179524e-12,9.6610743202000025e-11,nan,3.8603032349092391e-10,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,xxx,2.170911020044678e-09,nan,1.7785665052436463e-09,7.0443260029496357e-09,nan,0,0,2.170911020044678e-09,1.2961280891208434e-14,1.0000000000000193,4.2400605860246801e-12,2.2449734570737709e-09,nan,7.04378190838826e-09,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,xxy,1.6149714934005026e-09,nan,1.2300589638571228e-09,1.0156906795742757e-08,nan,0,0,1.6149714934005026e-09,1.2961280891208434e-14,1.0000000000000193,3.1542411980477956e-12,1.682075450812267e-09,nan,1.015568040681118e-08,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,xyy,1.6517101339937695e-09,nan,1.2797773203121672e-09,5.984678234054577e-09,nan,0,0,1.6517101339937695e-09,1.2961280891208434e-14,1.0000000000000193,3.2259963554565188e-12,1.7587352163770319e-09,nan,5.9839863700711023e-09,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
tri,8,3,1.2,bernstein,coupled,0,0,constant,yyy,2.1904571810838756e-09,nan,1.6894147833229322e-09,6.6197026712091345e-09,nan,0,0,2.1904571810838756e-09,1.2961280891208434e-14,1.0000000000000193,4.2782366818043621e-12,2.2686678344778267e-09,nan,6.6190898565661722e-09,4.2674197509029455e-16,0.010937510001695907,1.0000000000000389,128,1280
