family,n,p,amplitude,basis,map,qextra,evalextra,field,derivative,error_l2,relative_l2,error_l1,sampled_linf,relative_sampled_linf,truth_l2,best_projection_l2,excess_over_projection_l2,input_error_l2,input_l2,scaled_l2,face_rms,face_relative_l2,face_sampled_linf,weak_residual,min_jacobian,volume,elements,dofs
quad,4,2,0.29999999999999999,gll,separable,0,0,represented_quadratic,x,0.00045080201180478126,0.00026195535480960663,0.0003149511544644098,0.0026812992427869276,0.00062646571890018622,1.7209116115699616,0.00045080201180478175,2.8891390394679398e-14,1.1690891587200256e-15,0.98634848473211301,0.00011426032958503928,0.0009908822377243181,0.00053761049410289152,0.0027773366839021207,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,represented_quadratic,y,0.00016479886447892626,9.9066461054802575e-05,0.0001274808659429781,0.00080177935868075423,0.00021136602593125107,1.6635182353769675,0.00016479886447892377,3.5603668110831269e-14,1.1690891587200256e-15,0.98634848473211301,4.1769939080832254e-05,0.00034617417839596319,0.00019758667571829602,0.00083030442107423497,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,represented_quadratic,xx,0.029130540746736308,0.0080113075248904927,0.01649516879967532,0.19886809395604388,0.021358145121092579,3.6361780715856984,0.0041307302679181495,0.028836183375249451,1.1690891587200256e-15,0.98634848473211301,0.0018458575491860775,0.061870934848245844,0.015723561497233269,0.20221713873037928,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,represented_quadratic,xy,9.8247823838306042e-05,9.6002981185057322e-05,6.8418257482807138e-05,0.0008054729465021282,0.00044586781613126681,1.0233830515004687,9.8247823838309891e-05,6.5362529763283358e-13,1.1690891587200256e-15,0.98634848473211301,6.2254761729185923e-06,0.00021552774376863254,0.00020471480762252649,0.00082836241027228752,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,represented_quadratic,yy,0.0095843642007474809,0.0032816231143269078,0.0062800322835863476,0.051659410980393616,0.0089794987716742686,2.9206169833775459,0.00087157559438619074,0.0095446525927267573,1.1690891587200256e-15,0.98634848473211301,0.0006073135122313377,0.019146433409117872,0.006310751828663556,0.052484987605882161,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,constant,x,3.0305310454205338e-14,nan,2.0531417750525896e-14,2.1143472631543191e-13,nan,0,0,3.0305310454205338e-14,1.1868446930748575e-15,1.0000000000000024,7.5763276135513155e-15,4.6901747889413346e-14,nan,2.1582058697708952e-13,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,constant,y,2.8350782578657903e-14,nan,1.9310808677074186e-14,1.6172416895972239e-13,nan,0,0,2.8350782578657903e-14,1.1868446930748575e-15,1.0000000000000024,7.0876956446644584e-15,4.6658705707154391e-14,nan,1.6387999387155791e-13,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,constant,xx,4.6978290942038407e-13,nan,3.320991285224334e-13,2.2478870224897968e-12,nan,0,0,4.6978290942038407e-13,1.1868446930748575e-15,1.0000000000000024,2.9361431838773935e-14,5.6758827137701326e-13,nan,2.2911731259998695e-12,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,constant,xy,6.6122249525120145e-13,nan,3.9620257507392386e-13,5.5467792823358528e-12,nan,0,0,6.6122249525120145e-13,1.1868446930748575e-15,1.0000000000000024,4.132640595319999e-14,1.1563279860354146e-12,nan,5.5807822525754398e-12,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
quad,4,2,0.29999999999999999,gll,separable,0,0,constant,yy,4.158574392453833e-13,nan,3.1797307339863792e-13,2.2407375997092664e-12,nan,0,0,4.158574392453833e-13,1.1868446930748575e-15,1.0000000000000024,2.5991089952836393e-14,5.7613014747014673e-13,nan,2.2723186907540791e-12,2.7061686225238191e-16,0.034596740497889862,1.0000000000000049,16,144
