family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_ratio,face_rms_ratio,jump_rms_ratio
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,x,1.0000000000004161,1.0000000000004037,1.000000000000506
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,y,1.0000000000001108,1.0000000000001126,1.0000000000000715
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,xx,1.0000000000004188,1.0000000000003948,1.0000000000004325
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,xy,1.0000000000002234,1.0000000000002347,1.0000000000001403
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,yy,1.0000000000001066,1.0000000000001055,1.0000000000001052
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,x,1.000000000000019,1.0000000000000182,1.0000000000000158
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,y,1.0000000000000349,1.0000000000000349,1.0000000000000187
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xx,1.0000000000000184,1.0000000000000184,1.0000000000000193
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xy,1.000000000000024,1.000000000000026,1.0000000000000202
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,yy,1.000000000000031,1.0000000000000357,1.0000000000000366
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,x,0.9999999999992858,0.9999999999992846,1.0000000000074392
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,y,0.999999999986611,0.9999999999848306,1.000000000016672
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,xx,0.9999999999992244,0.9999999999993759,0.999999999999316
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,xy,1.000000000006487,1.0000000000056781,0.9999999999869756
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,yy,0.9999999999828244,0.9999999999812429,0.9999999999827887
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,x,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,y,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,xx,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,xy,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,yy,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,nan,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,nan,nan
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,x,1.0000000000017522,1.0000000000017528,1.0000000000002047
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,y,0.9999999999997832,0.999999999999822,0.9999999999993694
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xx,1.0000000000000593,0.9999999999997019,1.0000000000286797
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xy,1.0000000000010794,1.0000000000010505,0.9999999999990805
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,yy,1.0000000000003888,1.0000000000004166,1.000000000002691
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xxx,0.999999999999516,0.9999999999990034,0.9999999999989783
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xxy,1.0000000000097864,1.0000000000059068,1.0000000000148046
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xyy,1.0000000000005995,1.0000000000007625,1.0000000000059421
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,yyy,1.0000000000006986,1.0000000000005878,1.0000000000007738
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,x,1.0000000000000502,1.0000000000000475,0.9999999999999709
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,y,1.0000000000001128,1.00000000000012,0.9999999999999878
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xx,1.0000000000000577,1.0000000000000537,1.0000000000001026
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,xy,1.0000000000000597,1.0000000000000568,0.9999999999999716
