family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
quad,4,3,1.2,gl,coupled,0,sine,x,recursive,0.0019754738291303834,0.0013926529997006424,0.012159230923346698,1.4184968039813373,0.0045050759098802092,0.0031335834142108979,0.0081198968670647929,0.0058726647552111311,8.8831010178619114e-05,0.00018487962237487824,0.00013033184621360011,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,x,direct,0.001984827994150542,0.0013992474206354685,0.012341947325088309,1.4184968039813373,0.0045111244214686924,0.0031377905609878852,0.0081125046722917583,0.0057560825560868485,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,y,recursive,0.0059372413377896029,0.0027903911244285076,0.041969393552417245,2.1277452059720101,0.013477517013909949,0.0062496799350130307,0.019963599658876972,0.012977568069766379,8.8831010178619114e-05,0.00011869167849900829,5.5770090842229988e-05,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,y,direct,0.0059410814750465116,0.0027921959163021448,0.042316300752478497,2.1277452059720101,0.013478267779224007,0.0062500280735399072,0.019986227980025202,0.012919979100873126,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,xx,recursive,0.087325309443627361,0.03096823796362622,0.43523775809293752,2.8198346172034525,0.16011007874137798,0.057578813759811755,0.11753591368072565,0.071886479720731686,8.8831010178619114e-05,0.003431935312851167,0.0012129811753397977,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,xx,direct,0.087541587731974943,0.031044936890232799,0.44317968651884521,2.8198346172034525,0.16046956879945792,0.057708093635665939,0.11058026879283864,0.06874699652784029,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,xy,recursive,0.02366837045425919,0.0055956876122832339,0.14813654732183679,4.2297519258051786,0.047698079775793482,0.011435461043220761,0.068167266234817211,0.054214031642349801,8.8831010178619114e-05,0.013552516928889521,0.0032044107352025243,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,xy,direct,0.026809714569543418,0.0063383657102868739,0.20843334825125701,4.2297519258051786,0.056579423801705338,0.013564734676397473,0.092373624652613728,0.069862859813799597,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,yy,recursive,0.26262962396513134,0.041394015310584613,1.3152776542628857,6.3446278887077643,0.47605076809085406,0.076087759209418113,0.39475066099319778,0.22115943411739752,8.8831010178619114e-05,0.0058852319830338881,0.00091364899884714137,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
quad,4,3,1.2,gl,coupled,0,sine,yy,direct,0.2628155419450432,0.041423318523187952,1.3342032657056002,6.3446278887077643,0.47606157172433716,0.076089485966978759,0.37406189685530794,0.21030066936087802,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16
