family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
tri,4,3,1.2,gl,coupled,0,sine,x,recursive,0.015197745589655308,0.010713979437245924,0.24741884281189408,1.4184968039813559,0.0318307515447077,0.022274505759644465,0.043237034422502416,0.027472870147436212,0.00034121672209149677,0.00062008573876306552,0.00043687941742240674,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,x,direct,0.015232360241037508,0.010738381784353823,0.24660023876434789,1.4184968039813559,0.031930982214052044,0.022344645122155841,0.043301110364832279,0.027511604239835296,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,y,recursive,0.018008479402537282,0.0084636446845196608,0.27045136824690985,2.1277452059720203,0.037113261517692391,0.017314065116640923,0.046572893353168353,0.029345548988508691,0.00034121672209149677,0.00065256602528499332,0.00030651833655547602,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,y,direct,0.018048604201072821,0.0084825025808612526,0.27427226004367533,2.1277452059720203,0.037236460852070649,0.017371540024814516,0.046706943850920578,0.029364362169108066,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xx,recursive,0.39792751305324209,0.14111732320241013,3.8798269599651771,2.8198346172034388,0.66037609070922954,0.23597523065180237,0.90038956584828433,0.61923018413061315,0.00034121672209149677,0.033533805095116359,0.011534079034508546,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xx,direct,0.4007277524359889,0.14211037413017125,4.1952167902368984,2.8198346172034388,0.66880095564362307,0.23898572644968727,0.89718566727868498,0.61226658302799664,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xy,recursive,0.32017042195653583,0.075694846310776762,2.8116069192539515,4.2297519258051901,0.57832708464185989,0.13777085422538585,0.58947895845066256,0.41422236082052188,0.00034121672209149677,0.035968618254128122,0.008396010379751179,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xy,direct,0.32297802626251021,0.076358621481335945,3.0234667346081645,4.2297519258051901,0.58552428610879048,0.13948539366243343,0.58037134687060232,0.40166733099057239,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,yy,recursive,0.58384595539627215,0.092022095800985471,5.4394119317254006,6.3446278887077865,0.95014206518985922,0.15089717385764248,1.1661981636836178,0.82041338012807774,0.00034121672209149677,0.038044790415303779,0.0058417228885144666,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,yy,direct,0.58735924975791654,0.09257583897131344,5.8190219384697848,6.3446278887077865,0.96086147397801525,0.15259958084583775,1.1544356835127418,0.80565182655588818,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xxx,recursive,4.9187798898939565,0.86690006563430488,48.670982590612191,5.6739872159254237,6.6301746105500365,1.1599149830213464,8.7817319766918978,6.8594750362268995,0.00034121672209149677,1.0205936429301572,0.1303005203187691,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xxx,direct,5.1759395154473227,0.91222262554977052,61.655110085967635,5.6739872159254237,7.2698515488797399,1.2718231767936807,9.2394724971779905,7.0868530672290806,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xxy,recursive,5.2275523354677116,0.61421267931838708,32.82861043295712,8.5109808238880813,7.3156462096565491,0.85322314493916585,8.6446287275988087,7.0090435906574315,0.00034121672209149677,0.88268698965848935,0.088056590718934832,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xxy,direct,5.3195409258585844,0.62502090369279584,32.792439517823269,8.5109808238880813,7.5242882531424895,0.87755704729144568,8.9289653705406842,7.1870120920736165,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xyy,recursive,6.2084360516408035,0.48630791837100901,44.862912927952067,12.766471235831959,8.6931336828505028,0.67591958820787035,9.4578290963004594,7.2093627804037705,0.00034121672209149677,1.3604750414941991,0.095374036691859898,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,xyy,direct,6.3302590123274829,0.49585033290641767,52.100150078097016,12.766471235831959,8.9490253537915283,0.69581600291382339,9.9961491305076535,7.3514686729589691,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,yyy,recursive,9.4760288898756055,0.49483937076671686,59.645196144413035,19.149706853747716,12.330256085406882,0.63914517056815001,15.299478169669475,11.218536575888839,0.00034121672209149677,1.3323618497957124,0.063309988516576543,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,sine,yyy,direct,9.7478501114707505,0.50903390772078771,80.138488127381336,19.149706853747716,12.986415783989644,0.67315754626949276,15.985232220627177,11.492277989996685,0.00034121672209149677,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,x,recursive,0.62964052751975996,0.11134962412944674,9.3705421439811865,5.6546264295224473,1.2797568034096267,0.22612163939070512,1.4220807892004907,0.89209466887948374,0.012449797873923207,0.010602931216469208,0.0018256309632786901,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,x,direct,0.6308468002431169,0.11156294904814679,9.4344822500247396,5.6546264295224473,1.2834363423504025,0.22677178117957736,1.4251845996751569,0.89377385150266375,0.012449797873923207,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,y,recursive,0.53838080800246324,0.12694756873571994,8.2140811111189489,4.2409698221418246,1.105609834295356,0.2604685594338717,1.4251526935824084,0.88819646054352752,0.012449797873923207,0.011672617245461168,0.002673920963539625,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,y,direct,0.53956108522907353,0.12722587234930571,8.3539145833058051,4.2409698221418246,1.1085563172566675,0.26116271586096101,1.4252782619372815,0.88841344626989727,0.012449797873923207,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,xx,recursive,20.212491845580512,0.44646142982999332,163.211362303073,45.272649539462272,32.04290730285836,0.7083982401128377,43.319009949521693,29.655703571088942,0.012449797873923207,0.57937989540208701,0.010980590676644163,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,xx,direct,20.301345976213796,0.44842407463954509,172.98208577174682,45.272649539462272,32.291320808233039,0.7138901166259275,43.406040225720794,29.700403129037305,0.012449797873923207,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,xy,recursive,11.107928646336802,0.32714169988083741,89.473881236807713,33.954487154596642,19.772758077297389,0.58284295249263673,20.712338723327932,14.515499634392413,0.012449797873923207,0.56175187490481304,0.015049033534706631,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,xy,direct,11.199082755384195,0.32982629672461722,98.427219555494716,33.954487154596642,20.011886947095032,0.58989177066733101,20.774280762838735,14.451139134143284,0.012449797873923207,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,yy,recursive,13.323526031917275,0.52319156802475597,119.12826730336491,25.465865365947266,20.940425248821203,0.82301647757057428,29.75219649654851,20.668748431384579,0.012449797873923207,0.61073240320522149,0.020074258295526257,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
tri,4,3,1.2,gl,coupled,0,shortwave,yy,direct,13.392843980335773,0.52591356264077971,128.19429954985912,25.465865365947266,21.168797712224798,0.83199214536008692,29.708255761546638,20.584140618745032,0.012449797873923207,0,0,4.4408920985006262e-16,2.886579864025407e-14,2.4074382261417494e-12,3.3306690738754696e-14,0.043750095902323052,32
