family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,x,recursive,0.0027382042527784199,0.0013616798694979122,0.13012515684624759,2.0109016180051698,0.0087509731904504319,0.0032640907123035866,0.0081946938680333269,0.0028865057344207162,7.183415342416544e-15,0.0027382042527810211,0.0013616798694991946,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,x,direct,3.3378595235319951e-13,1.6598820616809577e-13,5.4320992148859659e-12,2.0109016180051698,7.4244570658189418e-13,2.7693035763018904e-13,1.0265204218135947e-12,5.1571526497053842e-13,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,y,recursive,0.00020377191854228173,0.00011588379871901622,0.007496178643614293,1.7584159372991222,0.00053803329575305805,0.00026448521633471166,0.00056348642201979539,0.00024711216785534693,7.183415342416544e-15,0.00020377191854042341,0.00011588379871795975,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,y,direct,2.6267371829301978e-13,1.4938087896114002e-13,3.3111291486420669e-12,1.7584159372991222,5.0272492703306406e-13,2.4712840661113741e-13,7.0450643079500467e-13,3.9178619699398387e-13,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xx,recursive,0.64631601877243849,0.034391159821627958,26.945621740487297,18.793085843123631,2.525094885833203,0.072539508769087699,1.0498646433469301,0.33830230203268691,7.183415342416544e-15,0.64631601877334022,0.034391159821680589,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xx,direct,2.1348363051995185e-11,1.1359690063782967e-12,3.5484504223859403e-10,18.793085843123631,4.417856710873734e-11,1.2691370824001857e-12,4.5700590194671476e-11,1.9302376279597386e-11,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xy,recursive,0.0084218004887530711,0.0072336978792155353,0.52679947554259421,1.1642455393321434,0.0243331271663954,0.016830936634496092,0.033279865355453367,0.01017995614620258,7.183415342416544e-15,0.0084218004897017619,0.0072336978800142289,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xy,direct,9.8507454654722235e-12,8.4610549344453539e-12,1.8741630469776283e-10,1.1642455393321434,1.8140697882292849e-11,1.2547706444573594e-11,2.6408049170162349e-11,1.1592577799566348e-11,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,yy,recursive,0.026636121062251328,0.0041038289114708731,0.79216069435691949,6.4905534896445154,0.075509091946367568,0.0093476767910348115,0.054708205619854421,0.025802666976677574,7.183415342416544e-15,0.026636121061156409,0.0041038289113042078,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,yy,direct,9.2542704876502906e-12,1.4258060583608473e-12,9.5162988600350218e-11,6.4905534896445154,1.467005042483423e-11,1.816084478633836e-12,2.1126870378382144e-11,9.7854716632987758e-12,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xxx,recursive,135.41031278893234,0.218248551401232,3865.100767262903,620.44083188433922,484.51064584702573,0.32688236653176411,90.623325597138304,19.323834314768092,7.183415342416544e-15,135.41031278921986,0.21824855140158084,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xxx,direct,9.7867742333153864e-10,1.5773904182921039e-12,2.3082975530996919e-08,620.44083188433922,2.3196606154528092e-09,1.5649937891543182e-12,2.304837240861302e-09,7.1744802308097006e-10,7.183415342416544e-15,0,0,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
tri,4,3,0.69999999999999996,gll,separable,8,represented_quadratic,xxy,recursive,0.85630358858116018,0.12460576878639995,50.26118194870385,6.87210228644423,2.6784997649652649,0.20492202421885944,2.2538495340420575,0.59692134220589821,7.183415342416544e-15,0.85630358858701261,0.12460576878879426,1.0658141036401503e-14,8.4376949871511897e-15,4.9217945348646066e-12,4.0412118096355698e-14,0.0095713165077431148,32
