family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,y,recursive,0.005937241337789448,0.0027903911244284347,0.0419693935524168,2.12774520597201,0.01347751701390956,0.006249679935012851,0.019963599658872757,0.012977568069775246,8.883101017863677e-05,0.00011869167849913399,5.5770090842288976e-05,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,y,direct,0.005941081475049661,0.002792195916303625,0.04231630075252779,2.12774520597201,0.013478267779231523,0.006250028073543392,0.01998622798003493,0.012919979100890922,8.883101017863677e-05,0.0,0.0,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yy,recursive,0.26262962396512357,0.04139401531058339,1.3152776542601856,6.344627888707764,0.47605076809086105,0.07608775920941924,0.39475066099327144,0.22115943411755576,8.883101017863677e-05,0.005885231983109162,0.0009136489988588206,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,yy,direct,0.2628155419451014,0.041423318523197125,1.3342032657051286,6.344627888707764,0.4760615717244583,0.07608948596699812,0.37406189685524266,0.21030066936097375,8.883101017863677e-05,0.0,0.0,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxx,recursive,2.2366794705405066,0.3941988914361231,8.404491405084777,5.673987215925349,3.184510974280605,0.5537604121993381,5.469793739123959,3.4927349377876094,8.883101017863677e-05,0.1293352433797398,0.020919359411397543,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,4.0,3.0,1.2,gll,coupled,0.0,sine,xxx,direct,2.248096392304962,0.3962110429144365,8.72005929953627,5.673987215925349,3.2116145161246723,0.5584734964451926,5.617458198731859,3.611499411478747,8.883101017863677e-05,0.0,0.0,2.220446049250313e-16,8.881784197001252e-15,1.7745319013057181e-13,3.552713678800501e-15,0.043774505904688676,16.0
quad,8.0,3.0,1.2,gll,coupled,0.0,sine,y,recursive,0.0007670918682940102,0.00036051866837297594,0.006392119864135681,2.1277452059720035,0.0017360828997509592,0.0008058509521518538,0.0029483656026496902,0.001834585423193176,5.79190966534839e-06,7.428447275441129e-06,3.491178634574811e-06,2.220446049250313e-16,9.769962616701378e-15,3.4651162884221344e-13,7.993605777301127e-15,0.0109405640408238,64.0
quad,8.0,3.0,1.2,gll,coupled,0.0,sine,y,direct,0.0007672058741368065,0.0003605722489626426,0.006420373134761848,2.1277452059720035,0.0017360586988227206,0.0008058397186208587,0.0029493322412251044,0.001833319785617104,5.79190966534839e-06,0.0,0.0,2.220446049250313e-16,9.769962616701378e-15,3.4651162884221344e-13,7.993605777301127e-15,0.0109405640408238,64.0
quad,8.0,3.0,1.2,gll,coupled,0.0,sine,yy,recursive,0.06729670091975679,0.010606879095231444,0.39838164183085745,6.344627888707763,0.1216445066212664,0.01942175217371447,0.05245923594445326,0.029249241522628134,5.79190966534839e-06,0.0007255458372319364,0.00011391881247761739,2.220446049250313e-16,9.769962616701378e-15,3.4651162884221344e-13,7.993605777301127e-15,0.0109405640408238,64.0
quad,8.0,3.0,1.2,gll,coupled,0.0,sine,yy,direct,0.06730690834489,0.01060848792482906,0.39398040290746117,6.344627888707763,0.12163992376403895,0.01942102047509699,0.04965978351734708,0.027825301252516386,5.79190966534839e-06,0.0,0.0,2.220446049250313e-16,9.769962616701378e-15,3.4651162884221344e-13,7.993605777301127e-15,0.0109405640408238,64.0
