family,n,p,amplitude,basis,map,extra,field,derivative,error_l2_fe_over_recursive,error_l2_fe_minus_direct,face_rms_fe_over_recursive,face_rms_fe_minus_direct,jump_rms_fe_over_recursive,jump_rms_fe_minus_direct,fe_operator_relative_l2
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,x,0.9999999999983903,-2.947468658032193e-14,0.9999999999984196,-5.435929484320923e-14,1.0000000000007445,2.7183116868556567e-15,3.0660247013985007e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,y,1.0000000000001015,-4.510281037539698e-16,1.0000000000000817,-2.789435349370706e-15,0.9999999999998235,-1.141448047192739e-14,1.8911339651073796e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,xx,0.999999999997973,-9.983125437429408e-13,0.9999999999980107,-1.3747891713933313e-12,0.9999999999973894,-3.0121460881105122e-12,5.720277303044945e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,xy,0.9999999999998452,-4.232725281383409e-14,0.9999999999998173,-9.076073226310655e-14,0.9999999999988916,-1.261490911730334e-13,7.594839605157669e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,sine,yy,1.0000000000002647,2.1715962361668062e-13,1.0000000000002223,2.262634524186069e-13,1.0000000000002875,6.092903959142859e-13,1.0581681380026977e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,x,0.9999999999999313,-7.682743330406083e-14,0.9999999999999317,-1.412203687323199e-13,0.9999999999999922,-4.8405723873656825e-14,2.0911491556434922e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,y,1.0000000000000415,2.6645352591003757e-15,1.0000000000000275,-5.440092820663267e-15,0.9999999999999996,-1.432187701766452e-14,2.4834293941763394e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xx,0.9999999999999063,-2.7746693831431912e-12,0.9999999999999001,-4.078515303262975e-12,0.9999999999997681,-1.2597922705026576e-11,1.2106960153162823e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,xy,0.9999999999999433,-5.231370892033738e-13,0.9999999999999389,-1.099564883588755e-12,0.9999999999999798,-5.684341886080801e-13,4.01376990515291e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,shortwave,yy,1.0000000000000928,6.608047442568932e-13,1.0000000000000813,6.856737400084967e-13,1.0000000000001013,1.5205614545266144e-12,9.193742736284572e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,x,1.0000000000050555,3.4360535250410607e-14,1.000000000004695,6.03302130475214e-14,1.0000000000387692,5.95519727281113e-14,2.0691593446660884e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,y,0.999999999982244,-3.2697369117817843e-15,0.9999999999820828,-3.8632291810003494e-15,1.0000000001849174,4.066628219064061e-14,3.7504201493395576e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,xx,1.0000000000055635,1.0687284390797913e-12,1.0000000000045315,1.2315981567923018e-12,1.0000000000069011,3.0299096565045147e-12,6.796905094161361e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,xy,0.999999999998345,-2.5956667371040965e-14,0.999999999999505,-3.779355300936871e-14,1.0000000000477967,5.824041336005559e-14,2.9257997866897166e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,exponential,yy,0.999999999966312,-3.4874533816342534e-13,0.999999999968024,-3.959749195203699e-13,0.9999999999665063,-8.35088942441331e-13,1.2239631469795972e-12
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,x,nan,-1.7039395552773855e-28,nan,-4.165185579566942e-28,nan,-8.077935669463161e-28,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,y,nan,-6.941975965944904e-29,nan,-1.8301573001127474e-28,nan,-2.9661170036310044e-28,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,xx,nan,-5.528337223788851e-27,nan,-1.3833464833955663e-26,nan,-2.1406529524077376e-26,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,xy,nan,-5.2506581851510546e-27,nan,-1.3429568050482505e-26,nan,-2.039678756539448e-26,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,constant,yy,nan,-2.271919407036514e-27,nan,-4.695300107875462e-27,nan,-5.553580772755923e-27,nan
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,x,nan,2.6860811680149304e-14,nan,3.686702003755888e-14,nan,2.054513693910347e-14,2.7598455082653495e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,y,nan,1.089298873189087e-15,nan,2.7835151135409394e-15,nan,-1.7400722643732236e-14,2.5400399514183528e-14
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xx,nan,1.196156388773674e-12,nan,1.975357542580888e-12,nan,2.3975172153631016e-12,7.699205954531987e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,xy,nan,5.80258975240009e-14,nan,2.2184251353351454e-13,nan,3.2552211976675726e-13,3.308430428090267e-13
quad,4.0,2.0,0.0,gll,coupled,0.0,physical_quadratic,yy,nan,1.4664825439633792e-13,nan,4.69799900815314e-13,nan,7.158225810144238e-13,3.497131396181919e-13
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,x,0.9999999999950097,-4.499764276466589e-15,0.9999999999958334,-9.232198339148567e-15,0.9999999999987739,-4.136881809335691e-15,3.0551691433417377e-14
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,y,0.9999999999998382,1.8388068845354155e-16,0.9999999999998992,6.036837696399289e-16,1.0000000000001406,1.07032438467769e-14,1.881007665946618e-14
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xx,0.9999999999928663,-2.2353993656132332e-13,0.9999999999930496,-3.8250652645288596e-13,0.9999999998811707,-2.9125625522485876e-12,5.592675576303922e-13
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xy,1.0000000000038098,1.9170429133019695e-14,1.0000000000034792,4.0016601143832986e-14,1.0000000000026779,1.0949921525060802e-13,7.547124735768584e-14
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,yy,1.0000000000005844,3.066991105526995e-14,1.0000000000006408,6.505906924303417e-14,1.000000000006882,6.330214130656486e-13,9.881500484856555e-14
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xxx,0.9999999999918078,-6.2553295876455195e-12,0.9999999999920027,-8.028022691064507e-12,0.999999999990999,-1.5665024832856034e-11,6.649195216010278e-12
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xxy,0.999999999991606,-1.7362916659990901e-12,0.9999999999909547,-2.6811330933185218e-12,0.9999999999220375,-7.51519679820234e-12,1.3288969707524665e-12
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,xyy,1.000000000003371,8.750777880095484e-13,1.0000000000035751,1.645350522494482e-12,1.0000000000018212,-1.190214593549399e-12,8.322848286226643e-13
quad,4.0,3.0,0.0,gll,coupled,0.0,sine,yyy,1.0000000000011822,1.978861519091879e-12,1.0000000000010056,2.4140689447449404e-12,1.0000000000011495,3.595346242946107e-12,4.799438886127137e-13
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,x,0.99999999999974,-5.054290319606025e-14,0.9999999999997506,-1.1246559239452836e-13,0.9999999999999398,-1.509903313490213e-14,2.0519603654639702e-14
quad,4.0,3.0,0.0,gll,coupled,0.0,shortwave,y,1.0000000000001488,1.942890293094024e-15,1.0000000000001656,5.717648576819556e-15,1.0000000000000149,5.2735593669694936e-15,2.4520162481685924e-14
