dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds,reference,absolute_error,scaled_error,relative_error
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,0.0,0.0,1.0,recursive,-1.0636298040548181e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.0636298040548181e-14,1.0636298040548181e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,0.0,0.0,1.0,direct,-1.1424713086395965e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.1424713086395965e-14,1.1424713086395965e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,0.0,0.0,1.0,fe_geometry,-1.1424713086396143e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,1.1424713086396143e-14,1.1424713086396143e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,1.0,0.0,1.0,recursive,-5.495433189487639e-15,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,5.495433189487639e-15,5.495433189487639e-15,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,1.0,0.0,1.0,direct,-3.292609706653936e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.292609706653936e-14,3.292609706653936e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,0.0,1.0,0.0,1.0,fe_geometry,-3.292609706653918e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.292609706653918e-14,3.292609706653918e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,0.0,0.0,2.0,recursive,3.8097801609332914e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,3.8097801609332914e-14,3.8097801609332914e-14,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,0.0,0.0,2.0,direct,2.1577053109151159e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.1577053109151159e-13,2.1577053109151159e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,2.0,0.0,0.0,2.0,fe_geometry,2.1577053109150992e-13,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.1577053109150992e-13,2.1577053109150992e-13,nan
2.0,2.0,0.0,10.0,0.0,0.23,0.31,0.37,0.3150000000000003,0.4550000000000004,0.0,constant,1.0,1.0,0.0,2.0,recursive,-2.648976683244217e-14,6.661338147750939e-16,2.7755575615628914e-15,5.048709793414476e-29,0.0004440420016180724,0.0005511669733095914,0.0,2.648976683244217e-14,2.648976683244217e-14,nan
