dimension,n,curved,field,order,method,max_scaled_error,max_absolute_error,max_nonzero_relative_error
2.0,2.0,0.0,constant,1.0,recursive,4.523521793386903e-14,4.523521793386903e-14,nan
2.0,2.0,0.0,constant,1.0,direct,4.210047421793206e-14,4.210047421793206e-14,nan
2.0,2.0,0.0,constant,1.0,fe_geometry,4.21004742179311e-14,4.21004742179311e-14,nan
2.0,2.0,0.0,constant,2.0,recursive,1.426141879807474e-12,1.426141879807474e-12,nan
2.0,2.0,0.0,constant,2.0,direct,1.0096190550257232e-12,1.0096190550257232e-12,nan
2.0,2.0,0.0,constant,2.0,fe_geometry,1.0096190550257022e-12,1.0096190550257022e-12,nan
2.0,2.0,0.0,constant,3.0,recursive,2.580349606007226e-11,2.580349606007226e-11,nan
2.0,2.0,0.0,constant,3.0,direct,2.34513137797876e-11,2.34513137797876e-11,nan
2.0,2.0,0.0,constant,3.0,fe_geometry,2.345131377978608e-11,2.345131377978608e-11,nan
2.0,2.0,0.0,constant,4.0,recursive,3.1147402072912397e-10,3.1147402072912397e-10,nan
2.0,2.0,0.0,constant,4.0,direct,3.0046825827412245e-10,3.0046825827412245e-10,nan
2.0,2.0,0.0,constant,4.0,fe_geometry,3.004682582740708e-10,3.004682582740708e-10,nan
2.0,2.0,0.0,constant,5.0,recursive,6.364712933685075e-09,6.364712933685075e-09,nan
2.0,2.0,0.0,constant,5.0,direct,4.2744431993924075e-09,4.2744431993924075e-09,nan
2.0,2.0,0.0,constant,5.0,fe_geometry,4.274443199392044e-09,4.274443199392044e-09,nan
2.0,2.0,0.0,constant,6.0,recursive,1.1137286303023109e-07,1.1137286303023109e-07,nan
2.0,2.0,0.0,constant,6.0,direct,5.830333975609392e-08,5.830333975609392e-08,nan
2.0,2.0,0.0,constant,6.0,fe_geometry,5.83033397560803e-08,5.83033397560803e-08,nan
2.0,2.0,0.0,constant,7.0,recursive,2.3920177734839643e-06,2.3920177734839643e-06,nan
2.0,2.0,0.0,constant,7.0,direct,4.7022476792335513e-07,4.7022476792335513e-07,nan
2.0,2.0,0.0,constant,7.0,fe_geometry,4.7022476792301987e-07,4.7022476792301987e-07,nan
2.0,2.0,0.0,constant,8.0,recursive,4.140537948142289e-05,4.140537948142289e-05,nan
2.0,2.0,0.0,constant,8.0,direct,4.945322871208191e-06,4.945322871208191e-06,nan
2.0,2.0,0.0,constant,8.0,fe_geometry,4.945322871205614e-06,4.945322871205614e-06,nan
2.0,2.0,0.0,constant,9.0,recursive,0.0007169388569096389,0.0007169388569096389,nan
2.0,2.0,0.0,constant,9.0,direct,4.459172487258911e-05,4.459172487258911e-05,nan
2.0,2.0,0.0,constant,9.0,fe_geometry,4.459172487251328e-05,4.459172487251328e-05,nan
2.0,2.0,0.0,constant,10.0,recursive,0.00675238400188068,0.00675238400188068,nan
2.0,2.0,0.0,constant,10.0,direct,0.00018440186977386475,0.00018440186977386475,nan
2.0,2.0,0.0,constant,10.0,fe_geometry,0.00018440186977383883,0.00018440186977383883,nan
2.0,2.0,0.0,quintic,1.0,recursive,3.4416913763379853e-15,3.4416913763379853e-15,3.186751274387021e-14
2.0,2.0,0.0,quintic,1.0,direct,2.921274333544943e-14,2.921274333544943e-14,2.704883642171242e-13
2.0,2.0,0.0,quintic,1.0,fe_geometry,3.973210649377279e-14,3.973210649377279e-14,3.678898749423404e-13
2.0,2.0,0.0,quintic,2.0,recursive,1.0269562977782698e-13,1.0269562977782698e-13,1.5559943905731353e-13
2.0,2.0,0.0,quintic,2.0,direct,3.1175062531474396e-13,3.1175062531474396e-13,5.613565168260945e-13
2.0,2.0,0.0,quintic,2.0,fe_geometry,4.390932062392494e-13,4.390932062392494e-13,7.552292125012623e-13
