dimension,n,curved,capacity,point,xi,eta,zeta,x,y,z,field,dx,dy,dz,order,method,value,input_error,geometry_residual,inverse_residual,initialization_seconds,evaluation_seconds
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,0,0,1,recursive,-1.0636298040548181e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,0,0,1,direct,-1.1424713086395965e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,0,0,1,fe_geometry,-1.1424713086396143e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,1,0,1,recursive,-5.4954331894876392e-15,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,1,0,1,direct,-3.2926097066539358e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,1,0,1,fe_geometry,-3.2926097066539181e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,0,0,2,recursive,3.8097801609332914e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,0,0,2,direct,2.1577053109151159e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,0,0,2,fe_geometry,2.1577053109150992e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,1,0,2,recursive,-2.648976683244217e-14,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,1,0,2,direct,1.4572362132244045e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,1,0,2,fe_geometry,1.4572362132244007e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,2,0,2,recursive,1.8820036330388559e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,2,0,2,direct,1.8771260957354562e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,2,0,2,fe_geometry,1.8771260957354173e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,0,0,3,recursive,3.5663294939268318e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,0,0,3,direct,2.4073558372292615e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,0,0,3,fe_geometry,2.4073558372295042e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,1,0,3,recursive,-1.6246403734513326e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,1,0,3,direct,2.0540354288277744e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,2,1,0,3,fe_geometry,2.0540354288278273e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,2,0,3,recursive,7.1274408584333877e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,2,0,3,direct,3.4292630923027892e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,1,2,0,3,fe_geometry,3.4292630923027811e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,3,0,3,recursive,-3.8324653430812482e-13,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,3,0,3,direct,3.6981858921080867e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,0,3,0,3,fe_geometry,3.6981858921080076e-12,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,0,0,4,recursive,-1.2347027701668112e-10,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,0,0,4,direct,-7.2419983264262547e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,4,0,0,4,fe_geometry,-7.2419983264264913e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
2,2,0,10,0,0.23000000000000001,0.31,0.37,0.31500000000000028,0.4550000000000004,0,constant,3,1,0,4,recursive,1.6648384931381013e-11,6.6613381477509392e-16,2.7755575615628914e-15,5.0487097934144756e-29,0.00044404200161807239,0.00055116697330959141
