family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
quad,4,4,0,gll,coupled,0,sine,x,recursive,2.2897569413318513e-05,1.6142136766929039e-05,0.00012767926857426559,1.4184968039813395,6.4737223389331027e-05,4.5657160112452959e-05,3.0258335456779556e-05,2.6024396734135727e-05,1.6848898475647955e-06,2.1315734989047435e-14,1.5027048750865686e-14,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,x,direct,2.2897569409714513e-05,1.614213676438832e-05,0.00012767926845347333,1.4184968039813395,6.4737223378250129e-05,4.5657160104637949e-05,3.0258335497125663e-05,2.6024396762256195e-05,1.6848898475647955e-06,0,0,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,x,fe_geometry,2.289756942791514e-05,1.6142136777219246e-05,0.00012767926858159306,1.4184968039813395,6.4737223429627908e-05,4.565716014087311e-05,3.0258335494015809e-05,2.6024396758915676e-05,1.6848898475647955e-06,4.335620298435673e-14,3.0565015761038612e-14,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,y,recursive,0.00017153976131433336,8.062044310233565e-05,0.00090587536536235191,2.1277452059720039,0.00048495734554970197,0.00022801693795558529,0.00029338967959779006,0.00018822265073039057,1.6848898475647955e-06,2.8842082598651153e-14,1.355549913367506e-14,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,y,direct,0.00017153976131185287,8.0620443101169862e-05,0.00090587536532638069,2.1277452059720039,0.000484957345541141,0.00022801693795156011,0.00029338967967188097,0.00018822265077768395,1.6848898475647955e-06,0,0,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,y,fe_geometry,0.00017153976131202979,8.0620443101253006e-05,0.00090587536523756285,2.1277452059720039,0.00048495734554237179,0.0002280169379521388,0.00029338967968269253,0.00018822265078727082,1.6848898475647955e-06,3.9979478554452929e-14,1.8789967231250221e-14,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,xx,recursive,0.0015901618782442704,0.0005639202627497706,0.0068043385213811813,2.8198346172034534,0.0036500718705010224,0.0012938755646049701,0.0068110620326287102,0.0043635883375040567,1.6848898475647955e-06,9.5162697266842517e-13,3.37459159632777e-13,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,xx,direct,0.0015901618781782698,0.00056392026272636484,0.0068043385219908048,2.8198346172034534,0.0036500718703414634,0.0012938755645484096,0.0068110620321523733,0.0043635883371864453,1.6848898475647955e-06,0,0,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,xx,fe_geometry,0.0015901618788604689,0.00056392026296829361,0.0068043385270200041,2.8198346172034534,0.0036500718715751124,0.001293875564985713,0.0068110620350631205,0.0043635883390117751,1.6848898475647955e-06,1.5859382231576585e-12,5.6239408443371087e-13,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
quad,4,4,0,gll,coupled,0,sine,xy,recursive,0.00035145826379252208,8.3091933039457878e-05,0.0021661552256073691,4.2297519258051803,0.0010035618864282321,0.00023716139453077337,0.0006215387590578097,0.00044888432645918752,1.6848898475647955e-06,4.7149926967393817e-13,1.1147471799269009e-13,0,2.042810365310288e-14,2.3397058559780695e-13,2.6645352591003757e-15,0.062499999999998751,16,1.3044662639396744e-12,7.9380946260698693e-14,6.6613381477509392e-16,1.1036255243013215e-11,1.9457730422476861e-13,1.7763568394002505e-14,0.0064889579953160137,0.1635798113711644
