family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds
tri,4,3,1.2,gll,coupled,0,sine,x,recursive,0.015197745589659641,0.010713979437248979,0.24741884281242321,1.4184968039813559,0.031830751544713223,0.02227450575964833,0.043237034422472495,0.027472870147428791,0.00034121672209149883,0.00062008573876295265,0.0004368794174223264,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,x,direct,0.01523236024104738,0.010738381784360783,0.24660023876496873,1.4184968039813559,0.031930982214070702,0.022344645122168896,0.043301110364819227,0.027511604239830449,0.00034121672209149883,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,x,fe_geometry,0.015232360241025564,0.010738381784345405,0.24660023876494563,1.4184968039813559,0.031930982214046839,0.022344645122152198,0.043301110364786476,0.027511604239749465,0.00034121672209149883,2.0800245814017273e-13,1.4654746441351263e-13,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,y,recursive,0.018008479402510925,0.0084636446845072731,0.27045136824578853,2.1277452059720203,0.037113261517637212,0.017314065116615179,0.04657289335306692,0.029345548988466405,0.00034121672209149883,0.0006525660252850136,0.00030651833655548642,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,y,direct,0.018048604201043979,0.0084825025808476975,0.27427226004247318,2.1277452059720203,0.037236460852012258,0.017371540024787278,0.046706943850821005,0.029364362169068181,0.00034121672209149883,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,y,fe_geometry,0.018048604201031982,0.0084825025808420596,0.27427226004213967,2.1277452059720203,0.037236460851978979,0.017371540024771755,0.046706943850788975,0.029364362168989768,0.00034121672209149883,1.8761706687423491e-13,8.8126057777207785e-14,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,xx,recursive,0.3979275130529798,0.1411173232023171,3.8798269599586153,2.8198346172034388,0.66037609070882741,0.23597523065165868,0.90038956584789842,0.61923018413066322,0.00034121672209149883,0.033533805095207571,0.01153407903453821,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,xx,direct,0.40072775243584452,0.14211037413012007,4.1952167902278941,2.8198346172034388,0.66880095564342956,0.2389857264496181,0.8971856672784021,0.61226658302821502,0.00034121672209149883,0,0,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,xx,fe_geometry,0.40072775243271475,0.14211037412901015,4.1952167901423634,2.8198346172034388,0.66880095563806508,0.23898572644770119,0.89718566727013582,0.61226658302070647,0.00034121672209149883,1.0394924513184303e-11,3.5753735835442397e-12,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
tri,4,3,1.2,gll,coupled,0,sine,xy,recursive,0.32017042195630002,0.075694846310721001,2.8116069192561133,4.2297519258051901,0.57832708464146021,0.13777085422529062,0.58947895844977882,0.4142223608202088,0.00034121672209149883,0.035968618254007649,0.0083960103797242648,4.4408920985006262e-16,1.4210854715202004e-14,2.4343288254288337e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1411543345334394e-11,3.2983717250180194e-12,5.4622972811557702e-14,0.10269937283010222,1.1800660646986216
