n,p,curved,jump,version,detector_ms,total_ms,slowdown,detector_share,peak_mib
32,2,False,False,before,2.6601500000000056,15.010250000000006,1.39291583628305,17.719367468964933,37.5
32,2,False,False,after,1.7035999999999603,15.02279999999998,1.3528837529312976,11.328447426578462,63.75
32,2,True,False,after,5.86720000000002,21.994333333333344,1.63940555192075,26.647772690938204,93.734375
32,2,True,False,before,7.5257333333333065,23.529733333333347,1.7822382631375002,32.148270908041816,95.1875
64,2,False,False,before,10.655666666666223,60.0026666666667,1.390069659442727,17.560983758080674,94.71875
64,2,False,False,after,7.4866666666668635,57.43966666666663,1.308145315099622,13.033966074548136,142.125
64,2,True,False,after,23.543555555555233,89.17077777777787,1.6237508554393796,26.46627355098556,236.34375
64,2,True,False,before,29.497111111111234,93.82844444444454,1.7479290773682663,31.53843442295464,228.984375
64,1,True,False,before,28.42279999999988,83.29820000000012,2.0456386189553526,34.056003103676446,138.15625
64,1,True,False,after,21.06799999999964,73.51600000000003,1.7907190303479095,28.439253922804298,170.140625
64,2,True,True,after,22.904666666667044,92.8594444444444,1.688938995365151,24.908229223794535,261.28125
64,2,True,True,before,28.291555555555522,96.47299999999997,1.8425909248935033,29.967857617838796,215.5625
