family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
quad,4,3,1.2,bernstein,coupled,0,sine,x,recursive,3,0.001975473829126626,0.0013926529996979968,0.012261928199839067,1.4184968039813342,0.0045050759098641535,0.0031335834141997215,0.0081198968670488751,0.005872778706330334,8.8831010178622624e-05,0,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k,3,0.0075773838635984428,0.005341840631808821,0.085621880772165371,1.4184968039813342,0.015612241788123336,0.01085936461550418,0.021772213190514332,0.014586666991148595,8.8831010178622624e-05,0.00030916151097605711,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k1,4,0.0019222886756835153,0.0013551589755353517,0.014219611523354603,1.4184968039813342,0.0044110760417632022,0.0030682001812617037,0.0078567276476121124,0.0058709521938146566,8.8831010178622624e-05,2.0026459451008229e-05,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k2,5,0.0019788302356278237,0.0013950191710504997,0.013473957608671094,1.4184968039813342,0.0045533582687022518,0.0031671670433950105,0.0080862784062218258,0.0057882804347340775,8.8831010178622624e-05,3.5355139752367011e-06,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,oracle_k2,5,4.8563681512301592e-05,3.423601757578626e-05,0.0011333819592997951,1.4184968039813342,0.00013361803569873824,9.2940334165454315e-05,0.00018718428822450277,9.7703189792845661e-05,8.8831010178622624e-05,8.8810269914486715e-05,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,recursive,3,0.0059372413377859557,0.0027903911244267984,0.042342064312364425,2.1277452059720061,0.013477517013900223,0.0062496799350085118,0.019963599658867921,0.012978642220735569,8.8831010178622624e-05,0,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k,3,0.011963780325181902,0.0056227504550840027,0.13133566976374289,2.1277452059720061,0.025409300245540715,0.011782585304354064,0.034049055336343642,0.022170801890033537,8.8831010178622624e-05,0.00030916151097605711,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k1,4,0.0058285376202351514,0.0027393024333346025,0.044059551693376831,2.1277452059720061,0.013230053802870928,0.0061349283926415091,0.019274651247937303,0.013038504194646396,8.8831010178622624e-05,2.0026459451008229e-05,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k2,5,0.0059427426980778603,0.0027929766597044547,0.042276168865904129,2.1277452059720061,0.013553841760524795,0.0062850725994757295,0.019995537432498427,0.012989059444767539,8.8831010178622624e-05,3.5355139752367011e-06,4.1095799569873975e-16,2.0816681711721685e-17,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,oracle_k2,5,7.9413923177873346e-05,3.7323041760347948e-05,0.0017851508045241271,2.1277452059720061,0.00022839336266372072,0.00010590863394618043,0.00031949522021517508,0.00016534431724981647,8.8831010178622624e-05,8.8810269914486715e-05,4.1095799569873975e-16,2.0816681711721685e-17,48,16
