family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
quad,8,2,1.2,gll,coupled,0,sine,x,recursive,2,0.0074132473999405325,0.0052261290819503739,0.039898399614656244,1.4184968039813386,0.013219553621571059,0.0092043328182891317,0.0039640986918374737,0.0030491108880216743,0.00016914146700678447,0,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,x,physical_k,2,0.013571550755695463,0.0095675582190976917,0.095245794185445432,1.4184968039813386,0.02398109934308908,0.016697236988552296,0.036794979174639843,0.029284787011823202,0.00016914146700678447,0.00033581782016896494,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,x,physical_k1,3,0.0074034665912436357,0.0052192338893285468,0.043157171144690532,1.4184968039813386,0.01318361168216921,0.0091793076486155079,0.0047552090063064968,0.0037911017252777956,0.00016914146700678447,1.7284491314731232e-05,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,x,physical_k2,4,0.0074160745778504176,0.0052281221621617285,0.040000166554185146,1.4184968039813386,0.013245087749653602,0.0092221113772196738,0.0040665494385125796,0.0032599369277531761,0.00016914146700678447,1.0936520680756777e-06,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,x,oracle_k2,4,2.9829445734112748e-05,2.102891289595403e-05,0.00052056350135409879,1.4184968039813386,7.3687360031899734e-05,5.1306042976214872e-05,0.0001018185792173314,6.4600085084254907e-05,0.00016914146700678447,0.0001691392348056262,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,y,recursive,2,0.014784795994363702,0.0069485744594168612,0.06818613878905655,2.127745205971999,0.027183464727472417,0.012617957896228554,0.0098994909090564399,0.006397477615685359,0.00016914146700678447,0,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,y,physical_k,2,0.020786901672976248,0.0097694505971077251,0.14630323287985414,2.127745205971999,0.03732835247999064,0.017326988470755401,0.055490109543897388,0.044217815336097484,0.00016914146700678447,0.00033581782016896494,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,y,physical_k1,3,0.014766803509901848,0.0069401183320519149,0.070528215307212871,2.127745205971999,0.027155934627224383,0.012605179037856701,0.010811480797814438,0.0075238123739861038,0.00016914146700678447,1.7284491314731232e-05,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,y,physical_k2,4,0.014789792227941615,0.006950922594693534,0.067800140718802027,2.127745205971999,0.02723188260869144,0.012640432396545977,0.0096866463538154771,0.0064098223943057841,0.00016914146700678447,1.0936520680756777e-06,1.1070335466754796e-16,6.9388939039072284e-18,40,64
quad,8,2,1.2,gll,coupled,0,sine,y,oracle_k2,4,4.7487047416149547e-05,2.2318014056789501e-05,0.00089108381176439266,2.127745205971999,0.00012102194316743611,5.617568616494982e-05,0.00017437508747509167,0.00010967623843464056,0.00016914146700678447,0.0001691392348056262,1.1070335466754796e-16,6.9388939039072284e-18,40,64
