family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
tri,4,3,1.2,gl,coupled,0,sine,x,recursive,3,0.015197745589655517,0.010713979437246238,0.24826929931683805,1.4184968039813337,0.031830751544707589,0.022274505759644396,0.043237034422502527,0.027448678558665614,0.00034121672209157927,0,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,x,physical_k,3,0.0095568899586123308,0.0067373362645504354,0.13995764104744368,1.4184968039813337,0.01990125392102669,0.013926488492281902,0.02731618160697739,0.016338418263627998,0.00034121672209157927,0.00022877700720597358,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,x,physical_k1,4,0.015107591259123424,0.010650423192157031,0.2410041924116002,1.4184968039813337,0.031560308553538037,0.022085255312447104,0.042759622247744856,0.027427258193238959,0.00034121672209157927,2.8555077513060261e-05,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,x,physical_k2,5,0.015203285231430781,0.010717884727522336,0.24510779343048883,1.4184968039813337,0.031833031801931991,0.022276101436787203,0.043201912075406856,0.027490261197061602,0.00034121672209157927,3.312374594419838e-06,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,x,oracle_k2,5,6.4688373226084005e-05,4.5603467730432222e-05,0.0020070960700486751,1.4184968039813337,0.00018614265345636119,0.00013025880336836064,0.00026201281768543303,0.00011530521085582707,0.00034121672209157927,0.00034121458834827256,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,y,recursive,3,0.018008479402537202,0.0084636446845196816,0.27126874118424293,2.1277452059720061,0.037113261517692217,0.017314065116640825,0.046572893353168221,0.029329832525702954,0.00034121672209157927,0,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,y,physical_k,3,0.012572669590750542,0.0059089168926159275,0.16502278685913074,2.1277452059720061,0.02553006793648481,0.011910277906290795,0.033047431994229812,0.019559754139670895,0.00034121672209157927,0.00022877700720597358,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,y,physical_k1,4,0.017942301189573674,0.008432542176203468,0.26792993180912639,2.1277452059720061,0.036902729786733313,0.017215847930926655,0.046341015185756146,0.02938704882087264,0.00034121672209157927,2.8555077513060261e-05,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,y,physical_k2,5,0.018012098637568939,0.0084653456565259057,0.272149906287801,2.1277452059720061,0.037100668526276283,0.017308190238915919,0.046598983981618623,0.029400600343024844,0.00034121672209157927,3.312374594419838e-06,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,y,oracle_k2,5,7.8743382951335737e-05,3.7007900537303209e-05,0.0021104162449541164,2.1277452059720061,0.00021692833583901376,0.0001012013274707947,0.00028763178943623464,0.00013729945879510018,0.00034121672209157927,0.00034121458834827256,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,xx,recursive,3,0.39792751305324509,0.14111732320241055,3.8885393681071192,2.8198346172034516,0.66037609070922887,0.23597523065180176,0.90038956584828522,0.61912450303594946,0.00034121672209157927,0,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,xx,physical_k,3,0.20956326040573031,0.074317571366494889,1.6455348204482489,2.8198346172034516,0.33385035019441461,0.11929628358546931,0.43782563115376416,0.29592553585201709,0.00034121672209157927,0.00022877700720597358,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,xx,physical_k1,4,0.39301981019891985,0.13937690097183575,3.6060014215449421,2.8198346172034516,0.64814604916623086,0.23160501356703334,0.89957005834016046,0.62830163485119928,0.00034121672209157927,2.8555077513060261e-05,6.8487287193582739e-16,1.7347234759768071e-17,48,32
tri,4,3,1.2,gl,coupled,0,sine,xx,physical_k2,5,0.39932721732579263,0.14161370134601092,4.2600248102672289,2.8198346172034516,0.66561393841594763,0.23784689490206942,0.89629840112201897,0.61593466712669243,0.00034121672209157927,3.312374594419838e-06,6.8487287193582739e-16,1.7347234759768071e-17,48,32
