family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
tri,4,4,0,gll,coupled,0,sine,x,recursive,4,0.00054965293824320543,0.00038748972623729575,0.0093000704810854984,1.4184968039813322,0.0014089699434415846,0.00099368921128885302,0.0019004930658173612,0.0011233148493222335,8.9237986599588061e-06,0,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,x,physical_k,4,0.00054965293805791062,0.0003874897261066682,0.0093000704649952581,1.4184968039813322,0.0014089699430408879,0.00099368921100625811,0.001900493057819872,0.0011233148632823198,8.9237986599588061e-06,7.8408029694564266e-13,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,x,physical_k1,5,0.0005496529383664918,0.00038748972632420919,0.0093000704384027522,1.4184968039813322,0.0014089699427199905,0.00099368921077994197,0.0019004930791144009,0.0011233148333904415,8.9237986599588061e-06,3.517110390538967e-12,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,x,physical_k2,6,0.0005496529387932882,0.00038748972662508852,0.0093000703850898425,1.4184968039813322,0.0014089699366689999,0.00099368920651242442,0.0019004930327622376,0.0011233153508808393,8.9237986599588061e-06,1.6371324607880976e-11,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,x,oracle_k2,6,1.8647583569666069e-06,1.3146017331394338e-06,5.4419142143435906e-05,1.4184968039813322,6.3008104624944512e-06,4.4437054233132016e-06,8.6642866944062137e-06,4.2463201119203107e-06,8.9237986599588061e-06,8.9237803135668667e-06,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,y,recursive,4,0.00069232563957366273,0.00032537995509541177,0.0093020563330190598,2.1277452059720483,0.0017164360198114465,0.00080702168876082908,0.0019700680967964642,0.0011927514758278764,8.9237986599588061e-06,0,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,y,physical_k,4,0.00069232563958641588,0.00032537995510140551,0.0093020563266787981,2.1277452059720483,0.0017164360193861227,0.00080702168856085341,0.0019700680912509605,0.0011927514858655211,8.9237986599588061e-06,7.8408029694564266e-13,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,y,physical_k1,5,0.0006923256394673721,0.00032537995504545715,0.0093020563105952192,2.1277452059720483,0.0017164360179262139,0.00080702168787444382,0.0019700680902350535,0.001192751470643438,8.9237986599588061e-06,3.517110390538967e-12,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,y,physical_k2,6,0.00069232563931442847,0.00032537995497357655,0.0093020562733161505,2.1277452059720483,0.0017164360093004445,0.00080702168381884074,0.0019700681912534633,0.0011927518848100453,8.9237986599588061e-06,1.6371324607880976e-11,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,y,oracle_k2,6,2.2074591055274638e-06,1.0374640249836676e-06,4.9123891182834001e-05,2.1277452059720483,7.1365706411735834e-06,3.355422063115137e-06,8.9288556548690935e-06,4.7221724574172194e-06,8.9237986599588061e-06,8.9237803135668667e-06,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,xx,recursive,4,0.0214797227705107,0.0076173696994375545,0.22741370059250299,2.8198346172034561,0.043432652949502465,0.015396198309422638,0.061575389801830631,0.040174454685038004,8.9237986599588061e-06,0,1.4379094756769024e-15,2.7755575615628914e-17,56,32
tri,4,4,0,gll,coupled,0,sine,xx,physical_k,4,0.021479722770702109,0.0076173696995054342,0.22741370237674152,2.8198346172034561,0.043432652976943438,0.015396198319150036,0.061575390176323255,0.040174454981148612,8.9237986599588061e-06,7.8408029694564266e-13,1.4379094756769024e-15,2.7755575615628914e-17,56,32
