family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,x,recursive,3,1.1542963144152923e-06,6.7074700795483053e-07,3.4727164739400962e-05,1.7209116115699841,2.7575282696546881e-06,1.5160594298305335e-06,2.8997624306120144e-06,1.4537943634249587e-06,6.8631180561605751e-15,0,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,x,physical_k,3,0.00014432521695261608,8.3865560544941922e-05,0.0024370233914527972,1.7209116115699841,0.00033408480114982986,0.00018367623596826584,0.00047084196216757017,0.00028725850461120946,6.8631180561605751e-15,9.4661769826661241e-07,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,x,physical_k1,4,6.0834276877513845e-06,3.5350029872838653e-06,0.00016331481134734815,1.7209116115699841,1.6921472624946784e-05,9.3032439311609764e-06,1.1222622602035996e-05,5.5507327999892923e-06,6.8631180561605751e-15,2.6871891018522161e-08,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,x,physical_k2,5,2.713180597017853e-07,1.5765949737201343e-07,1.0601011425137585e-05,1.7209116115699841,8.8204064712131232e-07,4.8493647563930359e-07,1.2294057843753337e-06,6.1545444364842235e-07,6.8631180561605751e-15,8.8556825252569957e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,x,oracle_k2,5,2.7131825752511527e-07,1.5765961232465171e-07,1.0600845068431397e-05,1.7209116115699841,8.8204070583222844e-07,4.8493650791793477e-07,1.2294148082664708e-06,6.1545695706744035e-07,6.8631180561605751e-15,8.8556845423528736e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,y,recursive,3,2.7083510821932753e-07,1.6280861998363036e-07,6.4826900105785512e-06,1.6635182353769642,6.2773437145661217e-07,3.6167528252741505e-07,6.639929688986446e-07,3.7786410032932071e-07,6.8631180561605751e-15,0,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,y,physical_k,3,5.816332618760349e-05,3.4964044848250967e-05,0.000719652310369856,1.6635182353769642,0.00013031664834411058,7.5083208361707011e-05,0.00018433864022762811,0.00011280303525048399,6.8631180561605751e-15,9.4661769826661241e-07,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,y,physical_k1,4,1.5930297015588695e-06,9.5762683430871946e-07,3.0606007882738595e-05,1.6635182353769642,4.2864662697294587e-06,2.4696893616821674e-06,2.5513693180015193e-06,1.4049055228832995e-06,6.8631180561605751e-15,2.6871891018522161e-08,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,y,physical_k2,5,4.6304021766228485e-08,2.7834995001263504e-08,1.2804885178852032e-06,1.6635182353769642,1.4590742085455889e-07,8.4065984053043812e-08,2.0257271764682091e-07,1.1097881739822234e-07,6.8631180561605751e-15,8.8556825252569957e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,y,oracle_k2,5,4.6304162813274933e-08,2.7835079789661638e-08,1.280476181975132e-06,1.6635182353769642,1.4590709537604288e-07,8.4065796525421334e-08,2.0257082005335479e-07,1.1098101367828211e-07,6.8631180561605751e-15,8.8556845423528736e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xx,recursive,3,0.00021790168663318136,5.9926021867832891e-05,0.0047983040625183548,3.6361780715857379,0.00051541754080318988,0.00013426616271831364,0.00067472697974762163,0.00036578534917162925,6.8631180561605751e-15,0,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xx,physical_k,3,0.017690795965728714,0.0048652171641345816,0.18779360847154614,3.6361780715857379,0.032707940926822214,0.008520411842829782,0.01287691364921846,0.008063299659035161,6.8631180561605751e-15,9.4661769826661241e-07,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xx,physical_k1,4,0.0011320282335755452,0.00031132365117692582,0.019121139237606499,3.6361780715857379,0.0025706983243401231,0.00066966638150823871,0.0034316352923714059,0.0017143867341068929,6.8631180561605751e-15,2.6871891018522161e-08,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xx,physical_k2,5,7.0876706618360752e-05,1.9492089007470257e-05,0.001743294178423227,3.6361780715857379,0.00019090707914224626,4.9731254610091801e-05,0.00010309553911594147,4.6836027047037607e-05,6.8631180561605751e-15,8.8556825252569957e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xx,oracle_k2,5,7.0876858172828796e-05,1.9492130687075889e-05,0.001743227570146999,3.6361780715857379,0.00019090750218282159,4.9731364812074127e-05,0.00010309636903583975,4.6836660089034556e-05,6.8631180561605751e-15,8.8556845423528736e-10,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xy,recursive,3,1.6150479153282623e-05,1.5781460450808589e-05,0.00043604215320969253,1.0233830515004794,3.8019753606366197e-05,3.6258568121970723e-05,5.4736584408775786e-05,3.0183283154257368e-05,6.8631180561605751e-15,0,1.0452967146453589e-16,2.6020852139652106e-18,48,128
tri,8,3,0.29999999999999999,gll,separable,0,represented_quadratic,xy,physical_k,3,0.0010643276049149381,0.0010400090204292774,0.013862512037416508,1.0233830515004794,0.0020673513229974433,0.00197158560134376,0.0018401879783067746,0.0012924438330794417,6.8631180561605751e-15,9.4661769826661241e-07,1.0452967146453589e-16,2.6020852139652106e-18,48,128
