family,n,p,amplitude,basis,map,extra,field,derivative,order,method,error_ratio,face_ratio,jump_ratio,relative_l2,error_l2
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k,1.7758063426242001,1.7428634060275605,4.603787223243329,0.03725881124144458,0.05285150466613313
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k1,0.9956559826560447,0.9899966407743641,1.163347690354358,0.02089020487694425,0.029632688852460797
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,x,1,physical_k2,1.0011342586322942,1.006079400967477,1.016644277071686,0.02100514649283351,0.02979573316724416
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k,1.387298505416265,1.3518071239055451,3.1558322061655013,0.03799191426190923,0.08083711343647687
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k1,0.9956833790033075,0.9965072083716998,1.0733930739983568,0.027267323809125926,0.058017917514554034
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,y,1,physical_k2,1.0011693617901944,1.0064757391418087,0.9820808191715112,0.027417560392577867,0.058337582684755515
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k,0.9467700827743137,0.9639809660727255,0.9918237789391863,0.25401787084177835,0.7162883855879616
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k1,0.9802343698053713,0.971969018464377,0.9719564377638127,0.2629963198818645,0.7416061269999937
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xx,2,physical_k2,1.0012367175432535,1.0098647891644503,1.0120381766058826,0.2686312377485365,0.7574956634655335
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k,4.5452355160062385,3.700925974490161,6.283150636486586,0.25217574151780764,1.0666408283262954
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k1,1.077316668674881,1.0315585599007446,1.5513651180194825,0.059770968702474045,0.25281636997653056
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,xy,2,physical_k2,1.0415567041834766,1.0483491474045081,0.8675364360818886,0.05778695807628894,0.24442449720960616
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k,1.0051079885423875,1.0117586185727356,0.9776178223629883,0.25252204597540207,1.602158415409077
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k1,0.9930367277492396,0.9929342595411798,0.9844613661735301,0.24948927784726393,1.582916630163308
quad,4.0,2.0,1.2,gll,coupled,0.0,sine,yy,2,physical_k2,1.0030533736815805,1.0114685812633362,1.0127525957537387,0.25200584716467045,1.5988833260383915
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k,1.6152245895351645,1.5278809338892976,1.7624995269881876,0.2977246413900048,1.6835216259240144
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k1,1.0217570167363172,1.0276911738456633,1.038698996939082,0.1883343303255962,1.0649602818455275
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,x,1,physical_k2,1.0002095747152697,1.0025931910543686,0.9973688258942447,0.18436261983397068,1.0425017427291703
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k,2.211340382730106,2.010649932218399,2.6169851120253975,0.2922963777148152,1.239620117009904
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k1,1.071711596669477,1.0720534806247415,1.1984107932394699,0.14165952022035774,0.600773750273629
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,y,1,physical_k2,0.9988270014411859,1.0021469846371742,0.9971734058253019,0.13202558808452874,0.5599165348170156
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k,1.103772649886026,1.0757595657411347,1.141609066626934,0.666796804394679,30.187658039393526
quad,4.0,2.0,1.2,gll,coupled,0.0,shortwave,xx,2,physical_k1,0.9936572539072885,0.999235753293121,0.9902765003669252,0.6002753208619437,27.176054228570905
