family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
quad,4,3,1.2,bernstein,coupled,0,sine,x,recursive,3,0.001975473829126626,0.0013926529996979968,0.012261928199839067,1.4184968039813342,0.0045050759098641535,0.0031335834141997215,0.0081198968670488751,0.005872778706330334,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k,3,0.0075773838635984567,0.0053418406318088306,0.085621880772158709,1.4184968039813342,0.015612241788125387,0.010859364615505606,0.021772213190512889,0.014586666991146245,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k1,4,0.0019222886756878851,0.0013551589755384323,0.014219611523316855,1.4184968039813342,0.0044110760417736842,0.0030682001812689947,0.0078567276476392868,0.0058709521938572189,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,physical_k2,5,0.0019788302356340708,0.0013950191710549035,0.013473957608741038,1.4184968039813342,0.004553358268717088,0.0031671670434053299,0.0080862784062397611,0.0057882804347679645,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,x,oracle_k2,5,4.8563681513739677e-05,3.4236017576800071e-05,0.0011333819593701833,1.4184968039813342,0.00013361803570319995,9.2940334168557722e-05,0.00018718428826336887,9.7703189796231895e-05,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,recursive,3,0.0059372413377859557,0.0027903911244267984,0.042342064312364425,2.1277452059720061,0.013477517013900223,0.0062496799350085118,0.019963599658867921,0.012978642220735569,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k,3,0.011963780325182975,0.0056227504550845067,0.13133566976375866,2.1277452059720061,0.025409300245544532,0.011782585304355834,0.034049055336348638,0.022170801890037065,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k1,4,0.005828537620249841,0.0027393024333415067,0.044059551693579557,2.1277452059720061,0.013230053802905588,0.0061349283926575814,0.019274651248040824,0.013038504194711744,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,physical_k2,5,0.0059427426980923634,0.0027929766597112704,0.04227616886590857,2.1277452059720061,0.013553841760558408,0.0062850725994913169,0.019995537432562428,0.01298905944480435,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,y,oracle_k2,5,7.9413923177684803e-05,3.7323041760259342e-05,0.0017851508045458875,2.1277452059720061,0.00022839336265602432,0.00010590863394261152,0.00031949522019033411,0.00016534431728312712,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xx,recursive,3,0.087325309443597385,0.030968237963615641,0.43742355311605757,2.8198346172034476,0.16011007874127831,0.057578813759775749,0.11753591368177468,0.071889929570267297,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xx,physical_k,3,0.1324619586741341,0.046975080689484673,0.90040206724346694,2.8198346172034476,0.22682288806671963,0.081570085600620193,0.34828585261497724,0.26385893600261157,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xx,physical_k1,4,0.083926004447509875,0.029762739961942498,0.44382904336277917,2.8198346172034476,0.15415999445001874,0.055439043434542153,0.13550617964578179,0.097271926482143695,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xx,physical_k2,5,0.087200210763057034,0.030923874127603012,0.42505897402791171,2.8198346172034476,0.1621549756869281,0.058314199947310921,0.1116287514563104,0.071526758514317709,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xx,oracle_k2,5,0.0014360141408022674,0.00050925473857272696,0.023798060035789881,2.8198346172034476,0.0035068834102998225,0.0012611460087105857,0.0048920485015776054,0.0028015023445475632,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xy,recursive,3,0.02366837045315005,0.0055956876120210183,0.14924395591682238,4.2297519258051723,0.047698079772545643,0.011435461042442077,0.068167266234273077,0.054215462780893293,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xy,physical_k,3,0.20779436581247346,0.049126844660734532,1.423759115748676,4.2297519258051723,0.36563032076672558,0.087658692110916037,0.52661598189964076,0.39652013458526386,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xy,physical_k1,4,0.026111382551817053,0.0061732657162503705,0.24370277444228786,4.2297519258051723,0.053310461661436395,0.0127810115289977,0.060818898720702036,0.046678471945481734,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xy,physical_k2,5,0.02599825551904443,0.0061465201683418872,0.16308681418417548,4.2297519258051723,0.054038826034969942,0.012955634542292246,0.086770120980859136,0.067895507158920398,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xy,oracle_k2,5,0.0025501751203785851,0.00060291363775267636,0.041774779373857207,4.2297519258051723,0.0064784170830926848,0.0015531796358192009,0.0091239013246077038,0.0051477622840929186,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yy,recursive,3,0.26262962396495593,0.041394015310557017,1.3215030201426394,6.3446278887077572,0.47605076809029451,0.076087759209328532,0.39475066099265232,0.22114677082295028,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yy,physical_k,3,0.31037688431253169,0.048919635596745413,2.0931962444695227,6.3446278887077572,0.54434761153101097,0.087003724746619271,0.79110690386724092,0.59744894498075007,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yy,physical_k1,4,0.25672428093574462,0.040463252603460877,1.3586738405939567,6.3446278887077572,0.46480381703419504,0.074290145674897085,0.4349898005462407,0.28123698796258634,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yy,physical_k2,5,0.26326446654209706,0.041494075170374956,1.3245577785322862,6.3446278887077572,0.48067440527027744,0.076826760626830942,0.37675743880202944,0.21466286068073812,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yy,oracle_k2,5,0.0037227150439909447,0.00058675072979719992,0.059272434722592138,6.3446278887077572,0.0093456732595877008,0.0014937300479046678,0.01362755202810881,0.0076470677224331172,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxx,recursive,3,2.2366794705400443,0.39419889143604242,8.4259889535840671,5.6739872159253357,3.184510974282829,0.55376041219972338,5.4697937391210063,3.4924858788931461,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxx,physical_k,3,1.6091997785549057,0.28361004657153976,5.7238823599087247,5.6739872159253357,2.1624185347785647,0.37602689670019918,3.4470065904414562,2.9749967265781168,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxx,physical_k1,4,2.1310522103168754,0.37558283605849385,7.5168424117727586,5.6739872159253357,3.0171030010541218,0.5246495348909942,5.2792303887588288,3.8838291527804891,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxx,physical_k2,5,2.2353203627388938,0.3939593583265325,9.0209599191986545,5.6739872159253357,3.2531727122342025,0.56570012684268045,5.5301547149820385,3.6322131336766823,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxx,oracle_k2,5,0.032504072294751454,0.0057286121836019272,0.35168099569480216,5.6739872159253357,0.067362782509230432,0.011713836915770902,0.096090094276298804,0.065450605707731355,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxy,recursive,3,0.45665893085797776,0.053655264922728936,2.0193190191131212,8.5109808238880262,0.79666949939650222,0.092356206637997706,0.57764986270630536,0.38205814247212661,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxy,physical_k,3,2.369643585798527,0.27842191573826336,8.5255980170176073,8.5109808238880262,3.2404937375245986,0.37566357122830912,5.254725493761077,4.5038610098348686,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxy,physical_k1,4,0.40852303963432207,0.047999525329408356,2.5402286189012599,8.5109808238880262,0.69155739501425362,0.080170783147032354,1.0181177973898679,0.80003431592278162,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxy,physical_k2,5,0.43298781557836841,0.05087402081356928,1.963535231299316,8.5109808238880262,0.74064720265443207,0.085861660507933341,0.75298794259794333,0.5512929569792705,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xxy,oracle_k2,5,0.054714428426372537,0.0064286866059906876,0.60047189315384752,8.5109808238880262,0.11718193012228167,0.013584652808738331,0.16326795423328128,0.10915836200344328,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xyy,recursive,3,0.68791830359819772,0.053884765092126342,2.8846443348639319,12.766471235832048,1.1599686371969309,0.089648470481766399,1.2528816933809923,0.8237132971479777,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xyy,physical_k,3,3.5548586875868629,0.27845272369465196,12.857731326253456,12.766471235832048,4.8679279911502222,0.37621905009135692,7.9121939059547639,6.7785908156689612,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xyy,physical_k1,4,0.66221980926926116,0.051871797385215454,4.0060847530848704,12.766471235832048,1.105938740060409,0.085472756170833677,1.5859480971325726,1.2310546684209607,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xyy,physical_k2,5,0.86955400149969042,0.068112322147335952,4.282889515700349,12.766471235832048,1.5213404717657795,0.1175771844188719,1.2953302717920572,0.95086593459447488,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,xyy,oracle_k2,5,0.08613137891160895,0.006746686482155019,0.92231466956440755,12.766471235832048,0.18337672157588694,0.014172316461042413,0.2541501398685303,0.16942791639312563,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yyy,recursive,3,6.5728201814719691,0.34323346209268546,22.153295310920978,19.149706853748047,9.1900433303841886,0.47350322058189126,13.896511781360104,8.7487388210509085,8.8831010178622624e-05,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yyy,physical_k,3,5.3322927043249688,0.27845296771638645,19.036413335680287,19.149706853748047,7.2821383395228239,0.37520127300017581,11.755513256961953,10.094358508605989,8.8831010178622624e-05,0.00030916151097606031,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yyy,physical_k1,4,6.3978262590294923,0.33409525837087622,21.808132382504073,19.149706853748047,8.9164366700378732,0.45940604713132605,13.204336566445182,9.444586822616083,8.8831010178622624e-05,2.0026459451009967e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yyy,physical_k2,5,6.6067125411328327,0.34500332519919197,21.901338080017631,19.149706853748047,9.368090052366238,0.48267681130847873,14.073901337623315,9.022887181728418,8.8831010178622624e-05,3.5355139752365681e-06,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,sine,yyy,oracle_k2,5,0.12238031001983427,0.0063907145396265731,1.3036188856994197,19.149706853748047,0.25992886570521329,0.01339244556407017,0.35148668000931726,0.23239501742467591,8.8831010178622624e-05,8.8810269914372955e-05,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,x,recursive,3,0.23665388963667885,0.041851374725857045,1.9805995836999406,5.6546264295224429,0.52198806514459051,0.092207803999951959,0.54786830159031652,0.35684496746060146,0.0038721027130542139,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,x,physical_k,3,0.54599794927013923,0.096557740122233143,6.3344389552465739,5.6546264295224429,1.1394222597453278,0.2012759130243274,1.6051481362175255,1.1187113416009749,0.0038721027130542139,0.01453901886785953,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,x,physical_k1,4,0.25326641308978354,0.044789238731580173,3.0995330513633466,5.6546264295224429,0.5695400345986481,0.10060773298686643,0.62084508785433512,0.41349271188054215,0.0038721027130542139,0.0024980360868280599,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,x,physical_k2,5,0.23688806219052949,0.041892787285425621,2.0396556851710619,5.6546264295224429,0.52558110429743377,0.09284250481418943,0.55253272894868211,0.36257611641827536,0.0038721027130542139,0.00036704632987106519,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,x,oracle_k2,5,0.027644246587987992,0.0048887838891812814,0.67629762461738974,5.6546264295224429,0.078496835555607006,0.013866257316674358,0.10758997099954457,0.057399231640643207,0.0038721027130542139,0.0038546303693902276,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,y,recursive,3,0.10619430543844263,0.025040099291442474,0.94369599343331956,4.2409698221418326,0.23372579080580355,0.055049386112906835,0.28860859505550424,0.20709142648527554,0.0038721027130542139,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,y,physical_k,3,0.39557963733166573,0.093275749161517166,4.7231360651061065,4.2409698221418326,0.80774424996480232,0.19024783248562496,1.1440302726759712,0.8194967786888101,0.0038721027130542139,0.01453901886785953,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,y,physical_k1,4,0.13404613000903043,0.031607423686248401,1.7413117752967235,4.2409698221418326,0.30733963398235248,0.072387639038737531,0.385169280990935,0.26522346832377025,0.0038721027130542139,0.0024980360868280599,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,y,physical_k2,5,0.10667003870891315,0.025152274876372775,0.97375989733146495,4.2409698221418326,0.23825875146204695,0.056117033378276421,0.29169633150101953,0.20913524475810868,0.0038721027130542139,0.00036704632987106519,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,y,oracle_k2,5,0.019577484756267055,0.0046162754222051419,0.49913456502180953,4.2409698221418326,0.053879998935353134,0.01269034476225041,0.07406267802113399,0.040180985672288429,0.0038721027130542139,0.0038546303693902276,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,xx,recursive,3,9.9420732580632798,0.21960440484927271,60.396586732531198,45.272649539462122,17.535332041201084,0.3877639126616037,24.59442559887626,14.758544879134627,0.0038721027130542139,0,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,xx,physical_k,3,13.988961599163474,0.30899365823442537,94.586107155810311,45.272649539462122,24.066462528494462,0.53218870632424486,35.559190282995097,29.492636126388906,0.0038721027130542139,0.01453901886785953,4.5451597696743041e-16,3.3306690738754696e-16,48,16
quad,4,3,1.2,bernstein,coupled,0,shortwave,xx,physical_k1,4,10.04300285362952,0.2218337772538691,74.141014070841322,45.272649539462122,18.026816695325699,0.39863225618932868,25.662041720223673,17.531203679148216,0.0038721027130542139,0.0024980360868280599,4.5451597696743041e-16,3.3306690738754696e-16,48,16
