family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
quad,4,3,1.2,gl,coupled,0,sine,x,recursive,3,0.0019754738291303284,0.0013926529997006067,0.012261928199638561,1.4184968039813342,0.0045050759098802283,0.0031335834142109031,0.0081198968670647687,0.0058727787063664579,8.8831010178603312e-05,0,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,x,physical_k,3,0.0075773838635979848,0.0053418406318084984,0.085621880772340564,1.4184968039813342,0.015612241788123043,0.010859364615503977,0.021772213190498341,0.014586666991137885,8.8831010178603312e-05,0.00030916151097601575,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,x,physical_k1,4,0.0019222886756843458,0.0013551589755359372,0.014219611523172082,1.4184968039813342,0.0044110760417637625,0.0030682001812620927,0.0078567276476229943,0.0058709521938299291,8.8831010178603312e-05,2.0026459450823935e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,x,physical_k2,5,0.0019788302356309254,0.0013950191710526861,0.013473957609014153,1.4184968039813342,0.004553358268708895,0.0031671670433996305,0.0080862784062293181,0.0057882804347366675,8.8831010178603312e-05,3.5355139750108215e-06,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,x,oracle_k2,5,4.8563681513739677e-05,3.4236017576800071e-05,0.0011333819593701833,1.4184968039813342,0.00013361803570319995,9.2940334168557722e-05,0.00018718428826336887,9.7703189796231895e-05,8.8831010178603312e-05,8.8810269914335252e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,y,recursive,3,0.0059372413377894425,0.0027903911244284369,0.042342064311965188,2.1277452059720061,0.013477517013909894,0.006249679935012996,0.019963599658876955,0.01297864222076062,8.8831010178603312e-05,0,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,y,physical_k,3,0.011963780325184224,0.0056227504550850939,0.13133566976381017,2.1277452059720061,0.025409300245547817,0.011782585304357357,0.03404905533634852,0.02217080189005366,8.8831010178603312e-05,0.00030916151097601575,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,y,physical_k1,4,0.0058285376202503302,0.0027393024333417361,0.044059551693461207,2.1277452059720061,0.013230053802904266,0.006134928392656969,0.019274651248057825,0.013038504194715318,8.8831010178603312e-05,2.0026459450823935e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,y,physical_k2,5,0.0059427426980930139,0.0027929766597115766,0.042276168865644781,2.1277452059720061,0.01355384176055509,0.0062850725994897773,0.019995537432575209,0.0129890594448255,8.8831010178603312e-05,3.5355139750108215e-06,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,y,oracle_k2,5,7.9413923177684803e-05,3.7323041760259342e-05,0.0017851508045458875,2.1277452059720061,0.00022839336265602432,0.00010590863394261152,0.00031949522019033411,0.00016534431728312712,8.8831010178603312e-05,8.8810269914335252e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xx,recursive,3,0.087325309443627305,0.030968237963626247,0.43742355310939079,2.8198346172034476,0.1601100787413782,0.057578813759811671,0.11753591368072575,0.07188992956690439,8.8831010178603312e-05,0,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xx,physical_k,3,0.13246195867407806,0.046975080689464807,0.90040206724839766,2.8198346172034476,0.22682288806663012,0.08157008560058801,0.34828585261441508,0.26385893600234084,8.8831010178603312e-05,0.00030916151097601575,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xx,physical_k1,4,0.083926004447398617,0.029762739961903043,0.44382904336060469,2.8198346172034476,0.15415999444978185,0.055439043434456964,0.13550617964445205,0.097271926480896651,8.8831010178603312e-05,2.0026459450823935e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xx,physical_k2,5,0.087200210763062835,0.030923874127605066,0.42505897402583087,2.8198346172034476,0.16215497568692405,0.058314199947309464,0.11162875145502872,0.071526758512624952,8.8831010178603312e-05,3.5355139750108215e-06,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xx,oracle_k2,5,0.0014360141408022674,0.00050925473857272696,0.023798060035789881,2.8198346172034476,0.0035068834102998225,0.0012611460087105857,0.0048920485015776054,0.0028015023445475632,8.8831010178603312e-05,8.8810269914335252e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xy,recursive,3,0.023668370454259093,0.0055956876122832191,0.14924395595262396,4.2297519258051723,0.047698079775793503,0.011435461043220742,0.068167266234817114,0.054215462778267332,8.8831010178603312e-05,0,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xy,physical_k,3,0.20779436581247948,0.049126844660735962,1.4237591157502205,4.2297519258051723,0.36563032076673696,0.087658692110918757,0.52661598189979497,0.39652013458536439,8.8831010178603312e-05,0.00030916151097601575,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xy,physical_k1,4,0.026111382551701909,0.0061732657162231483,0.243702774441905,4.2297519258051723,0.053310461661258551,0.012781011528955064,0.060818898720363578,0.046678471945123048,8.8831010178603312e-05,2.0026459450823935e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xy,physical_k2,5,0.025998255518768696,0.0061465201682766972,0.1630868141867774,4.2297519258051723,0.054038826034266407,0.012955634542123576,0.086770120979035595,0.067895507157778978,8.8831010178603312e-05,3.5355139750108215e-06,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,xy,oracle_k2,5,0.0025501751203785851,0.00060291363775267636,0.041774779373857207,4.2297519258051723,0.0064784170830926848,0.0015531796358192009,0.0091239013246077038,0.0051477622840929186,8.8831010178603312e-05,8.8810269914335252e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,yy,recursive,3,0.26262962396512968,0.041394015310584398,1.3215030201399376,6.3446278887077572,0.47605076809085412,0.076087759209417974,0.39475066099319744,0.22114677082332737,8.8831010178603312e-05,0,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,yy,physical_k,3,0.31037688431256366,0.048919635596750451,2.0931962444696612,6.3446278887077572,0.54434761153104483,0.087003724746624683,0.79110690386695925,0.59744894498053247,8.8831010178603312e-05,0.00030916151097601575,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,yy,physical_k1,4,0.25672428093573418,0.040463252603459232,1.3586738405950403,6.3446278887077572,0.4648038170341332,0.074290145674887204,0.43498980054604375,0.28123698796183139,8.8831010178603312e-05,2.0026459450823935e-05,4.592433276607829e-16,3.6082248300317588e-16,48,16
quad,4,3,1.2,gl,coupled,0,sine,yy,physical_k2,5,0.26326446654207997,0.041494075170372263,1.3245577785253921,6.3446278887077572,0.48067440527016558,0.076826760626813068,0.37675743880205959,0.21466286068126494,8.8831010178603312e-05,3.5355139750108215e-06,4.592433276607829e-16,3.6082248300317588e-16,48,16
