family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
quad,8,3,1.2,gll,coupled,0,sine,x,recursive,3,0.00025540209280101205,0.00018005122893768188,0.0020568392764440668,1.4184968039813275,0.00058086108197815246,0.00040443413391768175,0.0010692031387477114,0.00075390985977485448,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,x,physical_k,3,0.00097694474019792638,0.00068871832312622299,0.012017345071434704,1.4184968039813275,0.0020185580554728756,0.0014054544266376553,0.0027685286917377679,0.001810917880620177,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,x,physical_k1,4,0.00025358454627055131,0.00017876991020269466,0.0022635953980075785,1.4184968039813275,0.00057766879644292749,0.00040221145232355624,0.0010584580386419494,0.0007617073211649226,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,x,physical_k2,5,0.00025569247547141443,0.0001802559404813296,0.0021627558270987945,1.4184968039813275,0.00058296917442531102,0.00040590192814514393,0.0010681797659883678,0.00074893477129959758,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,x,oracle_k2,5,1.6049789851844575e-06,1.1314646467159645e-06,4.1789876612186028e-05,1.4184968039813275,4.4191010224244875e-06,3.0768721647049711e-06,6.1684994251270941e-06,3.1675490073328248e-06,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,y,recursive,3,0.00076709186829394035,0.00036051866837294373,0.0064480537371229829,2.1277452059720003,0.0017360828997509601,0.00080585095215185572,0.0029483656026496941,0.001834573907354152,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,y,physical_k,3,0.0015417073514359416,0.00072457329341351099,0.018002571379686749,2.1277452059720003,0.0032782054353846205,0.0015216698303019062,0.0043942444685059609,0.0027901541567582938,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,y,physical_k1,4,0.00076349803326634415,0.00035882963388821819,0.0067295011812574523,2.1277452059720003,0.0017278426927751982,0.0008020260319027715,0.0029219529978338882,0.0018591532471092453,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,y,physical_k2,5,0.00076738053399495298,0.0003606543357922392,0.0064761517273281832,2.1277452059720003,0.0017389502696000367,0.00080718192126823902,0.0029504851873600017,0.0018346478476037791,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,y,oracle_k2,5,2.6220735260263221e-06,1.2323249600877384e-06,6.3698337122941595e-05,2.1277452059720003,7.5413229662856345e-06,3.5005138831433123e-06,1.0462301304094578e-05,5.2675445242287244e-06,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xx,recursive,3,0.022311749690306373,0.0079124320107942618,0.11365863281565991,2.8198346172034516,0.040698580678431101,0.01462034728780353,0.016684770545348716,0.0098350610393160131,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xx,physical_k,3,0.033590188066693762,0.011912112810362816,0.24624785284795792,2.8198346172034516,0.058003028891156189,0.020836707619699132,0.088532124589319569,0.064827163817092706,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xx,physical_k1,4,0.022075034353847799,0.0078284854789606555,0.123597404667668,2.8198346172034516,0.040280089302455663,0.014470010613852778,0.019944929742306879,0.013637418543135041,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xx,physical_k2,5,0.022318239863244407,0.007914733625540897,0.11604403339795821,2.8198346172034516,0.04087477450348178,0.014683642244759426,0.015687066146667726,0.0095808275355189453,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xx,oracle_k2,5,9.2896500927719945e-05,3.2943953649256676e-05,0.0016962482511306831,2.8198346172034516,0.00022736834498774397,8.1678626393368489e-05,0.00031554390438102167,0.0001750495002219506,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xy,recursive,3,0.0051805348664004294,0.001224784563556712,0.030085043736797878,4.2297519258051555,0.0098871199461528364,0.0023678651667826144,0.0091539720630534373,0.0072764156436256559,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xy,physical_k,3,0.05303154369100635,0.012537743258054434,0.38452400305183865,4.2297519258051555,0.093497474747104264,0.022391698982265291,0.13282545111308836,0.097096929957147082,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xy,physical_k1,4,0.0054067913590155467,0.0012782762331827143,0.042318533885120857,4.2297519258051555,0.010477772717449743,0.0025093205279428446,0.008580619563985703,0.006482325742752401,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xy,physical_k2,5,0.0054236488353389661,0.0012822616859040842,0.039139178058186008,4.2297519258051555,0.010599011506629683,0.0025383559909821886,0.012634374831426459,0.0094902636910688138,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xy,oracle_k2,5,0.00016648792283880507,3.9361155396155584e-05,0.0029628918481776623,4.2297519258051555,0.00042302682370169394,0.00010131064313098475,0.00059778943671189781,0.00032940880961603117,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yy,recursive,3,0.067296700919756314,0.010606879095231437,0.40015726394944195,6.3446278887077225,0.1216445066212665,0.019421752173714484,0.052459235944452912,0.029249167275778507,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yy,physical_k,3,0.079074433292665627,0.012463210558558311,0.56267157901061715,6.3446278887077225,0.1391612499877822,0.022218474015122721,0.19942716479233205,0.14594798011298366,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yy,physical_k1,4,0.066907452228437275,0.010545528185745976,0.41393885767109495,6.3446278887077225,0.12089596770469307,0.0193022405103121,0.059078291205987558,0.038026349001917981,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yy,physical_k2,5,0.067346504763281856,0.010614728861111984,0.39831342204825582,6.3446278887077225,0.12197476326806031,0.01947448092346166,0.049767458201005831,0.028029378685221741,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yy,oracle_k2,5,0.00024164444199745164,3.8086464050560715e-05,0.0041204765182367709,6.3446278887077225,0.00060737860991822974,9.6974020160025555e-05,0.00089847829801640005,0.00049277763929945432,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxx,recursive,3,1.124506329044209,0.19818626412975188,3.9544356272642229,5.67398721592531,1.5870819529493749,0.27625801375414127,2.744875212703302,1.7088123143156302,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxx,physical_k,3,0.8038080214050165,0.14166546219014209,3.0854060475901424,5.67398721592531,1.0993492136854572,0.19136001743988645,1.8485380739478892,1.5845434298453855,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxx,physical_k1,4,1.1098020370581705,0.19559473696790569,3.7629305486105231,5.67398721592531,1.5637628180989287,0.27219893043819937,2.7197135580814265,1.9036334386903881,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxx,physical_k2,5,1.1251620147520742,0.19830182408484393,4.0339200255112369,5.67398721592531,1.5986015417407959,0.27826318980246595,2.7547193676286064,1.7265076127335839,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxx,oracle_k2,5,0.00409248522540812,0.00072127149210376225,0.048978944064695273,5.67398721592531,0.0085576202631278946,0.0014895961559896302,0.01194171174725198,0.0079620535490287515,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxy,recursive,3,0.15149967342311763,0.017800495214123777,0.70369967988435356,8.5109808238880014,0.24090255037375682,0.0279553974096442,0.26544910160002011,0.17066682093544647,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxy,physical_k,3,1.1993310496002356,0.14091572691998561,4.470061844324702,8.5109808238880014,1.6482525237049654,0.19127051274522686,2.781241175182724,2.3776433069020815,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxy,physical_k1,4,0.14480340933176941,0.017013715848747508,0.87807860689931871,8.5109808238880014,0.22782829228525006,0.026438202676199493,0.36625865142633329,0.2798632797158489,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxy,physical_k2,5,0.15333178895282959,0.01801576012513964,0.76933981751312608,8.5109808238880014,0.24601468823043063,0.028548632496505993,0.28270176087633259,0.18872877003494479,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xxy,oracle_k2,5,0.0070518764946429172,0.00082856214114009324,0.083059519637427748,8.5109808238880014,0.015123701910312367,0.0017550212588111926,0.021014358671980839,0.01379109612110232,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xyy,recursive,3,0.26048170965546669,0.020403579410758817,1.1891404120655711,12.766471235832011,0.40003391654320347,0.030947803297644055,0.56872772455828968,0.33072461023403138,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xyy,physical_k,3,1.7990306127513083,0.14091839315016971,6.7112211345005601,12.766471235832011,2.4732771019346047,0.19134000914888111,4.1750507440234248,3.5674404150312382,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xyy,physical_k1,4,0.25880009374156526,0.020271858132197392,1.4440981638248047,12.766471235832011,0.39808815823878613,0.03079727369807856,0.64640334259453891,0.46778642695430961,5.7919096653282754e-06,6.6834393230512428e-07,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xyy,physical_k2,5,0.30098615704536785,0.023576300097757758,1.7382887515298151,12.766471235832011,0.48906208571986481,0.037835284967791712,0.4937706371055175,0.30407698550321577,5.7919096653282754e-06,5.841810728910626e-08,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,xyy,oracle_k2,5,0.011088679268937141,0.00086857825189894577,0.12662488633921765,12.766471235832011,0.023621999266707248,0.0018274675135556788,0.03282192752561728,0.021567388231524327,5.7919096653282754e-06,5.7918209249800284e-06,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yyy,recursive,3,3.3389341355909306,0.17435954299934495,12.969599434347831,19.149706853748032,4.6558531551399094,0.24012701868396577,7.5843898998555828,4.7492619782756291,5.7919096653282754e-06,0,1.0961250034711765e-16,2.0122792321330962e-16,48,64
quad,8,3,1.2,gll,coupled,0,sine,yyy,physical_k,3,2.6987513164194081,0.14092911902153746,10.077612744666325,19.149706853748032,3.7074487811956462,0.19121277950297827,6.2528775493239017,5.3493624300465097,5.7919096653282754e-06,2.0237816988890009e-05,1.0961250034711765e-16,2.0122792321330962e-16,48,64
