family,n,p,amplitude,basis,map,extra,field,derivative,method,q,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,reconstruction_l2,mean_defect,solve_residual,assembly_order,elements
tri,8,2,0.40000000000000002,gll,coupled,0,sine,x,recursive,2,0.017314080050776177,0.012205935185881304,0.15683192868594609,1.4184968039813535,0.030157002267457243,0.021205081852079578,0.03559023092052932,0.02702210607499423,0.00029175502529567429,0,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,x,physical_k,2,0.015643240042327956,0.011028040386429797,0.12172331970574946,1.4184968039813535,0.027298420670711778,0.019195052599097498,0.032311878406921304,0.024098863459008246,0.00029175502529567429,5.5084041510732843e-05,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,x,physical_k1,3,0.017310717754880665,0.012203564862672907,0.1540723362283789,1.4184968039813535,0.030146137047598987,0.021197441905827896,0.035620241158426956,0.027055480548808887,0.00029175502529567429,2.9423147171168314e-06,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,x,physical_k2,4,0.017316949196017766,0.012207957851870775,0.15808288144784854,1.4184968039813535,0.030163932612593349,0.021209954966939299,0.03556998072841825,0.026992387051971385,0.00029175502529567429,8.9217929629131729e-08,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,x,oracle_k2,4,3.3096130867577554e-05,2.333183322985662e-05,0.00063490395359266927,1.4184968039813535,8.4802923715696142e-05,5.9629698029618537e-05,0.00011425589727173132,6.7697930867481214e-05,0.00029175502529567429,0.00029175491403265471,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,y,recursive,2,0.023324781165626085,0.010962205954058587,0.17821709374928441,2.1277452059720194,0.040262605872450265,0.018873932838358649,0.036434162595815639,0.02749554969426618,0.00029175502529567429,0,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,y,physical_k,2,0.02169381158382019,0.010195681100787531,0.14438956726162067,2.1277452059720194,0.037539518433382449,0.017597429037269328,0.033069228551134706,0.024564075124904529,0.00029175502529567429,5.5084041510732843e-05,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,y,physical_k1,3,0.023321481379817655,0.010960655117144858,0.17552058837894258,2.1277452059720194,0.040252527142309286,0.018869208224249482,0.03649571799184486,0.027547009731575905,0.00029175502529567429,2.9423147171168314e-06,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,y,physical_k2,4,0.023327169419183884,0.010963328388056368,0.17925455789234102,2.1277452059720194,0.040268717371511865,0.018876797730491952,0.036412253018228258,0.027470375020217149,0.00029175502529567429,8.9217929629131729e-08,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,y,oracle_k2,4,4.1755500537096826e-05,1.9624295437207495e-05,0.00063954397748755554,2.1277452059720194,0.00010383380891200728,4.8674254765441147e-05,0.00011818847032547387,7.1928840984363589e-05,0.00029175502529567429,0.00029175491403265471,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,xx,recursive,2,0.48975086857651762,0.17368070651683132,2.1243551297148175,2.8198346172034725,0.63241234467879626,0.22486203530942214,0.93263832765522259,0.77864470270314046,0.00029175502529567429,0,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,xx,physical_k,2,0.44267851395616509,0.15698740318153295,1.7088210812041658,2.8198346172034725,0.57179590333396635,0.20330910945542804,0.84596832463283389,0.69556223761837299,0.00029175502529567429,5.5084041510732843e-05,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,xx,physical_k1,3,0.48965134680693589,0.17364541303934344,2.0614110125228509,2.8198346172034725,0.63202255382796957,0.22472344034871436,0.93240434294882124,0.77864065861007992,0.00029175502529567429,2.9423147171168314e-06,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,xx,physical_k2,4,0.48995475999912019,0.17375301268023488,2.1850493613540038,2.8198346172034725,0.63298714814917323,0.22506641379655865,0.93265292969280522,0.7783395614660783,0.00029175502529567429,8.9217929629131729e-08,1.8803437769860764e-16,1.9081958235744878e-16,40,128
tri,8,2,0.40000000000000002,gll,coupled,0,sine,xx,oracle_k2,4,0.002597007292044172,0.0009209785837084708,0.030392582284789655,2.8198346172034725,0.0052557398318848507,0.0018687433374733934,0.0074981710787413967,0.0049475599707364338,0.00029175502529567429,0.00029175491403265471,1.8803437769860764e-16,1.9081958235744878e-16,40,128
