map,field,family,p,order,method,derivative,relative_l2,error_l2,face_relative_max
coupled,sine,quad,2.0,1,recursive,y,0.006948574459416861,0.014784795994363702,0.012617957896228554
coupled,sine,quad,2.0,1,physical_k,y,0.009769450597107751,0.020786901672976303,0.017326988470755516
coupled,sine,quad,2.0,1,physical_k1,y,0.0069401183320531015,0.014766803509904374,0.01260517903785905
coupled,sine,quad,2.0,1,physical_k2,y,0.006950922594694968,0.014789792227944666,0.012640432396549054
coupled,sine,quad,2.0,1,oracle_k2,y,2.2318014056663262e-05,4.748704741588094e-05,5.6175686165016675e-05
coupled,sine,quad,2.0,2,recursive,xx,0.1338887350905256,0.3775440900618471,0.18601721785004244
coupled,sine,quad,2.0,2,physical_k,xx,0.1284527791410593,0.3622155932979489,0.183557282019237
coupled,sine,quad,2.0,2,physical_k1,xx,0.13317428135925602,0.3755294486980229,0.1846559385009398
coupled,sine,quad,2.0,2,physical_k2,xx,0.13393082843569312,0.37766278633370437,0.1865837793917429
coupled,sine,quad,2.0,2,oracle_k2,xy,0.0005844728053719598,0.0024721749741028086,0.001304005797332896
coupled,sine,quad,3.0,1,recursive,y,0.00036051866837294373,0.0007670918682939403,0.0008058509521518557
coupled,sine,quad,3.0,1,physical_k,y,0.000724573293413511,0.0015417073514359416,0.0015216698303019062
coupled,sine,quad,3.0,1,physical_k1,y,0.0003588296338882182,0.0007634980332663441,0.0008020260319027715
coupled,sine,quad,3.0,1,physical_k2,y,0.0003606543357922392,0.000767380533994953,0.000807181921268239
coupled,sine,quad,3.0,1,oracle_k2,y,1.2323249600877384e-06,2.622073526026322e-06,3.5005138831433123e-06
coupled,sine,quad,3.0,2,recursive,yy,0.010606879095231437,0.06729670091975631,0.019421752173714484
coupled,sine,quad,3.0,2,physical_k,xy,0.012537743258054434,0.05303154369100635,0.02239169898226529
coupled,sine,quad,3.0,2,physical_k1,yy,0.010545528185745976,0.06690745222843728,0.0193022405103121
coupled,sine,quad,3.0,2,physical_k2,yy,0.010614728861111984,0.06734650476328186,0.01947448092346166
coupled,sine,quad,3.0,2,oracle_k2,xy,3.9361155396155584e-05,0.00016648792283880507,0.00010131064313098475
coupled,sine,quad,3.0,3,recursive,xxx,0.19818626412975188,1.124506329044209,0.2762580137541413
coupled,sine,quad,3.0,3,physical_k,xxx,0.1416654621901421,0.8038080214050165,0.19136001743988645
coupled,sine,quad,3.0,3,physical_k1,xxx,0.1955947369679057,1.1098020370581705,0.27219893043819937
coupled,sine,quad,3.0,3,physical_k2,xxx,0.19830182408484393,1.1251620147520742,0.27826318980246595
coupled,sine,quad,3.0,3,oracle_k2,xyy,0.0008685782518989458,0.01108867926893714,0.0018274675135556788
coupled,sine,quad,4.0,1,recursive,y,1.4886397916251081e-05,3.167446180049508e-05,3.9737539139078185e-05
coupled,sine,quad,4.0,1,physical_k,y,2.231577124522547e-05,4.748227528459672e-05,5.616600614609178e-05
