dimension,n,curved,field,method,order,max_absolute_error,max_scaled_error,max_element_scaled_error,discrete_relative_l2
2,2,0,constant,recursive,1,4.523521793386903e-14,4.523521793386903e-14,2.2617608966934514e-14,nan
2,2,0,constant,direct,1,4.210047421793206e-14,4.210047421793206e-14,2.105023710896603e-14,nan
2,2,0,constant,fe_geometry,1,4.21004742179311e-14,4.21004742179311e-14,2.105023710896555e-14,nan
2,2,0,constant,reused,1,1.9083734971613894e-15,1.9083734971613894e-15,9.541867485806947e-16,nan
2,2,0,constant,reused_centered,1,1.0086668914057815e-14,1.0086668914057815e-14,5.0433344570289075e-15,nan
2,2,0,constant,recursive,2,1.426141879807474e-12,1.426141879807474e-12,3.565354699518685e-13,nan
2,2,0,constant,direct,2,1.0096190550257232e-12,1.0096190550257232e-12,2.524047637564308e-13,nan
2,2,0,constant,fe_geometry,2,1.0096190550257022e-12,1.0096190550257022e-12,2.5240476375642554e-13,nan
2,2,0,constant,reused,2,1.129966300192066e-13,1.129966300192066e-13,2.824915750480165e-14,nan
2,2,0,constant,reused_centered,2,2.617433148717892e-13,2.617433148717892e-13,6.54358287179473e-14,nan
2,2,0,constant,recursive,3,2.580349606007226e-11,2.580349606007226e-11,3.2254370075090324e-12,nan
2,2,0,constant,direct,3,2.34513137797876e-11,2.34513137797876e-11,2.93141422247345e-12,nan
2,2,0,constant,fe_geometry,3,2.345131377978608e-11,2.345131377978608e-11,2.93141422247326e-12,nan
2,2,0,constant,reused,3,3.2459010637445275e-12,3.2459010637445275e-12,4.0573763296806594e-13,nan
2,2,0,constant,reused_centered,3,3.576840409732252e-12,3.576840409732252e-12,4.471050512165315e-13,nan
2,2,0,constant,recursive,4,3.1147402072912397e-10,3.1147402072912397e-10,1.9467126295570248e-11,nan
2,2,0,constant,direct,4,3.0046825827412245e-10,3.0046825827412245e-10,1.8779266142132653e-11,nan
2,2,0,constant,fe_geometry,4,3.004682582740708e-10,3.004682582740708e-10,1.8779266142129425e-11,nan
2,2,0,constant,reused,4,5.02794394384435e-11,5.02794394384435e-11,3.142464964902719e-12,nan
2,2,0,constant,reused_centered,4,2.836099628883607e-11,2.836099628883607e-11,1.7725622680522543e-12,nan
2,2,0,constant,recursive,5,6.364712933685075e-09,6.364712933685075e-09,1.988972791776586e-10,nan
2,2,0,constant,direct,5,4.2744431993924075e-09,4.2744431993924075e-09,1.3357634998101273e-10,nan
2,2,0,constant,fe_geometry,5,4.274443199392044e-09,4.274443199392044e-09,1.3357634998100139e-10,nan
2,2,0,constant,reused,5,4.4114295473935174e-10,4.4114295473935174e-10,1.3785717335604742e-11,nan
2,2,0,constant,reused_centered,5,3.875658013877656e-10,3.875658013877656e-10,1.2111431293367675e-11,nan
2,2,0,constant,recursive,6,1.1137286303023109e-07,1.1137286303023109e-07,1.7402009848473608e-09,nan
2,2,0,constant,direct,6,5.830333975609392e-08,5.830333975609392e-08,9.109896836889676e-10,nan
2,2,0,constant,fe_geometry,6,5.83033397560803e-08,5.83033397560803e-08,9.109896836887547e-10,nan
2,2,0,constant,reused,6,3.1842974232881686e-09,3.1842974232881686e-09,4.9754647238877634e-11,nan
2,2,0,constant,reused_centered,6,7.926832645186673e-09,7.926832645186673e-09,1.2385676008104177e-10,nan
2,2,0,constant,recursive,7,2.3920177734839643e-06,2.3920177734839643e-06,1.868763885534347e-08,nan
2,2,0,constant,direct,7,4.7022476792335513e-07,4.7022476792335513e-07,3.673630999401212e-09,nan
