family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual,reused_first_residual,reused_geometry_residual
quad,4,3,1.2,gl,coupled,0,sine,x,recursive,0.0019754738291303834,0.0013926529997006424,0.012159230923346698,1.4184968039813373,0.0045050759098802092,0.0031335834142108979,0.0081198968670647929,0.0058726647552111311,8.8831010178619114e-05,0.00018487962237487824,0.00013033184621360011,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,x,direct,0.001984827994150542,0.0013992474206354685,0.012341947325088309,1.4184968039813373,0.0045111244214686924,0.0031377905609878852,0.0081125046722917583,0.0057560825560868485,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,x,fe_geometry,0.001984827994138405,0.0013992474206269122,0.012341947325049007,1.4184968039813373,0.0045111244214393019,0.0031377905609674414,0.0081125046722115637,0.0057560825560311803,8.8831010178619114e-05,4.4607908035200523e-14,3.1446575535326083e-14,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,x,reused,0.0019848279941561695,0.0013992474206394358,0.012341947325073876,1.4184968039813373,0.0045111244214834992,0.0031377905609981842,0.0081125046723267875,0.0057560825561107547,8.8831010178619114e-05,2.0843016654854231e-14,1.469339241606484e-14,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,x,reused_centered,0.0019848279941544083,0.0013992474206381941,0.012341947325067659,1.4184968039813373,0.0045111244214789846,0.0031377905609950439,0.0081125046723154286,0.0057560825561027646,8.8831010178619114e-05,1.6197225966254267e-14,1.1418318236502576e-14,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,y,recursive,0.0059372413377896029,0.0027903911244285076,0.041969393552417245,2.1277452059720101,0.013477517013909949,0.0062496799350130307,0.019963599658876972,0.012977568069766379,8.8831010178619114e-05,0.00011869167849900829,5.5770090842229988e-05,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,y,direct,0.0059410814750465116,0.0027921959163021448,0.042316300752478497,2.1277452059720101,0.013478267779224007,0.0062500280735399072,0.019986227980025202,0.012919979100873126,8.8831010178619114e-05,0,0,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,y,fe_geometry,0.005941081475034261,0.0027921959162963872,0.042316300752433644,2.1277452059720101,0.013478267779192046,0.0062500280735250874,0.019986227979953395,0.012919979100823481,8.8831010178619114e-05,4.6182579546298005e-14,2.1699976689158309e-14,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,y,reused,0.0059410814750525945,0.0027921959163050031,0.042316300752502478,2.1277452059720101,0.013478267779239489,0.0062500280735470863,0.019986227980061468,0.012919979100897651,8.8831010178619114e-05,1.5083219912464322e-14,7.0872074213568052e-15,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
quad,4,3,1.2,gl,coupled,0,sine,y,reused_centered,0.0059410814750520419,0.0027921959163047438,0.042316300752504254,2.1277452059720101,0.013478267779237312,0.0062500280735460767,0.019986227980054342,0.012919979100892496,8.8831010178619114e-05,1.3223208265235074e-14,6.2132369809232107e-15,2.2204460492503131e-16,1.4210854715202004e-14,1.8636314764087542e-13,3.5527136788005009e-15,0.043774505904688676,16,2.6222233366888549e-12,1.1368683772161603e-13,8.8817841970012523e-16,2.1220483703565662e-11,2.9317041752034547e-13,1.7763568394002505e-14,0.0046763730060774833,0.18168393865926191,3.3306690738754696e-16,1.006972283335017e-13,3.1641356201816961e-14
