family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual,reused_first_residual,reused_geometry_residual
quad,8,2,1.2,gll,coupled,0,sine,x,recursive,0.0074132473999405585,0.0052261290819503913,0.039784222064479069,1.4184968039813388,0.013219553621571055,0.0092043328182891456,0.0039640986918374728,0.003049126933429366,0.00016914146700677709,0.00024149965074813848,0.0001700160167763027,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,x,direct,0.0074168865253638229,0.0052286945621214075,0.039879366395488836,1.4184968039813388,0.01322667025292886,0.0092092878905584118,0.0040775155497751008,0.003277172632790838,0.00016914146700677709,0,0,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,x,fe_geometry,0.0074168865253373961,0.0052286945621027783,0.039879366395474847,1.4184968039813388,0.013226670252884846,0.0092092878905277644,0.0040775155498898562,0.0032771726328874027,0.00016914146700677709,8.7574285365385457e-14,6.1652392141063419e-14,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,x,reused,0.0074168865253570141,0.0052286945621166083,0.039879366395427551,1.4184968039813388,0.013226670252916062,0.0092092878905495005,0.0040775155497137982,0.0032771726327382343,0.00016914146700677709,2.7024546754660929e-14,1.9025310306573291e-14,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,x,reused_centered,0.0074168865253591921,0.0052286945621181436,0.039879366395428439,1.4184968039813388,0.013226670252918174,0.0092092878905509698,0.0040775155497293526,0.0032771726327517296,0.00016914146700677709,2.0094447116085142e-14,1.4146512623994728e-14,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,y,recursive,0.014784795994363753,0.0069485744594168551,0.067967892412937658,2.1277452059720083,0.027183464727472323,0.012617957896228521,0.0098994909090564451,0.0063975059974268993,0.00016914146700677709,0.00017984291500092365,8.4333058534999744e-05,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,y,direct,0.014788169182452305,0.00695015979401382,0.067702314236155026,2.1277452059720083,0.027191327817400992,0.012621607767157371,0.0096735853668876992,0.0064223262160913843,0.00016914146700677709,0,0,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,y,fe_geometry,0.014788169182460393,0.0069501597940176208,0.067702314236323335,2.1277452059720083,0.02719132781741547,0.012621607767164093,0.0096735853670171477,0.0064223262161929784,0.00016914146700677709,9.2880403818619087e-14,4.3554056783108686e-14,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,y,reused,0.014788169182443862,0.0069501597940098518,0.067702314236066208,2.1277452059720083,0.027191327817385182,0.012621607767150033,0.0096735853668364503,0.0064223262160481775,0.00016914146700677709,2.7512619917244145e-14,1.2901388892190909e-14,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
quad,8,2,1.2,gll,coupled,0,sine,y,reused_centered,0.014788169182446636,0.0069501597940111555,0.067702314236073757,2.1277452059720083,0.0271913278173877,0.012621607767151202,0.009673585366849936,0.0064223262160595851,0.00016914146700677709,2.0454841090569458e-14,9.5918113371675086e-15,2.2204460492503131e-16,2.6645352591003757e-15,2.2079202362819441e-13,7.9936057773011271e-15,0.010940842062144509,64,5.402775449248054e-12,2.4913404672588513e-13,1.1102230246251565e-15,2.6324650792552973e-11,5.7476071464641734e-13,4.4408920985006262e-14,0.012678042839979753,0.60503685721778311,4.4408920985006242e-16,1.7481651044544064e-13,7.8218681531794232e-14
