family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual,reused_first_residual,reused_geometry_residual
tri,4,3,1.2,bernstein,coupled,0,sine,x,recursive,0.015197745589600744,0.010713979437207456,0.24741884281394666,1.4184968039813559,0.031830751544586013,0.022274505759559315,0.043237034422422056,0.027472870147481048,0.00034121672209148907,0.00062008573876266826,0.00043687941742213146,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,x,direct,0.015232360240984427,0.010738381784316403,0.24660023876650572,1.4184968039813559,0.031930982213929412,0.022344645122070021,0.043301110364751837,0.027511604239835542,0.00034121672209148907,0,0,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,x,fe_geometry,0.015232360240962582,0.010738381784301003,0.24660023876648351,1.4184968039813559,0.03193098221390555,0.022344645122053322,0.043301110364719099,0.027511604239754579,0.00034121672209148907,2.0799455403504022e-13,1.4654189560160723e-13,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,x,reused,0.015232360240967781,0.010738381784304668,0.24660023876651815,1.4184968039813559,0.031930982213914792,0.022344645122059793,0.043301110364743843,0.027511604239851824,0.00034121672209148907,2.2635296878426535e-13,1.5947625780196913e-13,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,x,reused_centered,0.015232360240978545,0.010738381784312256,0.2466002387665408,1.4184968039813559,0.031930982213916041,0.022344645122060663,0.04330111036474333,0.027511604239825349,0.00034121672209148907,3.9087053668284363e-14,2.7538658233653488e-14,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,y,recursive,0.018008479402572719,0.0084636446845363159,0.27045136824579608,2.1277452059720203,0.037113261517762564,0.017314065116673657,0.046572893353202811,0.029345548988559109,0.00034121672209148907,0.00065256602528488414,0.00030651833655542278,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,y,direct,0.018048604201103113,0.0084825025808754895,0.27427226004275607,2.1277452059720203,0.03723646085213058,0.017371540024842477,0.046706943850947792,0.029364362169145047,0.00034121672209148907,0,0,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,y,fe_geometry,0.018048604201091334,0.008482502580869954,0.27427226004242344,2.1277452059720203,0.037236460852097246,0.017371540024826927,0.046706943850915623,0.029364362169066641,0.00034121672209148907,1.8761754576499078e-13,8.8126282718120516e-14,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,y,reused,0.018048604201109316,0.0084825025808784055,0.27427226004256466,2.1277452059720203,0.037236460852121657,0.017371540024838313,0.046706943850960664,0.029364362169167622,0.00034121672209148907,1.3638365559876865e-13,6.4061090568164735e-14,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,y,reused_centered,0.018048604201112615,0.0084825025808799564,0.27427226004284844,2.1277452059720203,0.037236460852150391,0.017371540024851716,0.046706943850962607,0.029364362169159053,0.00034121672209148907,4.8791101964103916e-14,2.2917784305755485e-14,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
tri,4,3,1.2,bernstein,coupled,0,sine,xx,recursive,0.39792751305483176,0.14111732320297388,3.8798269599797086,2.8198346172034388,0.66037609071122938,0.23597523065251697,0.90038956585034557,0.61923018413195674,0.00034121672209148907,0.033533805095196906,0.011534079034534328,4.4408920985006262e-16,4.4408920985006262e-15,2.4107734942693774e-12,3.3306690738754696e-14,0.043750095902323052,32,6.1361471459520089e-12,1.053046538856961e-12,9.9920072216264089e-16,7.1410877211519619e-11,3.2758586651485743e-12,5.4622972811557702e-14,0.085645083017880097,1.5280681123549584,4.4408920985006242e-16,2.4572463679452025e-12,8.6841644986179745e-13
