family,n,p,amplitude,basis,map,extra,field,derivative,method,error_l2,relative_l2,sampled_linf,truth_l2,face_rms,face_relative_l2,jump_rms,jump_mean_abs,input_error_l2,operator_error_l2,operator_relative_l2,inverse_residual,representation_residual,first_derivative_residual,geometry_residual,min_jacobian,elements,geometry_derivative_residual,geometry_jacobian_residual,fe_inverse_residual,method_agreement,fe_first_residual,face_geometry_residual,initialization_seconds,evaluation_seconds,reused_inverse_residual,reused_first_residual,reused_geometry_residual
hex,2,3,0,gll,shear,0,constant,x,recursive,3.9696731821819267e-14,nan,2.4740463208906738e-13,0,6.7398204010748366e-14,nan,1.0600616168600556e-13,8.6418969320909653e-14,6.5963595797920995e-15,2.4199586184637974e-14,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,x,direct,3.807363847888894e-14,nan,2.5882808125402369e-13,0,6.4834445901349404e-14,nan,9.3236269304325774e-14,7.1496051064226173e-14,6.5963595797920995e-15,0,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,x,fe_geometry,3.807363847888894e-14,nan,2.5882808125402369e-13,0,6.4834445901349404e-14,nan,9.3236269304325774e-14,7.1496051064226173e-14,6.5963595797920995e-15,0,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,x,reused,3.4187026461800685e-14,nan,2.4200041561550849e-13,0,5.9543088629603599e-14,nan,8.8924947465234051e-14,6.9100264483304955e-14,6.5963595797920995e-15,7.9786576608044155e-15,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,x,reused_centered,3.4498141444996586e-14,nan,2.426026643503198e-13,0,5.9866123935301748e-14,nan,8.8914095576505833e-14,6.9091645743629842e-14,6.5963595797920995e-15,7.7165599523474246e-15,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,y,recursive,4.433763699474635e-14,nan,3.44591423864221e-13,0,7.8626652252727392e-14,nan,1.0930340652285944e-13,8.534521440461437e-14,6.5963595797920995e-15,2.5803579896723006e-14,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,y,direct,4.1026503990911573e-14,nan,3.259659489811945e-13,0,7.557900986485594e-14,nan,1.0306728996338862e-13,7.2754030091951255e-14,6.5963595797920995e-15,0,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,y,fe_geometry,4.1026503990911573e-14,nan,3.259659489811945e-13,0,7.557900986485594e-14,nan,1.0306728996338862e-13,7.2754030091951255e-14,6.5963595797920995e-15,0,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,y,reused,3.9645126674779243e-14,nan,3.1890617745449187e-13,0,7.2793168654101396e-14,nan,9.7014346587547296e-14,6.9314926164685954e-14,6.5963595797920995e-15,1.2611393959994633e-14,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
hex,2,3,0,gll,shear,0,constant,y,reused_centered,3.9981643308109321e-14,nan,3.1902932608009757e-13,0,7.3095893203125612e-14,nan,9.7095297403007042e-14,6.9400555911345338e-14,6.5963595797920995e-15,1.278023772896633e-14,nan,0,2.3314683517128287e-14,1.155742168634788e-13,1.3322676295501878e-15,0.12499999999999933,8,2.2204460492503131e-16,4.7378008634357816e-15,0,0,1.155742168634788e-13,6.6613381477509392e-16,0.18029287704848684,4.4923045678879134,0,2.5757174171303632e-14,4.7378008634357816e-15
