dimension,n,order,method,scaled_evaluation_error,absolute_evaluation_error,absolute_representation_error,absolute_total_error
2,8,1,recursive,1.286758356390772e-08,1.286758356390772e-08,6.19741788994775e-18,1.2867583557710301e-08
2,8,1,direct,1.3627595775374624e-15,1.3627595775374624e-15,6.19741788994775e-18,1.3565621596475146e-15
2,8,1,fe_geometry,6.980919119229846e-16,6.980919119229846e-16,6.19741788994775e-18,7.042893298129323e-16
2,8,1,reused,3.9131443099045035e-16,3.9131443099045035e-16,6.19741788994775e-18,3.851170131005026e-16
2,8,1,reused_centered,4.436973579508892e-17,4.436973579508892e-17,6.19741788994775e-18,3.8172317905141164e-17
2,8,3,recursive,5.8329445968811695e-05,0.00010595701002076149,1.090506276893018e-13,0.00010595701004267259
2,8,3,direct,1.2340728561151926e-12,1.2340728561151926e-12,1.090506276893018e-13,1.3431234838044943e-12
2,8,3,fe_geometry,2.3706081664239654e-12,2.9199324405639677e-12,1.090506276893018e-13,2.8980213369133635e-12
2,8,3,reused,5.092090393748079e-13,9.249919383178744e-13,1.090506276893018e-13,9.469030419684786e-13
2,8,3,reused_centered,8.003918201969307e-14,1.453933304260895e-13,1.090506276893018e-13,1.6730443407669374e-13
2,8,5,recursive,0.006763284913637774,0.8153063959895841,8.299232553879749e-11,0.8153063960352027
2,8,5,direct,7.931471682902384e-10,4.346527484116646e-09,8.299232553879749e-11,4.429519809655443e-09
2,8,5,fe_geometry,7.609765840295075e-10,4.170229396876689e-09,8.299232553879749e-11,4.253221722415487e-09
2,8,5,reused,9.244187084480084e-12,1.1143763647311833e-09,8.299232553879749e-11,1.1599950003116039e-09
2,8,5,reused_centered,3.849454157702143e-11,2.1095401918117626e-10,8.299232553879749e-11,1.2796169364237877e-10
2,32,1,recursive,2.2829211841962326e-12,2.2829211841962326e-12,4.211369418341793e-18,2.2829253955656508e-12
2,32,1,direct,1.6210354086530216e-15,1.6210354086530216e-15,4.211369418341793e-18,1.6252467780713636e-15
2,32,1,fe_geometry,3.2361903240820382e-15,3.2361903240820382e-15,4.211369418341793e-18,3.2319789546636963e-15
2,32,1,reused,8.230626097036905e-16,8.230626097036905e-16,4.211369418341793e-18,8.272739791220322e-16
2,32,1,reused_centered,1.6386768883250374e-16,1.6386768883250374e-16,4.211369418341793e-18,1.6807905825084553e-16
2,32,3,recursive,2.253982147355827e-07,3.0732807890922274e-07,1.3678980855132573e-12,3.073267110111372e-07
2,32,3,direct,3.044398224045359e-11,3.044398224045359e-11,1.3678980855132573e-12,3.15050034120252e-11
2,32,3,fe_geometry,1.0869706762074659e-10,1.4820730063961908e-10,1.3678980855132573e-12,1.4957519872513234e-10
2,32,3,reused,2.1981472078926202e-11,2.997150440405259e-11,1.3678980855132573e-12,2.8603606318539332e-11
2,32,3,reused_centered,5.486694948626521e-12,7.481050460406016e-12,1.3678980855132573e-12,6.113152374892759e-12
2,32,5,recursive,0.00037435615858276986,0.035215823971733985,1.8622099498128498e-07,0.035215975325923465
2,32,5,direct,3.192273424542765e-07,1.4596044307192637e-06,1.8622099498128498e-07,1.2733834357379786e-06
2,32,5,fe_geometry,2.545309383675426e-07,1.1637928084108575e-06,1.8622099498128498e-07,9.775718134295724e-07
2,32,5,reused,1.8198242435277407e-08,4.1626520322967645e-07,1.8622099498128498e-07,5.676193927072771e-07
2,32,5,reused_centered,9.28746811360499e-09,8.876579608074191e-08,1.8622099498128498e-07,2.401199855583425e-07
3,8,1,recursive,1.834362439654779e-15,1.834362439654779e-15,3.933314193262759e-17,1.8736955815874067e-15
3,8,1,direct,8.512884486215715e-14,8.512884486215715e-14,3.933314193262759e-17,8.516817800408977e-14
3,8,1,fe_geometry,8.512884486215715e-14,8.512884486215715e-14,3.933314193262759e-17,8.516817800408977e-14
3,8,1,reused,8.077227782361577e-17,8.077227782361577e-17,3.933314193262759e-17,4.143913589098818e-17
3,8,1,reused_centered,5.526170632893073e-16,5.526170632893073e-16,3.933314193262759e-17,5.132839213566797e-16
