dimension,n,dx,dy,dz,order,method,value,stored_reference,ideal_reference,representation_error,total_error,element_scaled_error,absolute_error,scaled_error,relative_error,step_sensitivity
2,8,1,0,0,1,recursive,0.0479718556296674092376264297854504548013210296630859375,0.04797186849725097314534618526455897298667124596908765253773338840189106697017916702499472,0.0479718684972509669479282953168086373532723034629686152761445143256681320113205119529616528,6.1974178899477503356333989425061190372615888740762229349588586550720330672E-18,1.28675835577103018655313581825519512737998826777761445143256681320113205119529616528E-8,1.60844794548846496943488856477316877703825021437971667355023638337127239587812434E-9,1.286758356390771975547910851818535021630600171503773338840189106697017916702499472E-8,1.286758356390771975547910851818535021630600171503773338840189106697017916702499472E-8,2.68231861025907221952655386026901287868433154084899506049695374650983290863637406435554962E-7,9.197149383999342452449867320436393886186440825951263239749107028826936E-20
2,8,1,0,0,1,direct,0.047971868497249610385768647802251507528126239776611328125,0.04797186849725097314534618526455897298667124596908765253773338840189106697017916702499472,0.0479718684972509669479282953168086373532723034629686152761445143256681320113205119529616528,6.1974178899477503356333989425061190372615888740762229349588586550720330672E-18,1.3565621596475145571298251460636863572871511445143256681320113205119529616528E-15,1.7034494719218278843318231812577405954055159167355023638337127239587812434E-16,1.36275957753746230746545854500619247632441273338840189106697017916702499472E-15,1.36275957753746230746545854500619247632441273338840189106697017916702499472E-15,2.84074733844389491452088155921070037875772372162966429756790291330409552881695542103910098E-14,9.197149383999342452449867320436393886186440825951263239749107028826936E-20
2,8,1,0,0,1,fe_geometry,0.04797186849725167123725810824907966889441013336181640625,0.04797186849725097314534618526455897298667124596908765253773338840189106697017916702499472,0.0479718684972509669479282953168086373532723034629686152761445143256681320113205119529616528,6.1974178899477503356333989425061190372615888740762229349588586550720330672E-18,7.042893298129322710315411378298988477909738554856743318679886794880470383472E-16,8.726148899037306508698846736092409109421403332644976361662872760412187566E-17,6.9809191192298452069590773888739272875371226661159810893302982083297500528E-16,6.9809191192298452069590773888739272875371226661159810893302982083297500528E-16,1.45521100968370381934152029403646633803076978543577971912296534234532206267046257697272399E-14,9.197149383999342452449867320436393886186440825951263239749107028826936E-20
2,8,1,0,0,1,reused,0.047971868497250581830915194814224378205835819244384765625,0.04797186849725097314534618526455897298667124596908765253773338840189106697017916702499472,0.0479718684972509669479282953168086373532723034629686152761445143256681320113205119529616528,6.1974178899477503356333989425061190372615888740762229349588586550720330672E-18,3.851170131005025842591474364842185838496511445143256681320113205119529616528E-16,4.891430387380629182434760442834058786086409167355023638337127239587812434E-17,3.9131443099045033459478083542672470288691273338840189106697017916702499472E-16,3.9131443099045033459478083542672470288691273338840189106697017916702499472E-16,8.15716467272636252094160146905638626736211630757064424380288247341407101853189361370227256E-15,9.197149383999342452449867320436393886186440825951263239749107028826936E-20
2,8,1,0,0,1,reused_centered,0.047971868497250928775610390175643260590732097625732421875,0.04797186849725097314534618526455897298667124596908765253773338840189106697017916702499472,0.0479718684972509669479282953168086373532723034629686152761445143256681320113205119529616528,6.1974178899477503356333989425061190372615888740762229349588586550720330672E-18,3.81723179051411653767625402058372361934011445143256681320113205119529616528E-17,5.54621697438611446404949239354291940383284167355023638337127239587812434E-18,4.436973579508891571239593914834335523066273338840189106697017916702499472E-17,4.436973579508891571239593914834335523066273338840189106697017916702499472E-17,9.24911561400438726560453567966880010142430268739930410989972952118755207947014829170580685E-16,9.197149383999342452449867320436393886186440825951263239749107028826936E-20
2,8,3,0,0,3,recursive,1.8166328974067440515938187672873027622699737548828125,1.81652694039672329010565630279787004607749835641914640814877854959560170664439808,1.81652694039670137900200569855668823577662857713275963364495063209961656298713313321720211,2.191110365060424118181030086977928638677450382791749598514365726494678279789E-14,0.00010595701004267259181306873061452649334517775005286635504936790038343701286686678279789,2.0694728519679978156731345592327381342851262434783564691689532109041671016E-7,0.00010595701002076148816246448943271619247539846366609185122145040439829335560192,0.0000583294459688116920785537064237168203842294675840711263302212350853625519376366778224625790,0.0000583294459688116920785537064237168203842294675840711263302212350853625519376366778224625790,6.47001212400729026387631571603242936733431286896435852715201115882914845390569894327678535E-18
2,8,3,0,0,3,direct,1.81652694039735873587915193638764321804046630859375,1.81652694039672329010565630279787004607749835641914640814877854959560170664439808,1.81652694039670137900200569855668823577662857713275963364495063209961656298713313321720211,2.191110365060424118181030086977928638677450382791749598514365726494678279789E-14,6.5735687714623783095498226383773146099036635504936790038343701286686678279789E-13,1.24110502635865935502572649017178159102264033441689532109041671016E-15,6.3544577349563358977317196296795217460359185122145040439829335560192E-13,3.49813569710589813478891987079461591150538288777652865401749979530687257838904974475090338E-13,3.49813569710589813478891987079461591150538288777652865401749979530687257838904974475090338E-13,6.47001212400729026387631571603242936733431286896435852715201115882914845390569894327678535E-18
2,8,3,0,0,3,fe_geometry,1.816526940393803357665092335082590579986572265625,1.81652694039672329010565630279787004607749835641914640814877854959560170664439808,1.81652694039670137900200569855668823577662857713275963364495063209961656298713313321720211,2.191110365060424118181030086977928638677450382791749598514365726494678279789E-14,2.89802133691336347409765579005631150775963364495063209961656298713313321720211E-12,5.70299304797649944390520720884002108231720341558310467890958328984E-15,2.91993244056396771527946609092609079414640814877854959560170664439808E-12,1.60742589368163426529587458563824822298481134219366001309595765442546228827120834290562453E-12,1.60742589368163426529587458563824822298481134219366001309595765442546228827120834290562453E-12,6.47001212400729026387631571603242936733431286896435852715201115882914845390569894327678535E-18
2,8,3,0,0,3,reused,1.81652694039764828204397417721338570117950439453125,1.81652694039672329010565630279787004607749835641914640814877854959560170664439808,1.81652694039670137900200569855668823577662857713275963364495063209961656298713313321720211,2.191110365060424118181030086977928638677450382791749598514365726494678279789E-14,9.4690304196847865669746540287581739849036635504936790038343701286686678279789E-13,1.80662487952709846780401387110554318770232783441689532109041671016E-15,9.2499193831787441551565510200603811210359185122145040439829335560192E-13,5.09209039374807912324900956029242605242000686903220689131515827312277253350245704294254227E-13,5.09209039374807912324900956029242605242000686903220689131515827312277253350245704294254227E-13,6.47001212400729026387631571603242936733431286896435852715201115882914845390569894327678535E-18
2,8,3,0,0,3,reused_centered,1.8165269403968686834360823922907002270221710205078125,1.81652694039672329010565630279787004607749835641914640814877854959560170664439808,1.81652694039670137900200569855668823577662857713275963364495063209961656298713313321720211,2.191110365060424118181030086977928638677450382791749598514365726494678279789E-14,1.6730443407669373401199124554244337505286635504936790038343701286686678279789E-13,2.8397134848845604068394715756379704817596064691689532109041671016E-16,1.4539333042608949283018094467266408866609185122145040439829335560192E-13,8.00391820196930771651329422388429576383776195574625379695465853175207546996956257704164859E-14,8.00391820196930771651329422388429576383776195574625379695465853175207546996956257704164859E-14,6.47001212400729026387631571603242936733431286896435852715201115882914845390569894327678535E-18
