family,level,method,problem,cfl,quadrature,elements,dofs,steps,final_time,l2,relative_l2,l1,minimum,maximum,initial_minimum,initial_maximum,mass_drift,filter_mean_defect,constant_operator_residual,flux_mismatch,area
tri,1,dg,0,0.12,20,32,96,48,1.5707963267948954,0.046018316494406991,0.012472248105687167,0.8728214080624318,0.43795051079056951,1.562049489207771,0.46686832018052332,1.5331316798194814,1.7763568394002505e-15,0,3.9519283378711792e-11,3.3306690738754696e-16,12.566370614364818
tri,1,ofdg,0,0.12,20,32,96,48,1.5707963267948954,0.1411105292430356,0.038244891710844497,2.4118718558139807,0.55606398563601389,1.4439360143654596,0.46686832018052332,1.5331316798194814,2.3092638912203256e-14,2.2204460492503131e-16,3.9519283378711792e-11,3.3306690738754696e-16,12.566370614364818
tri,2,dg,0,0.12,20,128,384,122,1.5707963267948934,0.012286988239561496,0.0033301167332843704,0.18206372176567606,0.48959285371856409,1.5104071462814384,0.49515669833423215,1.5048433016657665,3.5527136788005009e-15,0,1.4931733934197404e-14,2.7755575615628914e-16,12.566370614359155
tri,2,ofdg,0,0.12,20,128,384,122,1.5707963267948934,0.032119595265046486,0.0087053067499533992,0.29425053061287365,0.50633094004303714,1.4936690599569655,0.49515669833423215,1.5048433016657665,3.5527136788005009e-15,2.2204460492503131e-16,1.4931733934197404e-14,2.7755575615628914e-16,12.566370614359155
tri,3,dg,0,0.12,20,512,1536,277,1.5707963267948917,0.0032909337115105178,0.00089193488323994173,0.0090451311410784333,0.49793016141570945,1.5020698385842932,0.49907842804918262,1.5009215719508193,7.1054273576010019e-15,0,3.177703529057241e-14,1.6653345369377348e-16,12.566370614359114
tri,3,ofdg,0,0.12,20,512,1536,277,1.5707963267948917,0.0057345235182012875,0.0015542159195591622,-0.0042137409338437988,0.50000646218820011,1.4999935378118012,0.49907842804918262,1.5009215719508193,1.4210854715202004e-14,2.2204460492503131e-16,3.177703529057241e-14,1.6653345369377348e-16,12.566370614359114
quad,1,dg,0,0.12,20,24,96,55,1.5707963267948963,0.039684745893670374,0.01075567370783327,0.10696124320792386,0.43273362445039332,1.5672663755496159,0.4520040281526807,1.5479959718473171,1.7763568394002505e-15,0,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,1,ofdg,0,0.12,20,24,96,55,1.5707963267948963,0.22329802774546645,0.060519997594743483,0.65595400356867561,0.59939415643803928,1.4006058435619644,0.4520040281526807,1.5479959718473171,8.8817841970012523e-15,4.4408920985006262e-16,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,2,dg,0,0.12,20,96,384,138,1.570796326794893,0.011723002612729504,0.0031772608880105404,0.02950910798217684,0.47382536023526761,1.5261746397647344,0.48320052023377597,1.5167994797662265,7.1054273576010019e-15,0,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
quad,2,ofdg,0,0.12,20,96,384,138,1.570796326794893,0.046316690536080334,0.012553115798386078,0.12163274285223744,0.51409959652994985,1.485900403470052,0.48320052023377597,1.5167994797662265,3.5527136788005009e-15,4.4408920985006262e-16,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
quad,3,dg,0,0.12,20,384,1536,315,1.5707963267948903,0.0030819244621756313,0.00083528754338420838,0.0075537522713220234,0.49270791719949147,1.5072920828005125,0.49531793656230444,1.5046820634377016,1.5987211554602254e-14,0,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
quad,3,ofdg,0,0.12,20,384,1536,315,1.5707963267948903,0.0074762084277079565,0.0020262611391195801,0.019271763239198627,0.49907770093531112,1.500922299064694,0.49531793656230444,1.5046820634377016,7.1054273576010019e-15,4.4408920985006262e-16,4.5971632636074819e-14,1.1102230246251565e-16,12.56637061435914
tri,1,dg,1,0.12,20,32,96,48,1.5707963267948954,9.959965935124103,0.31779698405734619,99.819148318238589,-0.20534048405440519,1.3234924891683699,-0.47989980698782808,1.2439090530866475,8.8817841970012523e-16,0,3.9519283378711792e-11,3.3306690738754696e-16,12.566370614364818
tri,1,ofdg,1,0.12,20,32,96,48,1.5707963267948954,11.273514473865562,0.35970895110061185,128.22423499500437,-0.074160453308806912,0.94968251063966869,-0.47989980698782808,1.2439090530866475,8.4376949871511897e-15,2.2204460492503131e-16,3.9519283378711792e-11,3.3306690738754696e-16,12.566370614364818
tri,2,dg,1,0.12,20,128,384,122,1.5707963267948934,nan,0.54725430917149132,-18.024798801243396,-0.19253645312139112,1.1636788817167405,-0.28673695876835398,1.6051868924698565,3.5527136788005009e-15,0,1.4931733934197404e-14,2.7755575615628914e-16,12.566370614359155
tri,2,ofdg,1,0.12,20,128,384,122,1.5707963267948934,nan,0.59839172198413282,-23.046174474512316,-0.054361049550130498,1.0420577562187117,-0.28673695876835398,1.6051868924698565,5.773159728050814e-15,2.2204460492503131e-16,1.4931733934197404e-14,2.7755575615628914e-16,12.566370614359155
tri,3,dg,1,0.12,20,512,1536,277,1.5707963267948917,nan,0.038680854255998987,0.43559027982686777,-0.17549504270621119,1.169763926216683,-0.58195114742694176,1.5591861356356995,5.773159728050814e-15,0,3.177703529057241e-14,1.6653345369377348e-16,12.566370614359114
tri,3,ofdg,1,0.12,20,512,1536,277,1.5707963267948917,nan,0.13189221311411062,-3.4675168385591388,-0.043284698261733548,1.0266412109771161,-0.58195114742694176,1.5591861356356995,2.6645352591003757e-15,2.2204460492503131e-16,3.177703529057241e-14,1.6653345369377348e-16,12.566370614359114
quad,1,dg,1,0.12,20,24,96,55,1.5707963267948963,0.6634770142860188,0.3722921609259412,1.5394763611790458,-0.29319048038430218,1.2393529802263217,-0.3320700471075167,1.0000000000000029,8.8817841970012523e-16,0,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,1,ofdg,1,0.12,20,24,96,55,1.5707963267948963,0.90367238284726137,0.5070712879802487,2.3115510977217495,-0.031932253439884616,0.84657373493466215,-0.3320700471075167,1.0000000000000029,1.3322676295501878e-15,2.2204460492503131e-16,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,2,dg,1,0.12,20,96,384,138,1.570796326794893,0.49749115637800878,0.28052317603843779,0.92646898312692338,-0.14751563362816067,1.2128176189328466,-0.35180382105204905,1.3915831092732038,1.7763568394002505e-15,0,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
