family,level,method,problem,cfl,quadrature,elements,dofs,steps,final_time,l2,relative_l2,l1,minimum,maximum,initial_minimum,initial_maximum,mass_drift,filter_mean_defect,constant_operator_residual,flux_mismatch,area
tri,1,dg,0,0.12,20,32,96,48,1.5707963267948954,0.046018316494607844,0.01247224810575772,0.12190349199717858,0.43702994277579876,1.562970057223428,0.46509105918538129,1.5349089408146268,0,0,3.9453736842974898e-11,3.3306690738754696e-16,12.566370614359187
tri,1,ofdg,0,0.12,20,32,96,48,1.5707963267948954,0.14107912939862541,0.038236381476713314,0.42776840123348131,0.5557537898413617,1.4442462101606932,0.46509105918538129,1.5349089408146268,7.815970093361102e-14,6.6613381477509392e-16,3.9453736842974898e-11,3.3306690738754696e-16,12.566370614359187
tri,2,dg,0,0.12,20,128,384,122,1.5707963267948934,0.012286988239928884,0.0033301167333855061,0.030408488349997209,0.48944473276361089,1.5105552672363958,0.49488079718305161,1.505119202816942,8.8817841970012523e-15,0,6.5260189540811055e-14,2.7755575615628914e-16,12.566370614359156
tri,2,ofdg,0,0.12,20,128,384,122,1.5707963267948934,0.032116932196395109,0.0087045849840287712,0.085317024747119427,0.50623614005738282,1.4937638599426228,0.49488079718305161,1.505119202816942,1.7763568394002505e-15,2.2204460492503131e-16,6.5260189540811055e-14,2.7755575615628914e-16,12.566370614359156
tri,3,dg,0,0.12,20,512,1536,277,1.5707963267948917,0.0032909337116616352,0.00089193488328182804,0.0079215405332567993,0.49790189224821352,1.5020981077517981,0.49902540644221977,1.5009745935577752,3.5527136788005009e-15,0,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
tri,3,ofdg,0,0.12,20,512,1536,277,1.5707963267948917,0.0057344103316790095,0.0015541852428542955,0.015010259370098747,0.49998205213483948,1.5000179478651694,0.49902540644221977,1.5009745935577752,1.2434497875801753e-14,2.2204460492503131e-16,1.2390276449324508e-13,1.6653345369377348e-16,12.566370614359121
quad,1,dg,0,0.12,20,24,96,55,1.5707963267948963,0.039684745893670374,0.01075567370783327,0.10696124320792386,0.43273362445039332,1.5672663755496159,0.4520040281526807,1.5479959718473171,1.7763568394002505e-15,0,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,1,ofdg,0,0.12,20,24,96,55,1.5707963267948963,0.22329802774546645,0.060519997594743483,0.65595400356867561,0.59939415643803928,1.4006058435619644,0.4520040281526807,1.5479959718473171,8.8817841970012523e-15,4.4408920985006262e-16,5.1311204524235068e-14,2.2204460492503131e-16,12.566370614359194
quad,2,dg,0,0.12,20,96,384,138,1.570796326794893,0.011723002612729504,0.0031772608880105404,0.02950910798217684,0.47382536023526761,1.5261746397647344,0.48320052023377597,1.5167994797662265,7.1054273576010019e-15,0,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
quad,2,ofdg,0,0.12,20,96,384,138,1.570796326794893,0.046316690536080334,0.012553115798386078,0.12163274285223744,0.51409959652994985,1.485900403470052,0.48320052023377597,1.5167994797662265,3.5527136788005009e-15,4.4408920985006262e-16,2.1533978410611265e-14,1.6653345369377348e-16,12.566370614359165
