case,method,p,n,l2,observed_order,cfl
smooth_advection,dg,1,32,0.005163298309083353,,0.15
smooth_advection,dg,1,64,0.00097053981684469,2.411433645583293,0.15
smooth_advection,dg,1,128,0.0002168358812974517,2.162183892447665,0.15
smooth_advection,dg,1,256,5.244892069602192e-05,2.047618518771843,0.15
smooth_advection,dg,2,32,0.0001046236818681734,,0.15
smooth_advection,dg,2,64,1.30598435560186e-05,3.0019999266340096,0.15
smooth_advection,dg,2,128,1.632396912710725e-06,3.0000738226207844,0.15
smooth_advection,dg,2,256,2.040508628832665e-07,2.9999911706570956,0.15
smooth_advection,dg,3,32,2.519698849170228e-06,,0.15
smooth_advection,dg,3,64,1.575969812440929e-07,3.9989395096864926,0.15
smooth_advection,dg,3,128,9.851632971182677e-09,3.999733209818953,0.15
smooth_advection,dg,3,256,6.157556401743551e-10,3.9999330376830082,0.15
smooth_advection,ofdg,1,32,0.04463502254104081,,0.15
smooth_advection,ofdg,1,64,0.007245964228531473,2.6229265657971292,0.15
smooth_advection,ofdg,1,128,0.001111232833323433,2.7050165515755524,0.15
smooth_advection,ofdg,1,256,0.0001559961758772246,2.832578563910861,0.15
smooth_advection,ofdg,2,32,0.001527504621310042,,0.15
smooth_advection,ofdg,2,64,8.091244576920874e-05,4.238671302743912,0.15
smooth_advection,ofdg,2,128,4.768065569498337e-06,4.084885651101594,0.15
smooth_advection,ofdg,2,256,3.36260350102849e-07,3.825753495935995,0.15
smooth_advection,ofdg,3,32,4.791851773727423e-05,,0.15
smooth_advection,ofdg,3,64,1.603089220939716e-06,4.901656655014541,0.15
smooth_advection,ofdg,3,128,5.275119744985412e-08,4.925507068297047,0.15
smooth_advection,ofdg,3,256,1.763173382444032e-09,4.902957588495951,0.15
smooth_advection,ofdg-kxrcf,1,32,0.03439182345946652,,0.15
smooth_advection,ofdg-kxrcf,1,64,0.00625382583217393,2.459254663632442,0.15
smooth_advection,ofdg-kxrcf,1,128,0.0009565989477708976,2.708752931529719,0.15
smooth_advection,ofdg-kxrcf,1,256,0.0001406637604110027,2.765663513425951,0.15
smooth_advection,ofdg-kxrcf,2,32,0.0005340257524197494,,0.15
smooth_advection,ofdg-kxrcf,2,64,1.5368060316842e-05,5.118902323376865,0.15
smooth_advection,ofdg-kxrcf,2,128,1.635223545045278e-06,3.232375306901749,0.15
smooth_advection,ofdg-kxrcf,2,256,2.040524631748172e-07,3.0024758434360974,0.15
smooth_advection,ofdg-kxrcf,3,32,2.911343556085204e-05,,0.15
smooth_advection,ofdg-kxrcf,3,64,7.164548979525432e-07,5.3446653987373685,0.15
smooth_advection,ofdg-kxrcf,3,128,1.802670405954261e-08,5.312668338649601,0.15
smooth_advection,ofdg-kxrcf,3,256,6.945857473028413e-10,4.697839025923955,0.15
smooth_burgers,dg,2,32,0.0005218608683274354,,0.15
smooth_burgers,dg,2,64,6.996343457952419e-05,2.8989922061583644,0.15
smooth_burgers,dg,2,128,9.305366758334177e-06,2.9104661960600198,0.15
smooth_burgers,ofdg,2,32,0.0006795306447494251,,0.15
smooth_burgers,ofdg,2,64,7.936473824870214e-05,3.0979685481219836,0.15
smooth_burgers,ofdg,2,128,9.885372429788726e-06,3.0051309349592157,0.15
smooth_burgers,ofdg-kxrcf,2,32,0.0005218608683274354,,0.15
smooth_burgers,ofdg-kxrcf,2,64,6.996343457952419e-05,2.8989922061583644,0.15
smooth_burgers,ofdg-kxrcf,2,128,9.305366758334177e-06,2.9104661960600198,0.15
straight_advection_2d,dg,2,8,0.001467731462111814,,0.15
straight_advection_2d,dg,2,16,0.0002178094055362847,2.7524498755607256,0.15
straight_advection_2d,dg,2,32,2.919423329658036e-05,2.8993109259941616,0.15
straight_advection_2d,ofdg,2,8,0.04857458973228648,,0.15
straight_advection_2d,ofdg,2,16,0.002936404854375829,4.048079013274339,0.15
straight_advection_2d,ofdg,2,32,0.0001374461397841362,4.417112598261332,0.15
straight_advection_2d,ofdg-kxrcf,2,8,0.001467731462111814,,0.15
straight_advection_2d,ofdg-kxrcf,2,16,0.0002178094055362847,2.7524498755607256,0.15
straight_advection_2d,ofdg-kxrcf,2,32,2.919423329658036e-05,2.8993109259941616,0.15
curved_advection_2d,dg,2,8,0.002452962683543585,,0.15
curved_advection_2d,dg,2,16,0.0003773249325580883,2.700645949021914,0.15
curved_advection_2d,dg,2,32,5.533846826765115e-05,2.7694528157169085,0.15
curved_advection_2d,ofdg,2,8,0.06316081317653978,,0.15
curved_advection_2d,ofdg,2,16,0.005392628451417686,3.5499692039458526,0.15
curved_advection_2d,ofdg,2,32,0.0002609305792465603,4.369250703538859,0.15
curved_advection_2d,ofdg-kxrcf,2,8,0.002455943831707968,,0.15
curved_advection_2d,ofdg-kxrcf,2,16,0.0003788322451964718,2.696646526623776,0.15
curved_advection_2d,ofdg-kxrcf,2,32,5.543794220599005e-05,2.7726135220444994,0.15
