active_elements,cadence,case,cell_average_l2_error,cfl,conservation_drift,dimension,dofs,downwind_l2_error,elements,exit_code,filter_applications,id,l1_error,l2_error,limited_elements,linf_error,max,maximum,method,min,min_density,min_pressure,minimum,n,order,peak_mib,positivity_applications,problem,profile_prefix,program,ranks,rejected_steps,runtime_seconds,state_l2_error,status,steps,tf,time,wall_seconds
0,step,smooth_advection,0.004001740331910097,0.15,4.996003610813204e-15,1,64,0.004058987198623492,32,0,0,smooth_advection_dg_p1_n32_c0.15,0.004216094867111884,0.005163298309083353,,0.008715955138052133,,0.9978973109869722,dg,,,,0.00210268901303765,32,1,0.265625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p1_n32_c0.15,advection,1,,0.05831583333333334,,ok,704,1.1,1.1,0.22251362504903227
0,step,smooth_advection,0.04390089652598691,0.15,5.10702591327572e-15,1,64,0.0446191106336074,32,0,704,smooth_advection_ofdg_p1_n32_c0.15,0.03615446727610062,0.04463502254104081,,0.07394537834474633,,0.9295879286199205,ofdg,,,,0.07041207138008942,32,1,0.5625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p1_n32_c0.15,advection,1,,0.07652016666666668,,ok,704,1.1,1.1,0.23186599998734891
10760,step,smooth_advection,0.03339096033935696,0.15,4.773959005888173e-15,1,64,0.03427770259954817,32,0,704,smooth_advection_ofdg-kxrcf_p1_n32_c0.15,0.02774066818915786,0.03439182345946652,,0.06736230821636138,,0.9998990091601334,ofdg-kxrcf,,,,0.06343099689545308,32,1,0.671875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p1_n32_c0.15,advection,1,,0.08404541666666666,,ok,704,1.1,1.1,0.2314188330201432
0,step,smooth_advection,0.0005109172829189149,0.15,9.769962616701378e-15,1,128,0.000515732592491345,64,0,0,smooth_advection_dg_p1_n64_c0.15,0.0008685014048796926,0.00097053981684469,,0.001517745559794277,,0.9998554887289745,dg,,,,0.0001445112710470135,64,1,18.90625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p1_n64_c0.15,advection,1,,0.2391751666666667,,ok,1409,1.1,1.1,0.4638641669880599
0,step,smooth_advection,0.007116833002196263,0.15,9.436895709313831e-15,1,128,0.00721140184012057,64,0,1409,smooth_advection_ofdg_p1_n64_c0.15,0.00606861061816662,0.007245964228531473,,0.01330788962614391,,0.9877197582021352,ofdg,,,,0.01228024179788422,64,1,18.875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p1_n64_c0.15,advection,1,,0.2948889583333333,,ok,1409,1.1,1.1,0.46111575001850724
33688,step,smooth_advection,0.006108876962731767,0.15,9.992007221626409e-15,1,128,0.006185123271250294,64,0,1409,smooth_advection_ofdg-kxrcf_p1_n64_c0.15,0.00450579502384865,0.00625382583217393,,0.01331534050605493,,0.9998551203389541,ofdg-kxrcf,,,,0.01212348622546336,64,1,18.9375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p1_n64_c0.15,advection,1,,0.3561206666666667,,ok,1409,1.1,1.1,0.4568694590125233
0,step,smooth_advection,6.421881550691104e-05,0.15,1.953992523340276e-14,1,256,6.474554335277813e-05,128,0,0,smooth_advection_dg_p1_n128_c0.15,0.0001922505254311606,0.0002168358812974517,,0.0003803732258247372,,0.999732825459775,dg,,,,0.0002671745402646383,128,1,18.90625,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p1_n128_c0.15,advection,1,,0.8849964583333333,,ok,2817,1.1,1.1,1.1328499579103664
0,step,smooth_advection,0.001086155429674759,0.15,1.98729921407903e-14,1,256,0.001092660353584453,128,0,2817,smooth_advection_ofdg_p1_n128_c0.15,0.0009747379574108903,0.001111232833323433,,0.001965041269296676,,0.9980624180776305,ofdg,,,,0.001937581922410721,128,1,19.171875,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg_p1_n128_c0.15,advection,1,,1.192105208333333,,ok,2817,1.1,1.1,1.3654211249668151
101136,step,smooth_advection,0.0009241347030320034,0.15,1.953992523340276e-14,1,256,0.0009345923089351043,128,0,2817,smooth_advection_ofdg-kxrcf_p1_n128_c0.15,0.0006278547191677782,0.0009565989477708976,,0.003087676938111933,,0.9997328248714533,ofdg-kxrcf,,,,0.001935448943927371,128,1,19.125,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_ofdg-kxrcf_p1_n128_c0.15,advection,1,,1.261741833333333,,ok,2817,1.1,1.1,1.3634096670430154
0,step,smooth_advection,8.040956018739534e-06,0.15,3.985700658404312e-14,1,512,8.104405815472398e-06,256,0,0,smooth_advection_dg_p1_n256_c0.15,4.490485565172959e-05,5.244892069602192e-05,,0.0001065478547245258,,0.9999555997105956,dg,,,,4.440028948446303e-05,256,1,19.09375,,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/preview/profiles/smooth_advection_dg_p1_n256_c0.15,advection,1,,3.509139916666667,,ok,5632,1.1,1.1,3.5795212920056656
