rank,element,sample,x,y,value
0,0,polynomial,0.0088515681000703259,0,0.24953485249353205
0,0,polynomial,0.039269908169872414,0,0.26415285673573291
0,0,polynomial,0.069688248239674497,0,0.27879671474259532
0,0,center,0.039269908169872414,0,0.26415285673573291
0,1,polynomial,0.087391384439815145,0,0.28733079142727214
0,1,polynomial,0.11780972450961724,0,0.30201308148860573
0,1,polynomial,0.14822806457941934,0,0.31671688547308546
0,1,center,0.11780972450961724,0,0.30201308148860573
0,2,polynomial,0.16593120077955997,0,0.32528389889117792
0,2,polynomial,0.19634954084936207,0,0.34001959280881555
0,2,polynomial,0.22676788091916417,0,0.35477232972753064
0,2,center,0.19634954084936207,0,0.34001959280881555
0,3,polynomial,0.2444710171193048,0,0.36336574546735523
0,3,polynomial,0.2748893571891069,0,0.3781430697496016
0,3,polynomial,0.30530769725890899,0,0.39293318478433492
0,3,center,0.2748893571891069,0,0.3781430697496016
0,4,polynomial,0.32301083345904963,0,0.40154642660003542
0,4,polynomial,0.35342917352885173,0,0.41635472327001527
0,4,polynomial,0.38384751359865382,0,0.43117163308893475
0,4,center,0.35342917352885173,0,0.41635472327001527
0,5,polynomial,0.40155064979879446,0,0.43979853393345358
0,5,polynomial,0.43196898986859655,0,0.45462678542347784
0,5,polynomial,0.46238732993839865,0,0.46945945635237313
0,5,center,0.43196898986859655,0,0.45462678542347784
0,6,polynomial,0.48009046613853928,0,0.47809361502338538
0,6,polynomial,0.51050880620834138,0,0.49293123138390865
0,6,polynomial,0.54092714627814342,0,0.5077692092400945
0,6,center,0.51050880620834138,0,0.49293123138390865
0,7,polynomial,0.55863028247828417,0,0.51640458075020246
0,7,polynomial,0.58904862254808621,0,0.53124090608439778
0,7,polynomial,0.61946696261788825,0,0.54607341123026454
0,7,center,0.58904862254808621,0,0.53124090608439778
0,8,polynomial,0.63717009881802888,0,0.55470367668186327
0,8,polynomial,0.66758843888783104,0,0.5695280417285371
0,8,polynomial,0.69800677895763308,0,0.58434450616658751
0,8,center,0.66758843888783104,0,0.5695280417285371
0,9,polynomial,0.71570991515777382,0,0.59296355182194593
0,9,polynomial,0.74612825522757587,0,0.60776530077031821
0,9,polynomial,0.77654659529737791,0,0.6225549084892732
0,9,center,0.74612825522757587,0,0.60776530077031821
0,10,polynomial,0.79424973149751854,0,0.63115636699996902
0,10,polynomial,0.82466807156732069,0,0.64592457760913935
0,10,polynomial,0.85508641163712285,0,0.66067642461406817
0,10,center,0.82466807156732069,0,0.64592457760913935
0,11,polynomial,0.87278954783726359,0,0.66925395600686466
0,11,polynomial,0.90320788790706552,0,0.68397764099656466
0,11,polynomial,0.93362622797686767,0,0.69868056618140995
0,11,center,0.90320788790706552,0,0.68397764099656466
0,12,polynomial,0.95132936417700831,0,0.70722759064266094
0,12,polynomial,0.98174770424681035,0,0.72189534944321176
0,12,polynomial,1.0121660443166125,0,0.73653787286249139
0,12,center,0.98174770424681035,0,0.72189534944321176
0,13,polynomial,1.0298691805167532,0,0.74504767303602337
0,13,polynomial,1.0602875205865552,0,0.75964786825523012
0,13,polynomial,1.0907058606563573,0,0.77421815570799679
0,13,center,1.0602875205865552,0,0.75964786825523012
0,14,polynomial,1.1084089968564979,0,0.78268374765923843
0,14,polynomial,1.1388273369263,0,0.79720421020818244
0,14,polynomial,1.1692456769961022,0,0.81168991617798969
0,14,center,1.1388273369263,0,0.79720421020818244
0,15,polynomial,1.1869488131962429,0,0.82010403388764308
0,15,polynomial,1.2173671532660448,0,0.83453213880906063
0,15,polynomial,1.247785493335847,0,0.84892039338847214
0,15,center,1.2173671532660448,0,0.83453213880906063
0,16,polynomial,1.2654886295359875,0,0.85727542784200217
0,16,polynomial,1.2959069696057897,0,0.87159787221185747
0,16,polynomial,1.3263253096755918,0,0.88587509847944801
0,16,center,1.2959069696057897,0,0.87159787221185747
0,17,polynomial,1.3440284458757323,0,0.89416302044159712
0,17,polynomial,1.3744467859455345,0,0.90836579469452461
0,17,polynomial,1.4048651260153366,0,0.92251765887767123
0,17,center,1.3744467859455345,0,0.90836579469452461
0,18,polynomial,1.4225682622154772,0,0.93072997094813026
0,18,polynomial,1.4529866022852793,0,0.94479817836253344
0,18,polynomial,1.4834049423550815,0,0.95880940050230623
0,18,center,1.4529866022852793,0,0.94479817836253344
0,19,polynomial,1.5011080785552222,0,0.96693702986479779
0,19,polynomial,1.5315264186250241,0,0.98085477197179927
0,19,polynomial,1.5619447586948263,0,0.99470901457605743
0,19,center,1.5315264186250241,0,0.98085477197179927
0,20,polynomial,1.5796478948949668,0,1.0027422442402942
0,20,polynomial,1.610066234964769,0,1.0164924371872359
0,20,polynomial,1.6404845750345711,0,1.0301720957304425
0,20,center,1.610066234964769,0,1.0164924371872359
0,21,polynomial,1.6581877112347116,0,1.0381004342749207
0,21,polynomial,1.688606051304514,0,1.0516646189815821
0,21,polynomial,1.7190243913743162,0,1.0651506353705231
0,21,center,1.688606051304514,0,1.0516646189815821
0,22,polynomial,1.7367275275744569,0,1.0729627071020298
0,22,polynomial,1.7671458676442586,0,1.0863208187795741
0,22,polynomial,1.7975642077140606,0,1.0995924204732905
0,22,center,1.7671458676442586,0,1.0863208187795741
0,23,polynomial,1.8152673439142013,0,1.1072758009711834
0,23,polynomial,1.8456856839840032,0,1.1204058938479364
0,23,polynomial,1.8761040240538056,0,1.1334403110140194
0,23,center,1.8456856839840032,0,1.1204058938479364
