rank,element,sample,x,y,density,velocity_x,velocity_y,pressure
0,0,polynomial,0.0010566243270259356,0,1,3.2254063511432231e-15,0,1000
0,0,polynomial,0.0039433756729740643,0,1,-1.0199082753100903e-15,0,1000
0,0,center,0.0025000000000000001,0,1,1.1027490379165665e-15,0,1000
0,1,polynomial,0.006056624327025935,0,1,3.8263285219670084e-15,0,1000
0,1,polynomial,0.0089433756729740653,0,1,-1.0199082753100901e-15,0,1000
0,1,center,0.0074999999999999997,0,1,1.4032101233284591e-15,0,1000
0,2,polynomial,0.011056624327025935,0,1,3.8263285219670099e-15,0,1000
0,2,polynomial,0.013943375672974065,0,1,-2.0966599694809853e-16,0,1000
0,2,center,0.012500000000000001,0,1,1.8083312625094558e-15,0,1000
0,3,polynomial,0.016056624327025936,0,1,3.8263285219670084e-15,0,1000
0,3,polynomial,0.018943375672974064,0,1,-2.0966599694809863e-16,0,1000
0,3,center,0.017500000000000002,0,1,1.808331262509455e-15,0,1000
0,4,polynomial,0.021056624327025934,0,1,3.8263285219670084e-15,0,1000
0,4,polynomial,0.023943375672974065,0,1,-2.0966599694809863e-16,0,1000
0,4,center,0.022499999999999999,0,1,1.808331262509455e-15,0,1000
0,5,polynomial,0.026056624327025935,0,1,3.8263285219670107e-15,0,1000
0,5,polynomial,0.028943375672974062,0,1,-2.0966599694809873e-16,0,1000
0,5,center,0.0275,0,1,1.8083312625094562e-15,0,1000
0,6,polynomial,0.031056624327025936,0,1,3.826328521967006e-15,0,1000
0,6,polynomial,0.03394337567297407,0,1,-2.0966599694809843e-16,0,1000
0,6,center,0.032500000000000001,0,1,1.8083312625094538e-15,0,1000
0,7,polynomial,0.036056624327025937,0,1,3.8263285219670107e-15,0,1000
0,7,polynomial,0.038943375672974068,0,1,-2.0966599694809873e-16,0,1000
0,7,center,0.037500000000000006,0,1,1.8083312625094562e-15,0,1000
0,8,polynomial,0.041056624327025934,0,1,3.8263285219670107e-15,0,1000
0,8,polynomial,0.043943375672974065,0,1,-2.0966599694809873e-16,0,1000
0,8,center,0.042499999999999996,0,1,1.8083312625094562e-15,0,1000
0,9,polynomial,0.046056624327025932,0,1,3.826328521967006e-15,0,1000
0,9,polynomial,0.04894337567297407,0,1,-2.0966599694809843e-16,0,1000
0,9,center,0.047500000000000001,0,1,1.8083312625094538e-15,0,1000
0,10,polynomial,0.051056624327025936,0,1,3.8263285219670107e-15,0,1000
