case,kind,program,method,cadence,order,resolution,resolution_flag,dofs,ranks,repeat,scale,cfl,dt,rk_method,time,steps,l1_error,l2_error,linf_error,state_l2_error,cell_average_l2_error,downwind_l2_error,reference_l1_error,conservation_drift,total_variation,minimum,maximum,min_density,min_pressure,overshoot,undershoot,filter_applications,active_elements,positivity_applications,limited_elements,rejected_steps,failure_time,runtime_seconds,wall_time_seconds,status,exit_code,failure,profile_prefix,reference,log,command,measured_at_utc,commit,compiler,mfem,host,manifest_profile
advection_1d,convergence,advection,dg,step,1,20,-n,40,1,1,1.0,,cfl,4,0.1,31,0.007039806536936908,0.008259965456468026,0.01582737296075132,,0.001724257197011272,0.002674899968555408,,6.106226635438361e-16,,-0.002206522166379996,1.002206522166381,,,,,0,0,,,,,0.001585791666666667,0.318066959,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0001_advection_1d_dg_p1_r20_np1_s1.0_rep1,,raw/0001_advection_1d_dg_p1_r20_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 20 -o 1 -method dg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,ofdg-kxrcf,step,1,20,-n,40,1,1,1.0,,cfl,4,0.1,31,0.01370820205633913,0.01758195599209466,0.0317784571063966,,0.01252205237433486,0.01958541318823722,,2.775557561562891e-16,,0.02833156196822966,0.9861428736531999,,,,,31,446,,,,,0.001855666666666667,0.0714069169,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0002_advection_1d_ofdg-kxrcf_p1_r20_np1_s1.0_rep1,,raw/0002_advection_1d_ofdg-kxrcf_p1_r20_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 20 -o 1 -method ofdg-kxrcf -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,oedg,stage,1,20,-n,40,1,1,1.0,,cfl,4,0.1,31,0.014654070196812,0.01803348227324793,0.03146993853764776,,0.01440135262030558,0.01829533336996604,,3.885780586188048e-16,,0.02967940617311964,0.9702684771324692,,,,,124,0,,,,,0.002309,0.056266792,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0003_advection_1d_oedg_p1_r20_np1_s1.0_rep1,,raw/0003_advection_1d_oedg_p1_r20_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 20 -o 1 -method oedg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,ofdg,step,1,20,-n,40,1,1,1.0,,cfl,4,0.1,31,0.01490646915417414,0.01803585610770033,0.03037674915764053,,0.01347195647629325,0.02045819522651735,,3.885780586188048e-16,,0.0283303106986579,0.9716696893013431,,,,,31,0,,,,,0.001454875,0.0569860829,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0004_advection_1d_ofdg_p1_r20_np1_s1.0_rep1,,raw/0004_advection_1d_ofdg_p1_r20_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 20 -o 1 -method ofdg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,dg,step,1,40,-n,80,1,1,1.0,,cfl,4,0.1,61,0.00176794707451733,0.002109218793752281,0.00446997281885575,,0.0002328682418467794,0.0003502663627755298,,4.440892098500626e-16,,-0.0009508464130347429,1.000950846413036,,,,,0,0,,,,,0.004539916666666667,0.0571037501,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0005_advection_1d_dg_p1_r40_np1_s1.0_rep1,,raw/0005_advection_1d_dg_p1_r40_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 40 -o 1 -method dg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,ofdg-kxrcf,step,1,40,-n,80,1,1,1.0,,cfl,4,0.1,61,0.002617356525310591,0.003236852303617289,0.007709224675685022,,0.002235951165970744,0.002726327021288871,,6.661338147750939e-16,,0.003903170521110864,1.000951380748225,,,,,61,944,,,,,0.006306750000000001,0.056620167,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0006_advection_1d_ofdg-kxrcf_p1_r40_np1_s1.0_rep1,,raw/0006_advection_1d_ofdg-kxrcf_p1_r40_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 40 -o 1 -method ofdg-kxrcf -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,oedg,stage,1,40,-n,80,1,1,1.0,,cfl,4,0.1,61,0.002890853994909558,0.003524880734317833,0.006540316088239954,,0.002658945438937228,0.003079508158044916,,7.771561172376096e-16,,0.004027363853118127,0.995966740799568,,,,,244,0,,,,,0.008887875000000002,0.069478792,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0007_advection_1d_oedg_p1_r40_np1_s1.0_rep1,,raw/0007_advection_1d_oedg_p1_r40_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 40 -o 1 -method oedg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,ofdg,step,1,40,-n,80,1,1,1.0,,cfl,4,0.1,61,0.002876101809381686,0.003544487373121052,0.006405159770459296,,0.002571158148793997,0.003366780604303466,,7.771561172376096e-16,,0.003953389082801607,0.9960466109171991,,,,,61,0,,,,,0.005581958333333334,0.058919083,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0008_advection_1d_ofdg_p1_r40_np1_s1.0_rep1,,raw/0008_advection_1d_ofdg_p1_r40_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 40 -o 1 -method ofdg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,dg,step,1,80,-n,160,1,1,1.0,,cfl,4,0.1,120,0.0004356300238940279,0.000530031754083681,0.001167973426764446,,2.994307675131047e-05,4.448625243091232e-05,,9.992007221626409e-16,,-0.0002809242684630787,1.000280924268466,,,,,0,0,,,,,0.017767875,0.070047542,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0009_advection_1d_dg_p1_r80_np1_s1.0_rep1,,raw/0009_advection_1d_dg_p1_r80_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 80 -o 1 -method dg -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
advection_1d,convergence,advection,ofdg-kxrcf,step,1,80,-n,160,1,1,1.0,,cfl,4,0.1,120,0.0005266735173583831,0.0006550962793772954,0.002176616225608774,,0.0003575501284063148,0.0004031719727716799,,1.110223024625157e-15,,0.0003761908323784735,1.000280924268087,,,,,120,3008,,,,,0.02460745833333334,0.082463083,ok,0,,/Users/timozund/Documents/master_thesis/codex_dev/measurements/study/quick/profiles/0010_advection_1d_ofdg-kxrcf_p1_r80_np1_s1.0_rep1,,raw/0010_advection_1d_ofdg-kxrcf_p1_r80_np1_s1.0_rep1.log,/Users/timozund/Documents/master_thesis/codex_dev/build/release/examples/advection -d 1 -tf 0.1 -n 80 -o 1 -method ofdg-kxrcf -cadence auto,2026-08-30T15:49:44.120296+00:00,71f8332f968aa4819ea1d6d0c5ccec8551c5819d,Apple clang version 16.0.0 (clang-1600.0.26.6),a1ce49fb5742ad3c46e3e3732e5f9b04e4ca6e18,Mac.fritz.box,quick
