n,method,problem,dofs,steps,time,dt,l2,relative_l2,mass_drift,min,max,filter_applications,active_elements,solver_seconds
6,dg,1,5832,100,0.29999999999999999,0.0030000000000000001,0.069570488357606999,0.38012324307117035,-6.2450045135165055e-17,-0.37068276822219298,1.6498072325226845,0,0,1.0123200000000001
6,ofdg,1,5832,100,0.29999999999999999,0.0030000000000000001,0.091008246594665498,0.49725610181091123,-6.9388939039072284e-17,-0.039912349674508997,1.0085015831275799,100,0,1.6938714166666669
10,dg,1,27000,100,0.29999999999999999,0.0030000000000000001,0.054570841015136928,0.29821852644603331,9.7144514654701197e-17,-0.30263473191526635,1.3797044257831947,0,0,4.4347658333333335
10,ofdg,1,27000,100,0.29999999999999999,0.0030000000000000001,0.072177645382035652,0.39443612463668032,-1.5959455978986625e-16,-0.039752534241414152,1.0295634102805857,100,0,7.7112224166666659
6,dg,0,5832,100,0.29999999999999999,0.0030000000000000001,0.00086423895666333094,0.0008620864278995993,-1.8873791418627661e-14,0.79720940419598052,1.2027905958040208,0,0,0.94975087499999999
6,ofdg,0,5832,100,0.29999999999999999,0.0030000000000000001,0.0037909100554681433,0.0037814681726738072,-1.5654144647214707e-14,0.80837324642790354,1.1916267535720888,100,0,1.6687201250000001
10,dg,0,27000,100,0.29999999999999999,0.0030000000000000001,0.00022639305410590313,0.00022582918510055428,1.8762769116165146e-14,0.79953952258604188,1.2004604774139596,0,0,4.4066215000000009
10,ofdg,0,27000,100,0.29999999999999999,0.0030000000000000001,0.00061094419794730675,0.00060942254129321585,7.1054273576010019e-15,0.80088071482656487,1.1991192851734298,100,0,7.818886916666667
6,ofdg,2,5832,100,0.29999999999999999,0.0030000000000000001,2.585535303201367e-16,2.5855353032004421e-16,0,0.999999999999999,1.0000000000000009,100,0,1.749624791666667
10,ofdg,1,27000,200,0.29999999999999999,0.0015,0.072139102145024642,0.39422549370023025,-2.7755575615628914e-17,-0.04032893140040502,1.029669775557339,200,0,15.957087583333335
