n,p,curved,jump,method,cells,dofs,time_ms,time_q25_ms,time_q75_ms,slowdown,ratio_q25,ratio_q75,overhead_percent,direct_filter_share_percent,dg_ms,detector_ms,decay_ms,active_percent,filter_setup_ms,common_setup_ms,peak_mib,repetitions,trajectory_time,steps_per_trajectory,relative_iqr_percent,other_ms
16,2,False,False,dg,256,2304,2.7623655913978387,2.7347311827956817,2.789588888888901,1.0,1.0,1.0,0.0,0.0,2.76224731182793,0.0,0.0,,0.0,2.777999999999996,27.71875,5,0.005,3.0,1.9858959387580388,9.523809524612065e-05
16,2,False,False,ofdg,256,2304,3.9826666666666637,3.967439393939421,3.988238095238082,1.4362470363424193,1.4348362192528712,1.4563283922463024,43.62470363424193,31.04566869180409,2.739825396825397,0.0,1.2329999999999723,,1.661000000000357,2.777999999999996,27.71875,5,0.005,3.0,0.5222305314360821,9.523809523907162e-05
16,2,False,False,ofdg-kxrcf,256,2304,3.760724637681159,3.7595362318840335,3.7613043478260777,1.3616243843823534,1.3477026119721407,1.3751715932227815,36.16243843823534,27.123681613519896,2.740086956521745,0.6743333333333275,0.34876811594199364,0.0,3.39199999999984,2.777999999999996,27.71875,5,0.005,3.0,0.047015299241222545,1.5873015876501196e-05
16,2,True,False,dg,256,2304,3.3955600000000175,3.387786666666669,3.413533333333335,1.0,1.0,1.0,0.0,0.0,3.395480000000007,0.0,0.0,,0.0,5.504000000000002,44.484375,5,0.005,3.0,0.7582450808310136,6.666666666414281e-05
16,2,True,False,ofdg,256,2304,5.88208888888884,5.831599999999989,6.646384615384616,1.7447642702145367,1.708376462316657,1.9618663361480684,74.47642702145367,41.7837200692117,3.424288888888869,0.0,2.4577555555555177,,68.19199999999981,5.504000000000002,44.484375,5,0.005,3.0,13.851960260643795,4.444444445404914e-05
16,2,True,False,ofdg-kxrcf,256,2304,5.866977777777787,5.834066666666645,5.91073333333336,1.7160813551973508,1.710831850883959,1.727838052567988,71.60813551973509,41.68809254455647,3.4249555555555227,1.8439111111110802,0.5972888888888682,0.5208333333333333,73.9669999999999,5.504000000000002,44.484375,5,0.005,3.0,1.3067488845296584,4.444444445004001e-05
32,2,False,False,dg,1024,9216,10.881359999999951,10.871760000000013,10.895439999999983,1.0,1.0,1.0,0.0,0.0,10.881279999999975,0.0,0.0,,0.0,8.378999999999998,43.90625,5,0.005,5.0,0.2176198563412156,7.99999999756551e-05
32,2,False,False,ofdg,1024,9216,15.801899999999991,15.706299999999995,15.811350000000022,1.45306744745143,1.4415480237604006,1.4534813130532656,45.306744745143,31.202129081960766,10.87610000000001,0.0,4.920349999999996,,6.614000000000786,8.378999999999998,43.90625,5,0.005,5.0,0.6647934742026402,0.0001000000000139778
32,2,False,False,ofdg-kxrcf,1024,9216,14.753600000000011,14.746499999999996,14.783549999999979,1.3552074373056366,1.3541077735272768,1.3598120267555538,35.520743730563666,27.059158442685316,10.761600000000016,2.614699999999981,1.3808500000000223,0.0,13.19900000000018,8.378999999999998,43.90625,5,0.005,5.0,0.251125149116032,0.0
32,2,True,False,dg,1024,9216,13.138750000000066,13.070099999999977,13.21840000000005,1.0,1.0,1.0,0.0,0.0,13.138550000000123,0.0,0.0,,0.0,23.121,102.0,5,0.005,5.0,1.1287222909338626,0.00014999999997378222
